,created_at,counts
0,2022-12-13 01:00:00,253
1,2022-12-13 01:01:00,105
2,2022-12-13 01:02:00,61
3,2022-12-13 01:03:00,45
4,2022-12-13 01:04:00,28
5,2022-12-13 01:05:00,28
6,2022-12-13 01:06:00,26
7,2022-12-13 01:07:00,38
8,2022-12-13 01:08:00,38
9,2022-12-13 01:09:00,45
10,2022-12-13 01:10:00,37
11,2022-12-13 01:11:00,40
12,2022-12-13 01:12:00,65
13,2022-12-13 01:13:00,50
14,2022-12-13 01:14:00,46
15,2022-12-13 01:15:00,41
16,2022-12-13 01:16:00,50
17,2022-12-13 01:17:00,66
18,2022-12-13 01:18:00,49
19,2022-12-13 01:19:00,53
20,2022-12-13 01:20:00,64
21,2022-12-13 01:21:00,62
22,2022-12-13 01:22:00,53
23,2022-12-13 01:23:00,41
24,2022-12-13 01:24:00,25
25,2022-12-13 01:25:00,26
26,2022-12-13 01:26:00,42
27,2022-12-13 01:27:00,44
28,2022-12-13 01:28:00,48
29,2022-12-13 01:29:00,46
30,2022-12-13 01:30:00,37
31,2022-12-13 01:31:00,22
32,2022-12-13 01:32:00,15
33,2022-12-13 01:33:00,21
34,2022-12-13 01:34:00,23
35,2022-12-13 01:35:00,19
36,2022-12-13 01:36:00,22
37,2022-12-13 01:37:00,16
38,2022-12-13 01:38:00,26
39,2022-12-13 01:39:00,23
40,2022-12-13 01:40:00,23
41,2022-12-13 01:41:00,29
42,2022-12-13 01:42:00,35
43,2022-12-13 01:43:00,16
44,2022-12-13 01:44:00,14
45,2022-12-13 01:45:00,6
46,2022-12-13 01:46:00,9
47,2022-12-13 01:47:00,3
48,2022-12-13 01:48:00,2
49,2022-12-13 01:49:00,13
50,2022-12-13 01:50:00,19
51,2022-12-13 01:51:00,28
52,2022-12-13 01:52:00,26
53,2022-12-13 01:53:00,25
54,2022-12-13 01:54:00,18
55,2022-12-13 01:55:00,14
56,2022-12-13 01:56:00,12
57,2022-12-13 01:57:00,5
58,2022-12-13 01:58:00,7
59,2022-12-13 01:59:00,7
60,2022-12-13 02:00:00,9
61,2022-12-13 02:01:00,17
62,2022-12-13 02:02:00,19
63,2022-12-13 02:03:00,17
64,2022-12-13 02:04:00,17
65,2022-12-13 02:05:00,9
66,2022-12-13 02:06:00,10
67,2022-12-13 02:07:00,16
68,2022-12-13 02:08:00,8
69,2022-12-13 02:09:00,12
70,2022-12-13 02:10:00,18
71,2022-12-13 02:11:00,17
72,2022-12-13 02:12:00,45
73,2022-12-13 02:13:00,43
74,2022-12-13 02:14:00,27
75,2022-12-13 02:15:00,21
76,2022-12-13 02:16:00,36
77,2022-12-13 02:17:00,39
78,2022-12-13 02:18:00,25
79,2022-12-13 02:19:00,19
80,2022-12-13 02:20:00,5
81,2022-12-13 02:21:00,12
82,2022-12-13 02:22:00,4
83,2022-12-13 02:23:00,7
84,2022-12-13 02:24:00,11
85,2022-12-13 02:25:00,16
86,2022-12-13 02:26:00,18
87,2022-12-13 02:27:00,27
88,2022-12-13 02:28:00,21
89,2022-12-13 02:29:00,15
90,2022-12-13 02:30:00,22
91,2022-12-13 02:31:00,15
92,2022-12-13 02:32:00,14
93,2022-12-13 02:33:00,10
94,2022-12-13 02:34:00,14
95,2022-12-13 02:35:00,17
96,2022-12-13 02:36:00,7
97,2022-12-13 02:37:00,4
98,2022-12-13 02:38:00,9
99,2022-12-13 02:39:00,21
100,2022-12-13 02:40:00,21
101,2022-12-13 02:41:00,8
102,2022-12-13 02:42:00,9
103,2022-12-13 02:43:00,13
104,2022-12-13 02:44:00,10
105,2022-12-13 02:45:00,2
106,2022-12-13 02:46:00,5
107,2022-12-13 02:47:00,2
108,2022-12-13 02:48:00,8
109,2022-12-13 02:49:00,5
110,2022-12-13 02:50:00,4
111,2022-12-13 02:51:00,7
112,2022-12-13 02:52:00,4
113,2022-12-13 02:53:00,4
114,2022-12-13 02:54:00,9
115,2022-12-13 02:55:00,10
116,2022-12-13 02:56:00,15
117,2022-12-13 02:57:00,16
118,2022-12-13 02:58:00,65
119,2022-12-13 02:59:00,61
120,2022-12-13 03:00:00,33
121,2022-12-13 03:01:00,25
122,2022-12-13 03:02:00,12
123,2022-12-13 03:03:00,5
124,2022-12-13 03:04:00,2
