,created_at,counts
0,2022-12-13 01:00:00,84
1,2022-12-13 01:01:00,38
2,2022-12-13 01:02:00,38
3,2022-12-13 01:03:00,22
4,2022-12-13 01:04:00,21
5,2022-12-13 01:05:00,19
6,2022-12-13 01:06:00,19
7,2022-12-13 01:07:00,15
8,2022-12-13 01:08:00,23
9,2022-12-13 01:09:00,31
10,2022-12-13 01:10:00,40
11,2022-12-13 01:11:00,40
12,2022-12-13 01:12:00,18
13,2022-12-13 01:13:00,26
14,2022-12-13 01:14:00,25
15,2022-12-13 01:15:00,22
16,2022-12-13 01:16:00,22
17,2022-12-13 01:17:00,27
18,2022-12-13 01:18:00,39
19,2022-12-13 01:19:00,19
20,2022-12-13 01:20:00,19
21,2022-12-13 01:21:00,13
22,2022-12-13 01:22:00,14
23,2022-12-13 01:23:00,21
24,2022-12-13 01:24:00,24
25,2022-12-13 01:25:00,25
26,2022-12-13 01:26:00,23
27,2022-12-13 01:27:00,3
28,2022-12-13 01:28:00,7
29,2022-12-13 01:29:00,8
30,2022-12-13 01:30:00,18
31,2022-12-13 01:31:00,16
32,2022-12-13 01:32:00,12
33,2022-12-13 01:33:00,12
34,2022-12-13 01:34:00,23
35,2022-12-13 01:35:00,17
36,2022-12-13 01:36:00,17
37,2022-12-13 01:37:00,5
38,2022-12-13 01:38:00,31
39,2022-12-13 01:39:00,26
40,2022-12-13 01:40:00,22
41,2022-12-13 01:41:00,17
42,2022-12-13 01:42:00,24
43,2022-12-13 01:43:00,13
44,2022-12-13 01:44:00,13
45,2022-12-13 01:45:00,9
46,2022-12-13 01:46:00,6
47,2022-12-13 01:47:00,6
48,2022-12-13 01:48:00,4
49,2022-12-13 01:49:00,10
50,2022-12-13 01:50:00,27
51,2022-12-13 01:51:00,17
52,2022-12-13 01:52:00,9
53,2022-12-13 01:53:00,12
54,2022-12-13 01:54:00,13
55,2022-12-13 01:55:00,9
56,2022-12-13 01:56:00,7
57,2022-12-13 01:57:00,7
58,2022-12-13 01:58:00,9
59,2022-12-13 01:59:00,6
60,2022-12-13 02:00:00,18
61,2022-12-13 02:01:00,14
62,2022-12-13 02:02:00,18
63,2022-12-13 02:03:00,21
64,2022-12-13 02:04:00,15
65,2022-12-13 02:05:00,22
66,2022-12-13 02:06:00,26
67,2022-12-13 02:07:00,19
68,2022-12-13 02:08:00,14
69,2022-12-13 02:09:00,12
70,2022-12-13 02:10:00,18
71,2022-12-13 02:11:00,14
72,2022-12-13 02:12:00,19
73,2022-12-13 02:13:00,14
74,2022-12-13 02:14:00,16
75,2022-12-13 02:15:00,21
76,2022-12-13 02:16:00,21
77,2022-12-13 02:17:00,9
78,2022-12-13 02:18:00,15
79,2022-12-13 02:19:00,8
80,2022-12-13 02:20:00,13
81,2022-12-13 02:21:00,17
82,2022-12-13 02:22:00,16
83,2022-12-13 02:23:00,19
84,2022-12-13 02:24:00,19
85,2022-12-13 02:25:00,16
86,2022-12-13 02:26:00,18
87,2022-12-13 02:27:00,14
88,2022-12-13 02:28:00,28
89,2022-12-13 02:29:00,23
90,2022-12-13 02:30:00,11
91,2022-12-13 02:31:00,16
92,2022-12-13 02:32:00,22
93,2022-12-13 02:33:00,18
94,2022-12-13 02:34:00,16
95,2022-12-13 02:35:00,17
96,2022-12-13 02:36:00,17
97,2022-12-13 02:37:00,16
98,2022-12-13 02:38:00,20
99,2022-12-13 02:39:00,24
100,2022-12-13 02:40:00,21
101,2022-12-13 02:41:00,17
102,2022-12-13 02:42:00,24
103,2022-12-13 02:43:00,13
104,2022-12-13 02:44:00,24
105,2022-12-13 02:45:00,27
106,2022-12-13 02:46:00,17
107,2022-12-13 02:47:00,16
108,2022-12-13 02:48:00,22
109,2022-12-13 02:49:00,14
110,2022-12-13 02:50:00,13
111,2022-12-13 02:51:00,4
112,2022-12-13 02:52:00,8
113,2022-12-13 02:53:00,13
114,2022-12-13 02:54:00,19
115,2022-12-13 02:55:00,14
116,2022-12-13 02:56:00,8
117,2022-12-13 02:57:00,6
118,2022-12-13 02:58:00,8
119,2022-12-13 02:59:00,41
120,2022-12-13 03:00:00,28
121,2022-12-13 03:01:00,12
122,2022-12-13 03:02:00,6
123,2022-12-13 03:03:00,3
124,2022-12-13 03:04:00,1
