,created_at,counts
0,2022-12-14 01:00:00,202
1,2022-12-14 01:01:00,118
2,2022-12-14 01:02:00,62
3,2022-12-14 01:03:00,62
4,2022-12-14 01:04:00,68
5,2022-12-14 01:05:00,31
6,2022-12-14 01:06:00,39
7,2022-12-14 01:07:00,20
8,2022-12-14 01:08:00,13
9,2022-12-14 01:09:00,8
10,2022-12-14 01:10:00,12
11,2022-12-14 01:11:00,20
12,2022-12-14 01:12:00,22
13,2022-12-14 01:13:00,20
14,2022-12-14 01:14:00,13
15,2022-12-14 01:15:00,32
16,2022-12-14 01:16:00,19
17,2022-12-14 01:17:00,24
18,2022-12-14 01:18:00,21
19,2022-12-14 01:19:00,19
20,2022-12-14 01:20:00,16
21,2022-12-14 01:21:00,10
22,2022-12-14 01:22:00,18
23,2022-12-14 01:23:00,30
24,2022-12-14 01:24:00,27
25,2022-12-14 01:25:00,21
26,2022-12-14 01:26:00,10
27,2022-12-14 01:27:00,11
28,2022-12-14 01:28:00,6
29,2022-12-14 01:29:00,8
30,2022-12-14 01:30:00,7
31,2022-12-14 01:31:00,16
32,2022-12-14 01:32:00,15
33,2022-12-14 01:33:00,8
34,2022-12-14 01:34:00,16
35,2022-12-14 01:35:00,13
36,2022-12-14 01:36:00,14
37,2022-12-14 01:37:00,26
38,2022-12-14 01:38:00,9
39,2022-12-14 01:39:00,8
40,2022-12-14 01:40:00,7
41,2022-12-14 01:41:00,15
42,2022-12-14 01:42:00,45
43,2022-12-14 01:43:00,54
44,2022-12-14 01:44:00,43
45,2022-12-14 01:45:00,37
46,2022-12-14 01:46:00,24
47,2022-12-14 01:47:00,22
48,2022-12-14 01:48:00,26
49,2022-12-14 01:49:00,28
50,2022-12-14 01:50:00,25
51,2022-12-14 01:51:00,40
52,2022-12-14 01:52:00,38
53,2022-12-14 01:53:00,29
54,2022-12-14 01:54:00,50
55,2022-12-14 01:55:00,32
56,2022-12-14 01:56:00,41
57,2022-12-14 01:57:00,23
58,2022-12-14 01:58:00,17
59,2022-12-14 01:59:00,8
60,2022-12-14 02:00:00,22
61,2022-12-14 02:01:00,31
62,2022-12-14 02:02:00,27
63,2022-12-14 02:03:00,26
64,2022-12-14 02:04:00,19
65,2022-12-14 02:05:00,13
66,2022-12-14 02:06:00,13
67,2022-12-14 02:07:00,21
68,2022-12-14 02:08:00,27
69,2022-12-14 02:09:00,42
70,2022-12-14 02:10:00,51
71,2022-12-14 02:11:00,36
72,2022-12-14 02:12:00,21
73,2022-12-14 02:13:00,18
74,2022-12-14 02:14:00,16
75,2022-12-14 02:15:00,14
76,2022-12-14 02:16:00,34
77,2022-12-14 02:17:00,63
78,2022-12-14 02:18:00,36
79,2022-12-14 02:19:00,24
80,2022-12-14 02:20:00,17
81,2022-12-14 02:21:00,10
82,2022-12-14 02:22:00,12
83,2022-12-14 02:23:00,18
84,2022-12-14 02:24:00,28
85,2022-12-14 02:25:00,28
86,2022-12-14 02:26:00,22
87,2022-12-14 02:27:00,22
88,2022-12-14 02:28:00,22
89,2022-12-14 02:29:00,36
90,2022-12-14 02:30:00,55
91,2022-12-14 02:31:00,52
92,2022-12-14 02:32:00,25
93,2022-12-14 02:33:00,36
94,2022-12-14 02:34:00,49
95,2022-12-14 02:35:00,41
96,2022-12-14 02:36:00,23
97,2022-12-14 02:37:00,22
98,2022-12-14 02:38:00,14
99,2022-12-14 02:39:00,7
100,2022-12-14 02:40:00,11
101,2022-12-14 02:41:00,9
102,2022-12-14 02:42:00,22
103,2022-12-14 02:43:00,18
104,2022-12-14 02:44:00,17
105,2022-12-14 02:45:00,21
106,2022-12-14 02:46:00,15
107,2022-12-14 02:47:00,17
108,2022-12-14 02:48:00,18
109,2022-12-14 02:49:00,14
110,2022-12-14 02:50:00,17
111,2022-12-14 02:51:00,16
112,2022-12-14 02:52:00,18
113,2022-12-14 02:53:00,15
114,2022-12-14 02:54:00,13
115,2022-12-14 02:55:00,25
116,2022-12-14 02:56:00,18
117,2022-12-14 02:57:00,32
118,2022-12-14 02:58:00,54
119,2022-12-14 02:59:00,64
120,2022-12-14 03:00:00,45
121,2022-12-14 03:01:00,27
122,2022-12-14 03:02:00,16
123,2022-12-14 03:03:00,12
124,2022-12-14 03:04:00,3
