,created_at,counts
0,2022-12-14 01:00:00,77
1,2022-12-14 01:01:00,27
2,2022-12-14 01:02:00,32
3,2022-12-14 01:03:00,14
4,2022-12-14 01:04:00,8
5,2022-12-14 01:05:00,6
6,2022-12-14 01:06:00,9
7,2022-12-14 01:07:00,5
8,2022-12-14 01:08:00,7
9,2022-12-14 01:09:00,7
10,2022-12-14 01:10:00,5
11,2022-12-14 01:11:00,4
12,2022-12-14 01:12:00,8
13,2022-12-14 01:13:00,6
14,2022-12-14 01:14:00,8
15,2022-12-14 01:15:00,19
16,2022-12-14 01:16:00,15
17,2022-12-14 01:17:00,14
18,2022-12-14 01:18:00,12
19,2022-12-14 01:19:00,7
20,2022-12-14 01:20:00,3
21,2022-12-14 01:21:00,6
22,2022-12-14 01:22:00,12
23,2022-12-14 01:23:00,7
24,2022-12-14 01:24:00,14
25,2022-12-14 01:25:00,2
26,2022-12-14 01:26:00,15
27,2022-12-14 01:27:00,8
28,2022-12-14 01:28:00,13
29,2022-12-14 01:29:00,9
30,2022-12-14 01:30:00,18
31,2022-12-14 01:31:00,14
32,2022-12-14 01:32:00,9
33,2022-12-14 01:33:00,5
34,2022-12-14 01:34:00,11
35,2022-12-14 01:35:00,15
36,2022-12-14 01:36:00,14
37,2022-12-14 01:37:00,7
38,2022-12-14 01:38:00,8
39,2022-12-14 01:39:00,11
40,2022-12-14 01:40:00,9
41,2022-12-14 01:41:00,8
42,2022-12-14 01:42:00,7
43,2022-12-14 01:43:00,2
44,2022-12-14 01:44:00,7
45,2022-12-14 01:45:00,13
46,2022-12-14 01:46:00,7
47,2022-12-14 01:47:00,10
48,2022-12-14 01:48:00,12
49,2022-12-14 01:49:00,11
50,2022-12-14 01:50:00,4
51,2022-12-14 01:51:00,10
52,2022-12-14 01:52:00,8
53,2022-12-14 01:53:00,15
54,2022-12-14 01:54:00,10
55,2022-12-14 01:55:00,5
56,2022-12-14 01:56:00,0
57,2022-12-14 01:57:00,1
58,2022-12-14 01:58:00,0
59,2022-12-14 01:59:00,2
60,2022-12-14 02:00:00,6
61,2022-12-14 02:01:00,14
62,2022-12-14 02:02:00,15
63,2022-12-14 02:03:00,13
64,2022-12-14 02:04:00,15
65,2022-12-14 02:05:00,8
66,2022-12-14 02:06:00,7
67,2022-12-14 02:07:00,5
68,2022-12-14 02:08:00,8
69,2022-12-14 02:09:00,3
70,2022-12-14 02:10:00,2
71,2022-12-14 02:11:00,4
72,2022-12-14 02:12:00,6
73,2022-12-14 02:13:00,6
74,2022-12-14 02:14:00,6
75,2022-12-14 02:15:00,3
76,2022-12-14 02:16:00,0
77,2022-12-14 02:17:00,1
78,2022-12-14 02:18:00,4
79,2022-12-14 02:19:00,7
80,2022-12-14 02:20:00,12
81,2022-12-14 02:21:00,12
82,2022-12-14 02:22:00,10
83,2022-12-14 02:23:00,4
84,2022-12-14 02:24:00,2
85,2022-12-14 02:25:00,8
86,2022-12-14 02:26:00,4
87,2022-12-14 02:27:00,3
88,2022-12-14 02:28:00,3
89,2022-12-14 02:29:00,0
90,2022-12-14 02:30:00,4
91,2022-12-14 02:31:00,3
92,2022-12-14 02:32:00,3
93,2022-12-14 02:33:00,2
94,2022-12-14 02:34:00,4
95,2022-12-14 02:35:00,0
96,2022-12-14 02:36:00,2
97,2022-12-14 02:37:00,1
98,2022-12-14 02:38:00,4
99,2022-12-14 02:39:00,3
100,2022-12-14 02:40:00,11
101,2022-12-14 02:41:00,5
102,2022-12-14 02:42:00,4
103,2022-12-14 02:43:00,7
104,2022-12-14 02:44:00,8
105,2022-12-14 02:45:00,12
106,2022-12-14 02:46:00,5
107,2022-12-14 02:47:00,5
108,2022-12-14 02:48:00,3
109,2022-12-14 02:49:00,1
110,2022-12-14 02:50:00,1
111,2022-12-14 02:51:00,6
112,2022-12-14 02:52:00,4
113,2022-12-14 02:53:00,1
114,2022-12-14 02:54:00,6
115,2022-12-14 02:55:00,4
116,2022-12-14 02:56:00,6
117,2022-12-14 02:57:00,4
118,2022-12-14 02:58:00,16
119,2022-12-14 02:59:00,18
120,2022-12-14 03:00:00,2
121,2022-12-14 03:01:00,7
122,2022-12-14 03:02:00,1
123,2022-12-14 03:03:00,2
