,created_at,counts
0,2022-12-15 01:00:00,668
1,2022-12-15 01:01:00,204
2,2022-12-15 01:02:00,171
3,2022-12-15 01:03:00,160
4,2022-12-15 01:04:00,157
5,2022-12-15 01:05:00,135
6,2022-12-15 01:06:00,127
7,2022-12-15 01:07:00,109
8,2022-12-15 01:08:00,184
9,2022-12-15 01:09:00,187
10,2022-12-15 01:10:00,131
11,2022-12-15 01:11:00,136
12,2022-12-15 01:12:00,175
13,2022-12-15 01:13:00,199
14,2022-12-15 01:14:00,248
15,2022-12-15 01:15:00,197
16,2022-12-15 01:16:00,163
17,2022-12-15 01:17:00,132
18,2022-12-15 01:18:00,119
19,2022-12-15 01:19:00,103
20,2022-12-15 01:20:00,152
21,2022-12-15 01:21:00,201
22,2022-12-15 01:22:00,151
23,2022-12-15 01:23:00,129
24,2022-12-15 01:24:00,90
25,2022-12-15 01:25:00,63
26,2022-12-15 01:26:00,84
27,2022-12-15 01:27:00,85
28,2022-12-15 01:28:00,50
29,2022-12-15 01:29:00,37
30,2022-12-15 01:30:00,31
31,2022-12-15 01:31:00,16
32,2022-12-15 01:32:00,27
33,2022-12-15 01:33:00,73
34,2022-12-15 01:34:00,115
35,2022-12-15 01:35:00,81
36,2022-12-15 01:36:00,140
37,2022-12-15 01:37:00,433
38,2022-12-15 01:38:00,548
39,2022-12-15 01:39:00,363
40,2022-12-15 01:40:00,166
41,2022-12-15 01:41:00,84
42,2022-12-15 01:42:00,61
43,2022-12-15 01:43:00,57
44,2022-12-15 01:44:00,54
45,2022-12-15 01:45:00,41
46,2022-12-15 01:46:00,28
47,2022-12-15 01:47:00,28
48,2022-12-15 01:48:00,63
49,2022-12-15 01:49:00,61
50,2022-12-15 01:50:00,60
51,2022-12-15 01:51:00,84
52,2022-12-15 01:52:00,82
53,2022-12-15 01:53:00,73
54,2022-12-15 01:54:00,120
55,2022-12-15 01:55:00,151
56,2022-12-15 01:56:00,136
57,2022-12-15 01:57:00,87
58,2022-12-15 01:58:00,71
59,2022-12-15 01:59:00,163
60,2022-12-15 02:00:00,168
61,2022-12-15 02:01:00,117
62,2022-12-15 02:02:00,181
63,2022-12-15 02:03:00,240
64,2022-12-15 02:04:00,169
65,2022-12-15 02:05:00,88
66,2022-12-15 02:06:00,41
67,2022-12-15 02:07:00,31
68,2022-12-15 02:08:00,82
69,2022-12-15 02:09:00,77
70,2022-12-15 02:10:00,73
71,2022-12-15 02:11:00,68
72,2022-12-15 02:12:00,85
73,2022-12-15 02:13:00,77
74,2022-12-15 02:14:00,155
75,2022-12-15 02:15:00,95
76,2022-12-15 02:16:00,45
77,2022-12-15 02:17:00,37
78,2022-12-15 02:18:00,21
79,2022-12-15 02:19:00,10
80,2022-12-15 02:20:00,58
81,2022-12-15 02:21:00,135
82,2022-12-15 02:22:00,122
83,2022-12-15 02:23:00,82
84,2022-12-15 02:24:00,109
85,2022-12-15 02:25:00,82
86,2022-12-15 02:26:00,71
87,2022-12-15 02:27:00,76
88,2022-12-15 02:28:00,86
89,2022-12-15 02:29:00,94
90,2022-12-15 02:30:00,124
91,2022-12-15 02:31:00,83
92,2022-12-15 02:32:00,72
93,2022-12-15 02:33:00,74
94,2022-12-15 02:34:00,131
95,2022-12-15 02:35:00,182
96,2022-12-15 02:36:00,154
97,2022-12-15 02:37:00,143
98,2022-12-15 02:38:00,115
99,2022-12-15 02:39:00,46
100,2022-12-15 02:40:00,24
101,2022-12-15 02:41:00,18
102,2022-12-15 02:42:00,37
103,2022-12-15 02:43:00,46
104,2022-12-15 02:44:00,68
105,2022-12-15 02:45:00,110
106,2022-12-15 02:46:00,100
107,2022-12-15 02:47:00,37
108,2022-12-15 02:48:00,31
109,2022-12-15 02:49:00,23
110,2022-12-15 02:50:00,21
111,2022-12-15 02:51:00,17
112,2022-12-15 02:52:00,22
113,2022-12-15 02:53:00,22
114,2022-12-15 02:54:00,62
115,2022-12-15 02:55:00,92
116,2022-12-15 02:56:00,106
117,2022-12-15 02:57:00,178
118,2022-12-15 02:58:00,308
119,2022-12-15 02:59:00,219
120,2022-12-15 03:00:00,160
121,2022-12-15 03:01:00,78
122,2022-12-15 03:02:00,31
123,2022-12-15 03:03:00,9
124,2022-12-15 03:04:00,3
