,created_at,counts
0,2022-12-15 01:00:00,69
1,2022-12-15 01:01:00,23
2,2022-12-15 01:02:00,16
3,2022-12-15 01:03:00,3
4,2022-12-15 01:04:00,2
5,2022-12-15 01:05:00,1
6,2022-12-15 01:06:00,2
7,2022-12-15 01:07:00,1
8,2022-12-15 01:08:00,3
9,2022-12-15 01:09:00,2
10,2022-12-15 01:10:00,6
11,2022-12-15 01:11:00,4
12,2022-12-15 01:12:00,3
13,2022-12-15 01:13:00,2
14,2022-12-15 01:14:00,5
15,2022-12-15 01:15:00,3
16,2022-12-15 01:16:00,6
17,2022-12-15 01:17:00,6
18,2022-12-15 01:18:00,2
19,2022-12-15 01:19:00,7
20,2022-12-15 01:20:00,3
21,2022-12-15 01:21:00,2
22,2022-12-15 01:22:00,3
23,2022-12-15 01:23:00,2
24,2022-12-15 01:24:00,4
25,2022-12-15 01:25:00,2
26,2022-12-15 01:26:00,4
27,2022-12-15 01:27:00,4
28,2022-12-15 01:28:00,1
29,2022-12-15 01:29:00,2
30,2022-12-15 01:30:00,1
31,2022-12-15 01:31:00,4
32,2022-12-15 01:32:00,15
33,2022-12-15 01:33:00,25
34,2022-12-15 01:34:00,16
35,2022-12-15 01:35:00,10
36,2022-12-15 01:36:00,4
37,2022-12-15 01:37:00,6
38,2022-12-15 01:38:00,13
39,2022-12-15 01:39:00,7
40,2022-12-15 01:40:00,3
41,2022-12-15 01:41:00,4
42,2022-12-15 01:42:00,2
43,2022-12-15 01:43:00,1
44,2022-12-15 01:44:00,1
45,2022-12-15 01:45:00,2
46,2022-12-15 01:46:00,0
47,2022-12-15 01:47:00,0
48,2022-12-15 01:48:00,7
49,2022-12-15 01:49:00,5
50,2022-12-15 01:50:00,3
51,2022-12-15 01:51:00,8
52,2022-12-15 01:52:00,7
53,2022-12-15 01:53:00,5
54,2022-12-15 01:54:00,1
55,2022-12-15 01:55:00,0
56,2022-12-15 01:56:00,0
57,2022-12-15 01:57:00,3
58,2022-12-15 01:58:00,1
59,2022-12-15 01:59:00,1
60,2022-12-15 02:00:00,3
61,2022-12-15 02:01:00,0
62,2022-12-15 02:02:00,2
63,2022-12-15 02:03:00,1
64,2022-12-15 02:04:00,1
65,2022-12-15 02:05:00,2
66,2022-12-15 02:06:00,3
67,2022-12-15 02:07:00,4
68,2022-12-15 02:08:00,4
69,2022-12-15 02:09:00,2
70,2022-12-15 02:10:00,1
71,2022-12-15 02:11:00,2
72,2022-12-15 02:12:00,2
73,2022-12-15 02:13:00,1
74,2022-12-15 02:14:00,1
75,2022-12-15 02:15:00,0
76,2022-12-15 02:16:00,2
77,2022-12-15 02:17:00,3
78,2022-12-15 02:18:00,0
79,2022-12-15 02:19:00,2
80,2022-12-15 02:20:00,2
81,2022-12-15 02:21:00,2
82,2022-12-15 02:22:00,2
83,2022-12-15 02:23:00,0
84,2022-12-15 02:24:00,1
85,2022-12-15 02:25:00,1
86,2022-12-15 02:26:00,0
87,2022-12-15 02:27:00,1
88,2022-12-15 02:28:00,0
89,2022-12-15 02:29:00,3
90,2022-12-15 02:30:00,2
91,2022-12-15 02:31:00,2
92,2022-12-15 02:32:00,1
93,2022-12-15 02:33:00,0
94,2022-12-15 02:34:00,1
95,2022-12-15 02:35:00,1
96,2022-12-15 02:36:00,0
97,2022-12-15 02:37:00,4
98,2022-12-15 02:38:00,2
99,2022-12-15 02:39:00,4
100,2022-12-15 02:40:00,3
101,2022-12-15 02:41:00,1
102,2022-12-15 02:42:00,2
103,2022-12-15 02:43:00,1
104,2022-12-15 02:44:00,1
105,2022-12-15 02:45:00,1
106,2022-12-15 02:46:00,3
107,2022-12-15 02:47:00,1
108,2022-12-15 02:48:00,4
109,2022-12-15 02:49:00,5
110,2022-12-15 02:50:00,2
111,2022-12-15 02:51:00,2
112,2022-12-15 02:52:00,5
113,2022-12-15 02:53:00,3
114,2022-12-15 02:54:00,0
115,2022-12-15 02:55:00,1
116,2022-12-15 02:56:00,3
117,2022-12-15 02:57:00,4
118,2022-12-15 02:58:00,10
119,2022-12-15 02:59:00,32
120,2022-12-15 03:00:00,12
121,2022-12-15 03:01:00,1
122,2022-12-15 03:02:00,0
123,2022-12-15 03:03:00,1
124,2022-12-15 03:04:00,2
