,created_at,counts
0,2022-12-16 01:00:00,120
1,2022-12-16 01:01:00,34
2,2022-12-16 01:02:00,31
3,2022-12-16 01:03:00,9
4,2022-12-16 01:04:00,15
5,2022-12-16 01:05:00,10
6,2022-12-16 01:06:00,10
7,2022-12-16 01:07:00,8
8,2022-12-16 01:08:00,14
9,2022-12-16 01:09:00,8
10,2022-12-16 01:10:00,12
11,2022-12-16 01:11:00,11
12,2022-12-16 01:12:00,12
13,2022-12-16 01:13:00,11
14,2022-12-16 01:14:00,10
15,2022-12-16 01:15:00,12
16,2022-12-16 01:16:00,12
17,2022-12-16 01:17:00,14
18,2022-12-16 01:18:00,12
19,2022-12-16 01:19:00,7
20,2022-12-16 01:20:00,12
21,2022-12-16 01:21:00,16
22,2022-12-16 01:22:00,14
23,2022-12-16 01:23:00,10
24,2022-12-16 01:24:00,6
25,2022-12-16 01:25:00,9
26,2022-12-16 01:26:00,15
27,2022-12-16 01:27:00,11
28,2022-12-16 01:28:00,12
29,2022-12-16 01:29:00,13
30,2022-12-16 01:30:00,11
31,2022-12-16 01:31:00,14
32,2022-12-16 01:32:00,24
33,2022-12-16 01:33:00,28
34,2022-12-16 01:34:00,28
35,2022-12-16 01:35:00,14
36,2022-12-16 01:36:00,10
37,2022-12-16 01:37:00,15
38,2022-12-16 01:38:00,10
39,2022-12-16 01:39:00,15
40,2022-12-16 01:40:00,17
41,2022-12-16 01:41:00,14
42,2022-12-16 01:42:00,12
43,2022-12-16 01:43:00,17
44,2022-12-16 01:44:00,11
45,2022-12-16 01:45:00,13
46,2022-12-16 01:46:00,6
47,2022-12-16 01:47:00,14
48,2022-12-16 01:48:00,10
49,2022-12-16 01:49:00,5
50,2022-12-16 01:50:00,6
51,2022-12-16 01:51:00,5
52,2022-12-16 01:52:00,8
53,2022-12-16 01:53:00,7
54,2022-12-16 01:54:00,8
55,2022-12-16 01:55:00,3
56,2022-12-16 01:56:00,0
57,2022-12-16 01:57:00,3
58,2022-12-16 01:58:00,16
59,2022-12-16 01:59:00,9
60,2022-12-16 02:00:00,24
61,2022-12-16 02:01:00,21
62,2022-12-16 02:02:00,19
63,2022-12-16 02:03:00,27
64,2022-12-16 02:04:00,17
65,2022-12-16 02:05:00,10
66,2022-12-16 02:06:00,12
67,2022-12-16 02:07:00,11
68,2022-12-16 02:08:00,15
69,2022-12-16 02:09:00,13
70,2022-12-16 02:10:00,17
71,2022-12-16 02:11:00,9
72,2022-12-16 02:12:00,8
73,2022-12-16 02:13:00,17
74,2022-12-16 02:14:00,7
75,2022-12-16 02:15:00,10
76,2022-12-16 02:16:00,10
77,2022-12-16 02:17:00,9
78,2022-12-16 02:18:00,11
79,2022-12-16 02:19:00,14
80,2022-12-16 02:20:00,17
81,2022-12-16 02:21:00,11
82,2022-12-16 02:22:00,9
83,2022-12-16 02:23:00,22
84,2022-12-16 02:24:00,11
85,2022-12-16 02:25:00,10
86,2022-12-16 02:26:00,9
87,2022-12-16 02:27:00,21
88,2022-12-16 02:28:00,14
89,2022-12-16 02:29:00,13
90,2022-12-16 02:30:00,1
91,2022-12-16 02:31:00,10
92,2022-12-16 02:32:00,5
93,2022-12-16 02:33:00,11
94,2022-12-16 02:34:00,14
95,2022-12-16 02:35:00,12
96,2022-12-16 02:36:00,10
97,2022-12-16 02:37:00,16
98,2022-12-16 02:38:00,11
99,2022-12-16 02:39:00,14
100,2022-12-16 02:40:00,10
101,2022-12-16 02:41:00,7
102,2022-12-16 02:42:00,3
103,2022-12-16 02:43:00,7
104,2022-12-16 02:44:00,0
105,2022-12-16 02:45:00,7
106,2022-12-16 02:46:00,5
107,2022-12-16 02:47:00,5
108,2022-12-16 02:48:00,8
109,2022-12-16 02:49:00,11
110,2022-12-16 02:50:00,14
111,2022-12-16 02:51:00,13
112,2022-12-16 02:52:00,20
113,2022-12-16 02:53:00,15
114,2022-12-16 02:54:00,11
115,2022-12-16 02:55:00,8
116,2022-12-16 02:56:00,5
117,2022-12-16 02:57:00,8
118,2022-12-16 02:58:00,34
119,2022-12-16 02:59:00,22
120,2022-12-16 03:00:00,17
121,2022-12-16 03:01:00,16
122,2022-12-16 03:02:00,3
123,2022-12-16 03:03:00,3
124,2022-12-16 03:04:00,3
