,created_at,counts
0,2022-12-16 01:00:00,100
1,2022-12-16 01:01:00,19
2,2022-12-16 01:02:00,11
3,2022-12-16 01:03:00,9
4,2022-12-16 01:04:00,3
5,2022-12-16 01:05:00,1
6,2022-12-16 01:06:00,7
7,2022-12-16 01:07:00,7
8,2022-12-16 01:08:00,1
9,2022-12-16 01:09:00,2
10,2022-12-16 01:10:00,2
11,2022-12-16 01:11:00,2
12,2022-12-16 01:12:00,0
13,2022-12-16 01:13:00,3
14,2022-12-16 01:14:00,2
15,2022-12-16 01:15:00,3
16,2022-12-16 01:16:00,4
17,2022-12-16 01:17:00,1
18,2022-12-16 01:18:00,6
19,2022-12-16 01:19:00,1
20,2022-12-16 01:20:00,3
21,2022-12-16 01:21:00,0
22,2022-12-16 01:22:00,1
23,2022-12-16 01:23:00,3
24,2022-12-16 01:24:00,2
25,2022-12-16 01:25:00,1
26,2022-12-16 01:26:00,3
27,2022-12-16 01:27:00,2
28,2022-12-16 01:28:00,5
29,2022-12-16 01:29:00,1
30,2022-12-16 01:30:00,4
31,2022-12-16 01:31:00,0
32,2022-12-16 01:32:00,6
33,2022-12-16 01:33:00,7
34,2022-12-16 01:34:00,4
35,2022-12-16 01:35:00,1
36,2022-12-16 01:36:00,3
37,2022-12-16 01:37:00,4
38,2022-12-16 01:38:00,3
39,2022-12-16 01:39:00,5
40,2022-12-16 01:40:00,15
41,2022-12-16 01:41:00,15
42,2022-12-16 01:42:00,4
43,2022-12-16 01:43:00,15
44,2022-12-16 01:44:00,21
45,2022-12-16 01:45:00,11
46,2022-12-16 01:46:00,7
47,2022-12-16 01:47:00,11
48,2022-12-16 01:48:00,6
49,2022-12-16 01:49:00,3
50,2022-12-16 01:50:00,7
51,2022-12-16 01:51:00,6
52,2022-12-16 01:52:00,5
53,2022-12-16 01:53:00,5
54,2022-12-16 01:54:00,1
55,2022-12-16 01:55:00,4
56,2022-12-16 01:56:00,2
57,2022-12-16 01:57:00,0
58,2022-12-16 01:58:00,5
59,2022-12-16 01:59:00,6
60,2022-12-16 02:00:00,3
61,2022-12-16 02:01:00,4
62,2022-12-16 02:02:00,8
63,2022-12-16 02:03:00,6
64,2022-12-16 02:04:00,2
65,2022-12-16 02:05:00,1
66,2022-12-16 02:06:00,3
67,2022-12-16 02:07:00,1
68,2022-12-16 02:08:00,3
69,2022-12-16 02:09:00,0
70,2022-12-16 02:10:00,3
71,2022-12-16 02:11:00,2
72,2022-12-16 02:12:00,3
73,2022-12-16 02:13:00,5
74,2022-12-16 02:14:00,2
75,2022-12-16 02:15:00,1
76,2022-12-16 02:16:00,1
77,2022-12-16 02:17:00,0
78,2022-12-16 02:18:00,1
79,2022-12-16 02:19:00,4
80,2022-12-16 02:20:00,3
81,2022-12-16 02:21:00,1
82,2022-12-16 02:22:00,3
83,2022-12-16 02:23:00,3
84,2022-12-16 02:24:00,2
85,2022-12-16 02:25:00,4
86,2022-12-16 02:26:00,7
87,2022-12-16 02:27:00,0
88,2022-12-16 02:28:00,2
89,2022-12-16 02:29:00,0
90,2022-12-16 02:30:00,0
91,2022-12-16 02:31:00,3
92,2022-12-16 02:32:00,0
93,2022-12-16 02:33:00,0
94,2022-12-16 02:34:00,1
95,2022-12-16 02:35:00,2
96,2022-12-16 02:36:00,2
97,2022-12-16 02:37:00,2
98,2022-12-16 02:38:00,1
99,2022-12-16 02:39:00,3
100,2022-12-16 02:40:00,9
101,2022-12-16 02:41:00,3
102,2022-12-16 02:42:00,2
103,2022-12-16 02:43:00,6
104,2022-12-16 02:44:00,1
105,2022-12-16 02:45:00,4
106,2022-12-16 02:46:00,5
107,2022-12-16 02:47:00,1
108,2022-12-16 02:48:00,9
109,2022-12-16 02:49:00,4
110,2022-12-16 02:50:00,1
111,2022-12-16 02:51:00,0
112,2022-12-16 02:52:00,2
113,2022-12-16 02:53:00,2
114,2022-12-16 02:54:00,4
115,2022-12-16 02:55:00,3
116,2022-12-16 02:56:00,3
117,2022-12-16 02:57:00,6
118,2022-12-16 02:58:00,12
119,2022-12-16 02:59:00,32
120,2022-12-16 03:00:00,6
121,2022-12-16 03:01:00,1
122,2022-12-16 03:02:00,2
