,created_at,counts
0,2022-12-17 01:00:00,201
1,2022-12-17 01:01:00,55
2,2022-12-17 01:02:00,36
3,2022-12-17 01:03:00,33
4,2022-12-17 01:04:00,21
5,2022-12-17 01:05:00,26
6,2022-12-17 01:06:00,18
7,2022-12-17 01:07:00,13
8,2022-12-17 01:08:00,5
9,2022-12-17 01:09:00,7
10,2022-12-17 01:10:00,9
11,2022-12-17 01:11:00,18
12,2022-12-17 01:12:00,6
13,2022-12-17 01:13:00,6
14,2022-12-17 01:14:00,20
15,2022-12-17 01:15:00,19
16,2022-12-17 01:16:00,18
17,2022-12-17 01:17:00,16
18,2022-12-17 01:18:00,12
19,2022-12-17 01:19:00,11
20,2022-12-17 01:20:00,6
21,2022-12-17 01:21:00,8
22,2022-12-17 01:22:00,6
23,2022-12-17 01:23:00,6
24,2022-12-17 01:24:00,14
25,2022-12-17 01:25:00,12
26,2022-12-17 01:26:00,14
27,2022-12-17 01:27:00,8
28,2022-12-17 01:28:00,12
29,2022-12-17 01:29:00,11
30,2022-12-17 01:30:00,9
31,2022-12-17 01:31:00,9
32,2022-12-17 01:32:00,8
33,2022-12-17 01:33:00,4
34,2022-12-17 01:34:00,3
35,2022-12-17 01:35:00,9
36,2022-12-17 01:36:00,10
37,2022-12-17 01:37:00,15
38,2022-12-17 01:38:00,21
39,2022-12-17 01:39:00,7
40,2022-12-17 01:40:00,11
41,2022-12-17 01:41:00,7
42,2022-12-17 01:42:00,8
43,2022-12-17 01:43:00,2
44,2022-12-17 01:44:00,6
45,2022-12-17 01:45:00,9
46,2022-12-17 01:46:00,11
47,2022-12-17 01:47:00,13
48,2022-12-17 01:48:00,11
49,2022-12-17 01:49:00,6
50,2022-12-17 01:50:00,8
51,2022-12-17 01:51:00,3
52,2022-12-17 01:52:00,3
53,2022-12-17 01:53:00,1
54,2022-12-17 01:54:00,2
55,2022-12-17 01:55:00,4
56,2022-12-17 01:56:00,2
57,2022-12-17 01:57:00,4
58,2022-12-17 01:58:00,8
59,2022-12-17 01:59:00,7
60,2022-12-17 02:00:00,12
61,2022-12-17 02:01:00,8
62,2022-12-17 02:02:00,19
63,2022-12-17 02:03:00,25
64,2022-12-17 02:04:00,13
65,2022-12-17 02:05:00,10
66,2022-12-17 02:06:00,8
67,2022-12-17 02:07:00,6
68,2022-12-17 02:08:00,8
69,2022-12-17 02:09:00,4
70,2022-12-17 02:10:00,7
71,2022-12-17 02:11:00,8
72,2022-12-17 02:12:00,9
73,2022-12-17 02:13:00,12
74,2022-12-17 02:14:00,7
75,2022-12-17 02:15:00,7
76,2022-12-17 02:16:00,12
77,2022-12-17 02:17:00,8
78,2022-12-17 02:18:00,10
79,2022-12-17 02:19:00,5
80,2022-12-17 02:20:00,3
81,2022-12-17 02:21:00,6
82,2022-12-17 02:22:00,7
83,2022-12-17 02:23:00,16
84,2022-12-17 02:24:00,20
85,2022-12-17 02:25:00,19
86,2022-12-17 02:26:00,7
87,2022-12-17 02:27:00,13
88,2022-12-17 02:28:00,12
89,2022-12-17 02:29:00,18
90,2022-12-17 02:30:00,21
91,2022-12-17 02:31:00,26
92,2022-12-17 02:32:00,25
93,2022-12-17 02:33:00,9
94,2022-12-17 02:34:00,9
95,2022-12-17 02:35:00,7
96,2022-12-17 02:36:00,6
97,2022-12-17 02:37:00,8
98,2022-12-17 02:38:00,11
99,2022-12-17 02:39:00,10
100,2022-12-17 02:40:00,8
101,2022-12-17 02:41:00,9
102,2022-12-17 02:42:00,4
103,2022-12-17 02:43:00,5
104,2022-12-17 02:44:00,4
105,2022-12-17 02:45:00,2
106,2022-12-17 02:46:00,12
107,2022-12-17 02:47:00,15
108,2022-12-17 02:48:00,12
109,2022-12-17 02:49:00,19
110,2022-12-17 02:50:00,17
111,2022-12-17 02:51:00,18
112,2022-12-17 02:52:00,22
113,2022-12-17 02:53:00,36
114,2022-12-17 02:54:00,48
115,2022-12-17 02:55:00,21
116,2022-12-17 02:56:00,28
117,2022-12-17 02:57:00,22
118,2022-12-17 02:58:00,57
119,2022-12-17 02:59:00,44
120,2022-12-17 03:00:00,13
121,2022-12-17 03:01:00,9
122,2022-12-17 03:02:00,2
123,2022-12-17 03:03:00,3
