,created_at,counts
0,2022-12-17 01:00:00,354
1,2022-12-17 01:01:00,92
2,2022-12-17 01:02:00,58
3,2022-12-17 01:03:00,64
4,2022-12-17 01:04:00,36
5,2022-12-17 01:05:00,38
6,2022-12-17 01:06:00,36
7,2022-12-17 01:07:00,41
8,2022-12-17 01:08:00,22
9,2022-12-17 01:09:00,17
10,2022-12-17 01:10:00,16
11,2022-12-17 01:11:00,14
12,2022-12-17 01:12:00,11
13,2022-12-17 01:13:00,15
14,2022-12-17 01:14:00,17
15,2022-12-17 01:15:00,7
16,2022-12-17 01:16:00,10
17,2022-12-17 01:17:00,13
18,2022-12-17 01:18:00,10
19,2022-12-17 01:19:00,18
20,2022-12-17 01:20:00,16
21,2022-12-17 01:21:00,20
22,2022-12-17 01:22:00,23
23,2022-12-17 01:23:00,32
24,2022-12-17 01:24:00,32
25,2022-12-17 01:25:00,16
26,2022-12-17 01:26:00,22
27,2022-12-17 01:27:00,28
28,2022-12-17 01:28:00,19
29,2022-12-17 01:29:00,13
30,2022-12-17 01:30:00,10
31,2022-12-17 01:31:00,19
32,2022-12-17 01:32:00,26
33,2022-12-17 01:33:00,29
34,2022-12-17 01:34:00,61
35,2022-12-17 01:35:00,35
36,2022-12-17 01:36:00,31
37,2022-12-17 01:37:00,6
38,2022-12-17 01:38:00,11
39,2022-12-17 01:39:00,5
40,2022-12-17 01:40:00,13
41,2022-12-17 01:41:00,9
42,2022-12-17 01:42:00,25
43,2022-12-17 01:43:00,18
44,2022-12-17 01:44:00,13
45,2022-12-17 01:45:00,27
46,2022-12-17 01:46:00,31
47,2022-12-17 01:47:00,13
48,2022-12-17 01:48:00,11
49,2022-12-17 01:49:00,27
50,2022-12-17 01:50:00,14
51,2022-12-17 01:51:00,9
52,2022-12-17 01:52:00,17
53,2022-12-17 01:53:00,9
54,2022-12-17 01:54:00,9
55,2022-12-17 01:55:00,6
56,2022-12-17 01:56:00,14
57,2022-12-17 01:57:00,6
58,2022-12-17 01:58:00,3
59,2022-12-17 01:59:00,13
60,2022-12-17 02:00:00,34
61,2022-12-17 02:01:00,20
62,2022-12-17 02:02:00,10
63,2022-12-17 02:03:00,27
64,2022-12-17 02:04:00,26
65,2022-12-17 02:05:00,36
66,2022-12-17 02:06:00,62
67,2022-12-17 02:07:00,51
68,2022-12-17 02:08:00,49
69,2022-12-17 02:09:00,31
70,2022-12-17 02:10:00,18
71,2022-12-17 02:11:00,5
72,2022-12-17 02:12:00,13
73,2022-12-17 02:13:00,23
74,2022-12-17 02:14:00,13
75,2022-12-17 02:15:00,8
76,2022-12-17 02:16:00,6
77,2022-12-17 02:17:00,11
78,2022-12-17 02:18:00,26
79,2022-12-17 02:19:00,30
80,2022-12-17 02:20:00,12
81,2022-12-17 02:21:00,4
82,2022-12-17 02:22:00,2
83,2022-12-17 02:23:00,1
84,2022-12-17 02:24:00,23
85,2022-12-17 02:25:00,39
86,2022-12-17 02:26:00,32
87,2022-12-17 02:27:00,35
88,2022-12-17 02:28:00,22
89,2022-12-17 02:29:00,40
90,2022-12-17 02:30:00,29
91,2022-12-17 02:31:00,28
92,2022-12-17 02:32:00,32
93,2022-12-17 02:33:00,22
94,2022-12-17 02:34:00,17
95,2022-12-17 02:35:00,29
96,2022-12-17 02:36:00,18
97,2022-12-17 02:37:00,16
98,2022-12-17 02:38:00,34
99,2022-12-17 02:39:00,27
100,2022-12-17 02:40:00,23
101,2022-12-17 02:41:00,27
102,2022-12-17 02:42:00,17
103,2022-12-17 02:43:00,22
104,2022-12-17 02:44:00,41
105,2022-12-17 02:45:00,36
106,2022-12-17 02:46:00,19
107,2022-12-17 02:47:00,23
108,2022-12-17 02:48:00,65
109,2022-12-17 02:49:00,62
110,2022-12-17 02:50:00,32
111,2022-12-17 02:51:00,14
112,2022-12-17 02:52:00,20
113,2022-12-17 02:53:00,15
114,2022-12-17 02:54:00,20
115,2022-12-17 02:55:00,14
116,2022-12-17 02:56:00,6
117,2022-12-17 02:57:00,69
118,2022-12-17 02:58:00,112
119,2022-12-17 02:59:00,35
120,2022-12-17 03:00:00,16
121,2022-12-17 03:01:00,2
122,2022-12-17 03:02:00,5
123,2022-12-17 03:03:00,1
