,created_at,counts
0,2022-12-18 18:30:00,133
1,2022-12-18 18:31:00,147
2,2022-12-18 18:32:00,136
3,2022-12-18 18:33:00,128
4,2022-12-18 18:34:00,1098
5,2022-12-18 18:35:00,919
6,2022-12-18 18:36:00,752
7,2022-12-18 18:37:00,504
8,2022-12-18 18:38:00,407
9,2022-12-18 18:39:00,330
10,2022-12-18 18:40:00,268
11,2022-12-18 18:41:00,346
12,2022-12-18 18:42:00,404
13,2022-12-18 18:43:00,625
14,2022-12-18 18:44:00,674
15,2022-12-18 18:45:00,769
16,2022-12-18 18:46:00,1061
17,2022-12-18 18:47:00,697
18,2022-12-18 18:48:00,417
19,2022-12-18 18:49:00,337
20,2022-12-18 18:50:00,429
21,2022-12-18 18:51:00,434
22,2022-12-18 18:52:00,495
23,2022-12-18 18:53:00,955
24,2022-12-18 18:54:00,887
25,2022-12-18 18:55:00,1169
26,2022-12-18 18:56:00,904
27,2022-12-18 18:57:00,667
28,2022-12-18 18:58:00,461
29,2022-12-18 18:59:00,499
30,2022-12-18 19:00:00,691
31,2022-12-18 19:01:00,833
32,2022-12-18 19:02:00,565
33,2022-12-18 19:03:00,689
34,2022-12-18 19:04:00,1211
35,2022-12-18 19:05:00,955
36,2022-12-18 19:06:00,821
37,2022-12-18 19:07:00,586
38,2022-12-18 19:08:00,602
39,2022-12-18 19:09:00,559
40,2022-12-18 19:10:00,592
41,2022-12-18 19:11:00,664
42,2022-12-18 19:12:00,548
43,2022-12-18 19:13:00,890
44,2022-12-18 19:14:00,751
45,2022-12-18 19:15:00,1344
46,2022-12-18 19:16:00,1754
47,2022-12-18 19:17:00,681
48,2022-12-18 19:18:00,372
49,2022-12-18 19:19:00,408
50,2022-12-18 19:20:00,433
51,2022-12-18 19:21:00,2759
52,2022-12-18 19:22:00,1697
53,2022-12-18 19:23:00,2063
54,2022-12-18 19:24:00,1652
55,2022-12-18 19:25:00,1139
56,2022-12-18 19:26:00,1107
57,2022-12-18 19:27:00,1274
58,2022-12-18 19:28:00,2183
59,2022-12-18 19:29:00,827
60,2022-12-18 19:30:00,726
61,2022-12-18 19:31:00,428
62,2022-12-18 19:32:00,888
63,2022-12-18 19:33:00,1053
64,2022-12-18 19:34:00,2570
