,created_at,counts
0,2022-12-18 18:30:00,313
1,2022-12-18 18:31:00,351
2,2022-12-18 18:32:00,389
3,2022-12-18 18:33:00,360
4,2022-12-18 18:34:00,1317
5,2022-12-18 18:35:00,1104
6,2022-12-18 18:36:00,958
7,2022-12-18 18:37:00,752
8,2022-12-18 18:38:00,667
9,2022-12-18 18:39:00,1697
10,2022-12-18 18:40:00,2062
11,2022-12-18 18:41:00,1687
12,2022-12-18 18:42:00,1207
13,2022-12-18 18:43:00,1179
14,2022-12-18 18:44:00,1094
15,2022-12-18 18:45:00,1134
16,2022-12-18 18:46:00,1392
17,2022-12-18 18:47:00,1073
18,2022-12-18 18:48:00,793
19,2022-12-18 18:49:00,658
20,2022-12-18 18:50:00,714
21,2022-12-18 18:51:00,662
22,2022-12-18 18:52:00,725
23,2022-12-18 18:53:00,1229
24,2022-12-18 18:54:00,1171
25,2022-12-18 18:55:00,1596
26,2022-12-18 18:56:00,1302
27,2022-12-18 18:57:00,1042
28,2022-12-18 18:58:00,791
29,2022-12-18 18:59:00,848
30,2022-12-18 19:00:00,942
31,2022-12-18 19:01:00,1014
32,2022-12-18 19:02:00,726
33,2022-12-18 19:03:00,853
34,2022-12-18 19:04:00,1345
35,2022-12-18 19:05:00,1111
36,2022-12-18 19:06:00,960
37,2022-12-18 19:07:00,774
38,2022-12-18 19:08:00,885
39,2022-12-18 19:09:00,854
40,2022-12-18 19:10:00,877
41,2022-12-18 19:11:00,978
42,2022-12-18 19:12:00,928
43,2022-12-18 19:13:00,1258
44,2022-12-18 19:14:00,1042
45,2022-12-18 19:15:00,1594
46,2022-12-18 19:16:00,2071
47,2022-12-18 19:17:00,909
48,2022-12-18 19:18:00,574
49,2022-12-18 19:19:00,590
50,2022-12-18 19:20:00,585
51,2022-12-18 19:21:00,2950
52,2022-12-18 19:22:00,1912
53,2022-12-18 19:23:00,2323
54,2022-12-18 19:24:00,1868
55,2022-12-18 19:25:00,1323
56,2022-12-18 19:26:00,1313
57,2022-12-18 19:27:00,1907
58,2022-12-18 19:28:00,6034
59,2022-12-18 19:29:00,4475
60,2022-12-18 19:30:00,3049
61,2022-12-18 19:31:00,1921
62,2022-12-18 19:32:00,1951
63,2022-12-18 19:33:00,1847
64,2022-12-18 19:34:00,3402
65,2022-12-18 19:35:00,2737
66,2022-12-18 19:36:00,2637
67,2022-12-18 19:37:00,1628
68,2022-12-18 19:38:00,1516
69,2022-12-18 19:39:00,2971
70,2022-12-18 19:40:00,2086
71,2022-12-18 19:41:00,1886
72,2022-12-18 19:42:00,4230
73,2022-12-18 19:43:00,2505
74,2022-12-18 19:44:00,1744
75,2022-12-18 19:45:00,1272
76,2022-12-18 19:46:00,1144
77,2022-12-18 19:47:00,1017
78,2022-12-18 19:48:00,869
79,2022-12-18 19:49:00,705
80,2022-12-18 19:50:00,601
81,2022-12-18 19:51:00,1732
82,2022-12-18 19:52:00,1445
83,2022-12-18 19:53:00,1605
84,2022-12-18 19:54:00,1125
85,2022-12-18 19:55:00,1171
86,2022-12-18 19:56:00,1003
87,2022-12-18 19:57:00,864
88,2022-12-18 19:58:00,868
89,2022-12-18 19:59:00,1802
90,2022-12-18 20:00:00,895
91,2022-12-18 20:01:00,510
92,2022-12-18 20:02:00,877
93,2022-12-18 20:03:00,1206
94,2022-12-18 20:04:00,3138
95,2022-12-18 20:05:00,2226
96,2022-12-18 20:06:00,2782
97,2022-12-18 20:07:00,1626
98,2022-12-18 20:08:00,1145
99,2022-12-18 20:09:00,1212
100,2022-12-18 20:10:00,1671
101,2022-12-18 20:11:00,1802
102,2022-12-18 20:12:00,818
103,2022-12-18 20:13:00,801
104,2022-12-18 20:14:00,832
105,2022-12-18 20:15:00,1141
106,2022-12-18 20:16:00,3651
107,2022-12-18 20:17:00,3519
108,2022-12-18 20:18:00,3489
109,2022-12-18 20:19:00,2386
110,2022-12-18 20:20:00,1544
111,2022-12-18 20:21:00,2032
112,2022-12-18 20:22:00,2304
113,2022-12-18 20:23:00,1625
114,2022-12-18 20:24:00,974
115,2022-12-18 20:25:00,830
116,2022-12-18 20:26:00,733
117,2022-12-18 20:27:00,1213
118,2022-12-18 20:28:00,1131
119,2022-12-18 20:29:00,544
120,2022-12-18 20:30:00,687
121,2022-12-18 20:31:00,926
122,2022-12-18 20:32:00,1032
123,2022-12-18 20:33:00,2608
