created_at,text
2022-01-16 03:04:56,"----商品価格:4,180円----✨本日のトレンド✨#SixTONESANN火山噴火トンガの噴火#annkw気象庁の会見お得な商品をチェック✅気になる評判は？おすすめ？「b27」 【公式】N organic モイスチュア&amp;バランシング ローション エヌオーガニック スキン… [楽天] https://t.co/q7rSm85V8s #rakuafl https://t.co/gcYdb2UV1C"
2022-01-16 03:04:52,ミッフィーちゃん夢股ディオス#annkw
2022-01-16 03:04:41,動画までツイートしてくれるの珍しいありがてえ… #annkw
2022-01-16 03:04:27,最高にトゥースな夜だった#annkw https://t.co/liLMmhjyw1
2022-01-16 03:04:15,死んやめがなかったのは今週は仕方ないな #annkw #jolf
2022-01-16 03:04:15,若さんが禁煙を始めてくれたならば、しっかりとコレを見守り折に触れチェックを促さないと…！くらいの気持ちで禁煙が続いてくれる事を祈っております… (; *˙˙*) #annkw
2022-01-16 03:04:14,トゥース！！！#annkw https://t.co/WEGhDOOldm
2022-01-16 03:03:50,タバコをやめて蕎麦をはじめたら竹野内豊に話しかけられた(若林)、正月旅行で父親と揉める(春日)、チン！(東洋一のツッコミ春日)、春日家の正月旅行その後、春日:逆野内貧、ノリアキいじり#annkw
2022-01-16 03:03:49,イレギュラーで得体の知れないことが起きている中、必要な情報を伝えつつできる限りいつも通りの放送をしてくれることのありがたさをあらためて感じた #annkw
2022-01-16 03:03:48,"----商品価格:14,400円----✨本日のトレンド✨トンガの噴火#annkw気象庁の会見奄美群島#マーベルヒーローの日キャンペーンコンビニに売っていなくてもコチラで購入できます☺️気になる評判は？おすすめ？「a80」 IQOS イルマ プライム アイコス… [楽天] https://t.co/TBlClivHZX #rakuafl https://t.co/lN03ovZJKf"
2022-01-16 03:03:44,二段階トゥースいいな(^O^)#annkw
2022-01-16 03:03:43,RT&gt;動画アップするの珍しいな。このトゥース面白いからどこかでやってほしいなw#annkw
2022-01-16 03:03:42,おやすミッフィーちゃんアディオス！#annkw♯630
2022-01-16 03:03:42,お疲れさまでした。皆様気をつけてください。ミッフィーちゃん💫🐇#annkw
2022-01-16 03:03:38,どんな状況でもいつもこのラジオに救われてます😌ミッフィーちゃん#annkw
2022-01-16 03:03:35,南原さんが吹っ飛ばされた話しをしたことを後悔する若林、夢のような年末年始の仕事、眠れるYouTube、ナイツみたいになりたかった、若林とノンスタ石田のドリームマッチ、イタコ以上のネタは出来ない、ですよ。のチョココロネ、アパー:亜波、100点の春日のギャグ、春日1GP#annkw
2022-01-16 03:03:24,Quackで人気トレンドに関するつぶやきを確認しましょう。現在の人気トレンドは「#annkw」です。リンクはこちら→ https://t.co/ipMbQHZ8AJ
2022-01-16 03:03:22,おやすみっふぃーちゃん #annkw
2022-01-16 03:03:21,津波情報入りつつも春日さんのトゥース論面白かったし東洋一のツッコミのコーナー予想の斜めで1本食わされた春日さん面白かった…！お疲れ様でした #annkw
2022-01-16 03:03:16,ミッフィーちゃん海沿いのお住まいの方、お気をつけて #annkw
2022-01-16 03:03:15,#annkw からの #AdoANN0
2022-01-16 03:03:14,ありがとうございますwwwwww最高だwwwwww #annkw https://t.co/omLYfflN7k
2022-01-16 03:03:09,逆之内貧めちゃくちゃおもしろかった #annkw
2022-01-16 03:03:05,こういう時にいつも通りに放送やってくれるのがありがたい。オードリーのお二人お疲れさまでした！#annkw
2022-01-16 03:02:59,付け焼刃の皆さん、オードリーの御二方、イレギュラーな放送の中、お疲れ様でしたノリアキさん最高ですミッフィーちゃん！#annkw
2022-01-16 03:02:58,@natuki_72k #annkw 聴いてた！
2022-01-16 03:02:48,今週もめちゃくちゃ面白かったです。アディオス。#annkw
2022-01-16 03:02:41,神回続きだな #annkw
2022-01-16 03:02:40,トゥース#annkw https://t.co/4olnzujS0I
2022-01-16 03:02:40,さ！ふ！あ！さはりさ！ふ！！！さはりか！ら！あ！げ！4！#annkw
2022-01-16 03:02:39,"----商品価格:3,798円----✨本日のトレンド✨トンガの噴火#annkw気象庁の会見奄美群島#マーベルヒーローの日キャンペーンお得な商品をチェック✅気になる評判は？おすすめ？「b20」 【全品送料無料】スノーブーツ メンズ レディース ショート ブ… [楽天] https://t.co/Ey6HzAI1Sh #rakuafl https://t.co/sOJ34U33Wh"
2022-01-16 03:02:39,めちゃくちゃキレてんじゃん笑#annkw https://t.co/AEvC4W83rN
2022-01-16 03:02:36,NFLプレーオフあるから早く寝なきゃ。若様はどうするんかな。ってか明日午前中仕事なんかな。 #annkw
2022-01-16 03:02:36,まって春日さん #annkw
2022-01-16 03:02:35,いつも思う。なんでこんなに話のネタ思いつくんだろう。毎日たくさん観察してるのかな。#annkw
2022-01-16 03:02:33,久しぶりに聴こうとしたら津波情報仕方ない…#annkw
2022-01-16 03:02:29,ミッフィーちゃん。アディオス！この状況でも普段通りのラジオを届けてくれてありがとう。オードリー😭#annkw
2022-01-16 03:02:29,"----商品価格:3,798円----✨本日のトレンド✨トンガの噴火#annkw気象庁の会見奄美群島#マーベルヒーローの日キャンペーンお得な商品をチェック✅気になる評判は？おすすめ？「b20」 【全品送料無料】スノーブーツ メンズ レディース ショート ブ… [楽天] https://t.co/Y8VfbItNsq #rakuafl https://t.co/6K92YXuN3z"
2022-01-16 03:02:28,イレギュラーな放送でしたがお疲れ様でした気象庁の会見に合わせてトーク終わらす若様さすがだった。でも続きあってよかった。 #annkw
2022-01-16 03:02:24,ミッフィーちゃん！アディオス！ #annkw
2022-01-16 03:02:21,1位 #津波警報2位 #津波注意報3位 #エリアメール4位 #緊急速報5位 #津波大丈夫6位 #サイレン7位 #潮位変化8位 #annkw9位 #太平洋側10位 #火山噴火
2022-01-16 03:02:21,今日も最高に面白かったですギャグのうち貧ミッフィちゃん アディオス#annkw
2022-01-16 03:02:20,ミッフィーちゃん、アディオス#annkw
2022-01-16 03:02:17,竹之内豊さん、分かってたけど、すごいし格好いい人だ#annkw
2022-01-16 03:02:17,ミッフィーちゃん🐰😃🚬💨アディオス🎶🚗💨🎶#annkw
2022-01-16 03:02:17,#annkw今日1番笑ったの「夜じゃねーか！」wアディオスお疲れ様でした☺️
2022-01-16 03:02:14,#annkw#タダバカ
2022-01-16 03:02:07,アディオス！ #annkw
2022-01-16 03:02:06,ミッフィーちゃん🐰#annkw
2022-01-16 03:02:04,すげーこの写真竹野内豊と春日父が見える4ショットやわ#annkw
2022-01-16 03:01:56,ミッフィーちゃん #annkw
2022-01-16 03:01:55,ミッフィーちゃん、アディオス。 #annkw
2022-01-16 03:01:55,ミッフィーちゃんアディオス聴けてないとこは明日Tのしみ #annkw
2022-01-16 03:01:53,『逆野内 貧 』コレが面白かったかもw #annkw
2022-01-16 03:01:52,今週も2時間早かった……これでまた1週間頑張れそう💪お疲れ様でしたm(_ _)mミッフィーちゃん＆アディオス #annkw
2022-01-16 03:01:52,ミッフィーちゃんアディオス#annkw
2022-01-16 03:01:51,お疲れ様でしたミッフィーちゃんアディオス #annkw
2022-01-16 03:01:50,ミッフィーちゃん  #annkw
2022-01-16 03:01:44,ミッフィーちゃんアディオス！皆様津波にお気をつけて #annkw
2022-01-16 03:01:44,アディオス！！ #annkw
2022-01-16 03:01:44,ミッフィーちゃんアディオスお疲れ様でした #annkw
2022-01-16 03:01:37,ミッフィーちゃん #annkw
2022-01-16 03:01:35,津波が心配すぎてあんまり耳に入って来なかった……けど春日パパをいじるくだりまた聴けて善き🙏ミッフィーちゃん！アディオス！ #annkw
2022-01-16 03:01:31,お疲れ様でした！ #annkw
2022-01-16 03:01:29,水曜の朝､土曜を後悔した｡イタコ以上は不可能｡下請け春日｡ですよ｡のヤドカリチョココロネ｡評価が割れる亜波ー｡禁煙する､たばこは良くない｡蕎麦屋で竹野内豊に声をかけられる｡富士サハリパークに行きたい逆野内貧たち｡バカだから何言ってもわからない｡トゥース！ミッフィーちゃん!#annkw
2022-01-16 03:01:27,ミッフィーちゃん #annkw
2022-01-16 03:01:27,父親のことを悪く言うなよシリーズ笑ミッフィーちゃんアディオス！ #annkw
2022-01-16 03:01:26,ミッフィーちゃんアディオス#annkw
2022-01-16 03:01:25,私用で全然聞けなかった…こちらも後日タイムフリーに潜ります。お疲れ様でした。 #annkw
2022-01-16 03:01:23,このあとAdoさんなんか😳 #annkw
2022-01-16 03:01:23,帰りの渋滞も巻き込まれなかったかもしれない！ww#annkw
2022-01-16 03:01:20,おやすミッフィーちゃん！ #annkw
2022-01-16 03:01:16,超面白かった。ミッフィーちゃん #annkw
2022-01-16 03:01:15,逆野内貧#annkw
2022-01-16 03:01:14,ミッフィーちゃん #annkw
2022-01-16 03:01:14,オードリーのオールナイトニッポンお聴きいただきありがとうございました。写真は禁煙を始めた若林さんと、父親と揉めた春日さんです。《radikoタイムフリー》https://t.co/ar0SRgaFdz#annkw https://t.co/C94CaBvutE
2022-01-16 03:01:12,#annkwニッポン放送の制作で全国の皆様にお送りした『ニチレイPresents・オードリーのオールナイトニッポン』今週の放送はこれにてへいか～い！最後までお聴き頂きありがとうございました！明後日は『だーすーまさきとキングのオールナイトニッポン（ #菅田将暉ANN ）』をお送り！
2022-01-16 03:01:11,お疲れさまでした〜 #annkw
2022-01-16 03:01:09,アディオス！#annkw
2022-01-16 03:01:06,懐かしい話も聞けたり、家族トークもあって素晴らしい放送ありがとうございましたアディオス🌵#annkw
2022-01-16 03:01:05,アディオス久々リアタイ楽しかった#annkw
2022-01-16 03:01:03,エンディングやらず5分間警報アナウンスだったどゆこと？エンディングは？#annkw
2022-01-16 03:01:00,ミッフィーちゃん、アディオス！#annkw
2022-01-16 03:00:59,オードリーさんお疲れ様でした今後も津波に注意します、ミッフィーちゃん、アディオス☝️#annkw
2022-01-16 03:00:58,トゥース竹で笑わせられるの最強芸人過ぎる #annkw
2022-01-16 03:00:58,速報めっちゃなるな油断できねーぜ夢で逢えますように#annkw
2022-01-16 03:00:56,ミッフィーちゃんアディオス！ #annkw
2022-01-16 03:00:56,おやすミッフィー🐰ちゃんまた来週〜 #annkw
2022-01-16 03:00:55,お疲れ様でした#annkw
2022-01-16 03:00:54,#annkw https://t.co/aAXebMzRgr
2022-01-16 03:00:53,#annkwstvエンディング切るな
2022-01-16 03:00:53,アディオス#annkw
2022-01-16 03:00:51,アディオス、お疲れ様でした#annkw
2022-01-16 03:00:50,亜波#annkw https://t.co/gqXQ0XaXxI
2022-01-16 03:00:49,お疲れ様でした。#annkw
2022-01-16 03:00:49,ミッフィーちゃんアディオスお疲れ様でした #annkw
2022-01-16 03:00:48,やっぱ馬鹿は馬鹿#annkw
2022-01-16 03:00:45,今週も最高でしたおやすミッフィーちゃん、アディオス#annkwオードリーのオールナイトニッポン │ ニッポン放送 | https://t.co/08eS8HUbRp
2022-01-16 03:00:42,久しぶりにリアタイで最後まで聞けたやっぱりラジオはいいな #annkw
2022-01-16 03:00:42,ミッフィーちゃんアディオス！ #annkw
2022-01-16 03:00:40,おやすミッフィーちゃぁん！！！#annkw
2022-01-16 03:00:39,アディオス～ #annkw
2022-01-16 03:00:37,ミッフィーちゃん #annkw
2022-01-16 03:00:35,ミッフィーちゃんアディオス！お疲れ様でした #annkw
