,created_at,tweet
0,2022-01-16 01:00:00,862
1,2022-01-16 01:01:00,309
2,2022-01-16 01:02:00,122
3,2022-01-16 01:03:00,213
4,2022-01-16 01:04:00,237
5,2022-01-16 01:05:00,174
6,2022-01-16 01:06:00,182
7,2022-01-16 01:07:00,157
8,2022-01-16 01:08:00,95
9,2022-01-16 01:09:00,83
10,2022-01-16 01:10:00,77
11,2022-01-16 01:11:00,52
12,2022-01-16 01:12:00,50
13,2022-01-16 01:13:00,41
14,2022-01-16 01:14:00,45
15,2022-01-16 01:15:00,74
16,2022-01-16 01:16:00,98
17,2022-01-16 01:17:00,87
18,2022-01-16 01:18:00,123
19,2022-01-16 01:19:00,136
20,2022-01-16 01:20:00,119
21,2022-01-16 01:21:00,86
22,2022-01-16 01:22:00,58
23,2022-01-16 01:23:00,48
24,2022-01-16 01:24:00,63
25,2022-01-16 01:25:00,62
26,2022-01-16 01:26:00,89
27,2022-01-16 01:27:00,123
28,2022-01-16 01:28:00,184
29,2022-01-16 01:29:00,160
30,2022-01-16 01:30:00,185
31,2022-01-16 01:31:00,208
32,2022-01-16 01:32:00,111
33,2022-01-16 01:33:00,57
34,2022-01-16 01:34:00,61
35,2022-01-16 01:35:00,112
36,2022-01-16 01:36:00,108
37,2022-01-16 01:37:00,124
38,2022-01-16 01:38:00,89
39,2022-01-16 01:39:00,56
40,2022-01-16 01:40:00,20
41,2022-01-16 01:41:00,18
42,2022-01-16 01:42:00,15
43,2022-01-16 01:43:00,23
44,2022-01-16 01:44:00,16
45,2022-01-16 01:45:00,12
46,2022-01-16 01:46:00,24
47,2022-01-16 01:47:00,20
48,2022-01-16 01:48:00,71
49,2022-01-16 01:49:00,75
50,2022-01-16 01:50:00,77
51,2022-01-16 01:51:00,85
52,2022-01-16 01:52:00,85
53,2022-01-16 01:53:00,71
54,2022-01-16 01:54:00,85
55,2022-01-16 01:55:00,75
56,2022-01-16 01:56:00,91
57,2022-01-16 01:57:00,132
58,2022-01-16 01:58:00,127
59,2022-01-16 01:59:00,102
60,2022-01-16 02:00:00,111
61,2022-01-16 02:01:00,89
62,2022-01-16 02:02:00,49
63,2022-01-16 02:03:00,35
64,2022-01-16 02:04:00,28
65,2022-01-16 02:05:00,19
66,2022-01-16 02:06:00,23
67,2022-01-16 02:07:00,9
68,2022-01-16 02:08:00,15
69,2022-01-16 02:09:00,15
70,2022-01-16 02:10:00,19
71,2022-01-16 02:11:00,34
72,2022-01-16 02:12:00,45
73,2022-01-16 02:13:00,100
74,2022-01-16 02:14:00,102
75,2022-01-16 02:15:00,54
76,2022-01-16 02:16:00,34
77,2022-01-16 02:17:00,37
78,2022-01-16 02:18:00,40
79,2022-01-16 02:19:00,50
80,2022-01-16 02:20:00,82
81,2022-01-16 02:21:00,64
82,2022-01-16 02:22:00,74
83,2022-01-16 02:23:00,74
84,2022-01-16 02:24:00,84
85,2022-01-16 02:25:00,60
86,2022-01-16 02:26:00,44
87,2022-01-16 02:27:00,100
88,2022-01-16 02:28:00,188
89,2022-01-16 02:29:00,232
90,2022-01-16 02:30:00,161
91,2022-01-16 02:31:00,120
92,2022-01-16 02:32:00,96
93,2022-01-16 02:33:00,42
94,2022-01-16 02:34:00,71
95,2022-01-16 02:35:00,81
96,2022-01-16 02:36:00,61
97,2022-01-16 02:37:00,75
98,2022-01-16 02:38:00,67
99,2022-01-16 02:39:00,75
100,2022-01-16 02:40:00,76
101,2022-01-16 02:41:00,33
102,2022-01-16 02:42:00,37
103,2022-01-16 02:43:00,48
104,2022-01-16 02:44:00,76
105,2022-01-16 02:45:00,108
106,2022-01-16 02:46:00,82
107,2022-01-16 02:47:00,103
108,2022-01-16 02:48:00,79
109,2022-01-16 02:49:00,89
110,2022-01-16 02:50:00,93
111,2022-01-16 02:51:00,104
112,2022-01-16 02:52:00,120
113,2022-01-16 02:53:00,63
114,2022-01-16 02:54:00,43
115,2022-01-16 02:55:00,63
116,2022-01-16 02:56:00,45
117,2022-01-16 02:57:00,37
118,2022-01-16 02:58:00,263
119,2022-01-16 02:59:00,241
120,2022-01-16 03:00:00,76
121,2022-01-16 03:01:00,33
122,2022-01-16 03:02:00,26
123,2022-01-16 03:03:00,17
124,2022-01-16 03:04:00,7
