created_at,text
2022-01-20 15:32:19,うまい！（棒） #tama954 https://t.co/O8fBu6JkmG
2022-01-20 15:31:40,お疲れさまでしたー #tama954
2022-01-20 15:31:29,たまちゃん『Oculusのおかげで我々時計を使わなかったね』ECCカッターのためにもタイマーは不要なんです #tama954
2022-01-20 15:31:22,うちの大学は学籍番号を書いて出してたなあ。書く紙を多めに取って代返し放題だったが #tama954
2022-01-20 15:31:14,ひとりごと：１年後アメリカが生きてるとは思えないなぁと、、、まぁ地球まるごとだけど。　 #tama954 #ss954
2022-01-20 15:30:22,赤江さんは満月を見ると興奮するらしい…悟空なのかまた来週です #tama954
2022-01-20 15:30:21,赤江さんが金が値上がりしていることを把握しているのは瀧さんに「金を買ったら相場を気にするようになるから買いな」といわれたおかげ……？(金としての価値と関係なくお金がかかる細工物を買ったのは赤江さんの判断) #tama954
2022-01-20 15:30:15,赤江さん「オキュラスのお陰で我々は時計を使わなかった」礼央さん「本当だー」礼央さん、これでいいの？（笑） #tama954
2022-01-20 15:30:14,#tama954　何事も勉強だな～。
2022-01-20 15:30:04,時短のために列ごとにカードまとめてピッピするので、その時に紛れ込ませて…　#tama954
2022-01-20 15:30:02,お疲れ様でした。また来週(*￣▽￣)ﾉ~~ ﾏﾀﾈｰ♪ #tama954 #tbsradio
2022-01-20 15:30:02,代返出来なかったら出席率下がるもんだろ。。 #tama954
2022-01-20 15:29:58,#tama954 #ss954 知らないうちに、3時30分
2022-01-20 15:29:47,おきゅらすでタイムキーパー秘書を（） #tama954
2022-01-20 15:29:44,ホッケ #tama954
2022-01-20 15:29:38,ピッて出席やってそのままサボるんだよ… #tama954
2022-01-20 15:29:38,とうとうタイマーお払い箱…www #tama954
2022-01-20 15:29:35,え、代返がハモるって言うあるあるがもうないの？#tama954
2022-01-20 15:29:24,締めはVRご満悦な感想 #tama954
2022-01-20 15:29:17,ヒルバレーの時計台？BTTF？#tama954 https://t.co/QKsetM92aP
2022-01-20 15:29:07,代返ができないのよね #tama954
2022-01-20 15:29:07,代返できないからね#TBS954 #TBSラジオ #tama954 #たまむすび
2022-01-20 15:29:05,そんな事まで把握されちゃうの(@_@) #tama954
2022-01-20 15:28:51,ヒルバレーの時計台ってBTTFじゃん #tama954
2022-01-20 15:28:46,まあニーサは気になってたからな #tama954
2022-01-20 15:28:44,伊集院さんが馬鹿力で昔やってたゲスダックの投資はどうなったんだっけ?w #tama954 #ijuin
2022-01-20 15:28:42,#アシタノカレッジ に出たときは静かだったよ #tama954
2022-01-20 15:28:35,#tama954　ギャンブルは胴元が儲かるようにできてるよ、どこも(￣▽￣;)　宝くじも一緒。
2022-01-20 15:28:33,代返ができへんようになったからやわ #tama954
2022-01-20 15:28:25,『先生、金はどうですか？』『先生、仮想通貨は？』『先生、宝くじはどうですか？』『ジェイソン流お金の』を『お菓子の』 と噛むたまちゃんはやっぱり最高！w #tama954
2022-01-20 15:28:24,えッ代返出来そうだけど。。 #tama954
2022-01-20 15:28:20,『日本の空気』を『日本のクッキー』と言ったり、本当に赤江工場長なんだから（笑） #tama954
2022-01-20 15:28:19,それは部活の後輩とかにカードだけ渡しているからでは…#tama954
2022-01-20 15:28:12,自分もつい最近つみたてNISA始めたばっかだけどコツコツ頑張ろって気になった #tama954
2022-01-20 15:28:09,赤江さん銭ゲバ無人島男また来週〜 #tama954
2022-01-20 15:28:06,あと #週末ノオト のハセン氏もやってるって言ってましたね#tama954 https://t.co/O6qWi8N1XX
2022-01-20 15:27:54,千住のネギ。きょうは間違ってない？ #tama954
2022-01-20 15:27:48,赤毛のアンのマシューの死因＞銀行破綻のニュース若草物語も親父さんの投資がこけた話があったわな～＞日本だと幕末あたりの時系列あっちの人は「投資」の歴史も長い(^^； #tama954
2022-01-20 15:27:45,？？？：ビールと焼酎でリスク分散＼(^o^)／　(^_^;)(^_^;)　 #tama954
2022-01-20 15:27:32,期待値半分以下でしたっけまだ競馬の方が圧倒的に高いですよね#tama954 https://t.co/DsT7K3ZveC
