,created_at,tweet
0,2022-01-20 13:00:00,10
1,2022-01-20 13:01:00,12
2,2022-01-20 13:02:00,17
3,2022-01-20 13:03:00,17
4,2022-01-20 13:04:00,16
5,2022-01-20 13:05:00,12
6,2022-01-20 13:06:00,20
7,2022-01-20 13:07:00,11
8,2022-01-20 13:08:00,32
9,2022-01-20 13:09:00,19
10,2022-01-20 13:10:00,31
11,2022-01-20 13:11:00,25
12,2022-01-20 13:12:00,34
13,2022-01-20 13:13:00,27
14,2022-01-20 13:14:00,20
15,2022-01-20 13:15:00,22
16,2022-01-20 13:16:00,23
17,2022-01-20 13:17:00,13
18,2022-01-20 13:18:00,11
19,2022-01-20 13:19:00,13
20,2022-01-20 13:20:00,22
21,2022-01-20 13:21:00,23
22,2022-01-20 13:22:00,13
23,2022-01-20 13:23:00,7
24,2022-01-20 13:24:00,10
25,2022-01-20 13:25:00,5
26,2022-01-20 13:26:00,22
27,2022-01-20 13:27:00,19
28,2022-01-20 13:28:00,13
29,2022-01-20 13:29:00,4
30,2022-01-20 13:30:00,5
31,2022-01-20 13:31:00,4
32,2022-01-20 13:32:00,2
33,2022-01-20 13:33:00,3
34,2022-01-20 13:34:00,5
35,2022-01-20 13:35:00,7
36,2022-01-20 13:36:00,14
37,2022-01-20 13:37:00,15
38,2022-01-20 13:38:00,4
39,2022-01-20 13:39:00,10
40,2022-01-20 13:40:00,11
41,2022-01-20 13:41:00,12
42,2022-01-20 13:42:00,16
43,2022-01-20 13:43:00,24
44,2022-01-20 13:44:00,20
45,2022-01-20 13:45:00,20
46,2022-01-20 13:46:00,15
47,2022-01-20 13:47:00,11
48,2022-01-20 13:48:00,11
49,2022-01-20 13:49:00,11
50,2022-01-20 13:50:00,16
51,2022-01-20 13:51:00,15
52,2022-01-20 13:52:00,20
53,2022-01-20 13:53:00,8
54,2022-01-20 13:54:00,11
55,2022-01-20 13:55:00,4
56,2022-01-20 13:56:00,1
57,2022-01-20 13:57:00,4
58,2022-01-20 13:58:00,9
59,2022-01-20 13:59:00,12
60,2022-01-20 14:00:00,15
61,2022-01-20 14:01:00,10
62,2022-01-20 14:02:00,10
63,2022-01-20 14:03:00,15
64,2022-01-20 14:04:00,13
65,2022-01-20 14:05:00,10
66,2022-01-20 14:06:00,16
67,2022-01-20 14:07:00,11
68,2022-01-20 14:08:00,16
69,2022-01-20 14:09:00,8
70,2022-01-20 14:10:00,14
71,2022-01-20 14:11:00,17
72,2022-01-20 14:12:00,23
73,2022-01-20 14:13:00,26
74,2022-01-20 14:14:00,23
75,2022-01-20 14:15:00,17
76,2022-01-20 14:16:00,12
77,2022-01-20 14:17:00,10
78,2022-01-20 14:18:00,22
79,2022-01-20 14:19:00,20
80,2022-01-20 14:20:00,9
81,2022-01-20 14:21:00,4
82,2022-01-20 14:22:00,17
83,2022-01-20 14:23:00,20
84,2022-01-20 14:24:00,14
85,2022-01-20 14:25:00,12
86,2022-01-20 14:26:00,5
87,2022-01-20 14:27:00,6
88,2022-01-20 14:28:00,3
89,2022-01-20 14:29:00,4
90,2022-01-20 14:30:00,3
91,2022-01-20 14:31:00,4
92,2022-01-20 14:32:00,3
93,2022-01-20 14:33:00,3
94,2022-01-20 14:34:00,1
95,2022-01-20 14:35:00,2
96,2022-01-20 14:36:00,3
97,2022-01-20 14:37:00,3
98,2022-01-20 14:38:00,4
99,2022-01-20 14:39:00,1
100,2022-01-20 14:40:00,2
101,2022-01-20 14:41:00,2
102,2022-01-20 14:42:00,3
103,2022-01-20 14:43:00,7
104,2022-01-20 14:44:00,8
105,2022-01-20 14:45:00,5
106,2022-01-20 14:46:00,6
107,2022-01-20 14:47:00,13
108,2022-01-20 14:48:00,6
109,2022-01-20 14:49:00,4
110,2022-01-20 14:50:00,6
111,2022-01-20 14:51:00,2
112,2022-01-20 14:52:00,1
113,2022-01-20 14:53:00,1
114,2022-01-20 14:54:00,6
115,2022-01-20 14:55:00,4
116,2022-01-20 14:56:00,9
117,2022-01-20 14:57:00,4
118,2022-01-20 14:58:00,12
119,2022-01-20 14:59:00,8
120,2022-01-20 15:00:00,7
121,2022-01-20 15:01:00,10
122,2022-01-20 15:02:00,10
123,2022-01-20 15:03:00,9
124,2022-01-20 15:04:00,15
125,2022-01-20 15:05:00,13
126,2022-01-20 15:06:00,9
127,2022-01-20 15:07:00,7
128,2022-01-20 15:08:00,13
129,2022-01-20 15:09:00,12
130,2022-01-20 15:10:00,14
131,2022-01-20 15:11:00,19
132,2022-01-20 15:12:00,17
133,2022-01-20 15:13:00,12
134,2022-01-20 15:14:00,11
135,2022-01-20 15:15:00,17
136,2022-01-20 15:16:00,10
137,2022-01-20 15:17:00,15
138,2022-01-20 15:18:00,17
139,2022-01-20 15:19:00,26
140,2022-01-20 15:20:00,25
141,2022-01-20 15:21:00,23
142,2022-01-20 15:22:00,18
143,2022-01-20 15:23:00,36
144,2022-01-20 15:24:00,48
145,2022-01-20 15:25:00,37
146,2022-01-20 15:26:00,16
147,2022-01-20 15:27:00,10
148,2022-01-20 15:28:00,13
149,2022-01-20 15:29:00,11
150,2022-01-20 15:30:00,7
151,2022-01-20 15:31:00,4
152,2022-01-20 15:32:00,1
