created_at,text
2022-01-24 16:49:59,吾郎ちゃん今日はたくさんラジオ生出演お疲れ様でした🙌とっても楽しく一日を過ごせました！また明日♪#THETRAD　#稲垣吾郎
2022-01-24 16:49:50,黒沢さん面白かった✨今度、森三中の3人でななにーに遊び来ないかな😊#黒沢かずこ #稲垣吾郎#thetrad #tokyofm
2022-01-24 16:49:48,"----商品価格:1,980円----✨本日のトレンド✨壮馬くんたばこ注意諏訪部さん#THETRAD招募缶バッジお得な商品をチェック✅気になる評判は？おすすめ？「d39」 【6段階の角度調節】 PCスタンド アルミニウム ノートパソコン タブレット スタンド 角… [楽天] https://t.co/jEyBZ9IY5Q #rakuafl https://t.co/wu2UAZfNkT"
2022-01-24 16:49:43,さようなら〜👋 #THETRAD
2022-01-24 16:49:42,つよぽんとの様子、何となく想像がつきました😂#THETRAD #稲垣吾郎 #吉田明世
2022-01-24 16:49:39,黒沢さん、いつものテイストありがとうございました。今日も良く眠れそうです。 #黒沢かずこ #THETRAD  #稲垣吾郎
2022-01-24 16:49:36,ざ、とらっどぉ〜今日は朝から喋り続けてたから声が良く出てる❣️ #THETRAD #稲垣吾郎
2022-01-24 16:49:35,ここまで目を見て話をした事が無かった黒沢かずこさん☺️#THETRAD
2022-01-24 16:49:32,お疲れ様でした〜 #THETRAD
2022-01-24 16:49:28,さよなら~#THETRAD #稲垣吾郎
2022-01-24 16:49:27,75帖にジワジワきてる #THETRAD
2022-01-24 16:49:23,吾郎さんラジオたくさんお疲れ様でした〜。また明日 #THETRAD
2022-01-24 16:49:19,また明日〜😊#THETRAD #tokyofm #稲垣吾郎 #吉田明世
2022-01-24 16:49:15,ゴロさんラジオDayお疲れ様ー👐また明日🧚#THETRAD
2022-01-24 16:49:13,明日は音楽と脳科学。中野信子さんときつねさんがゲスト。#稲垣吾郎 #吉田明世 #THETRAD
2022-01-24 16:49:05,黒沢かずこさん即興ソングすごい。有難うございました、楽しかったです。#THETRAD #稲垣吾郎 #吉田明世
2022-01-24 16:49:02,きつねさん好きなのでリアタイしたかったな～ #THETRAD
2022-01-24 16:49:00,また明日(=゜ω゜)ﾉ#THETRAD
2022-01-24 16:49:00,お疲れ様でした！ #THETRAD
2022-01-24 16:48:53,「料理で野菜切る時、ミニマムの繰り返しかもね」 #稲垣吾郎 #吉田明世 #tokyofm #THETRAD
2022-01-24 16:48:49,カイルくんと吾郎さんのジングルで面白すぎて高まった気持ちを鎮める(๑˃̵ᴗ˂̵)#THETRAD #稲垣吾郎 #吉田明世 #tokyofm  #黒沢かずこ
2022-01-24 16:48:46,お疲れ様でした！ #THETRAD
2022-01-24 16:48:46,吾郎さんと黒沢さんってなんか似たもの同士なのかなって思いました。好きだわ、黒沢さん #THETRAD
2022-01-24 16:48:37,黒沢さん､楽しいトークと即興ソングをありがとうございました｡#THETRAD #稲垣吾郎 #黒沢かずこ #吉田明世
2022-01-24 16:48:34,吾「きつねって誰？」吉「ななにーにお越し頂いていますよ」吉田さんに教えてもらう吾郎店長w#THETRAD #Tokyofm #稲垣吾郎 #吉田明世
2022-01-24 16:48:32,吉「ブルンプルーン」吉「ドゥルルルル」#THETRAD
2022-01-24 16:48:21,大人になった黒沢さんと店長👍次はななにーヤネ😉#THETRAD #稲垣吾郎
2022-01-24 16:48:17,黒沢さんがとても楽しそうで、聴いているこちらもすごく楽しくなりました。ご来店ありがとうございました♪ #THETRAD #稲垣吾郎 #吉田明世 #tokyofm #黒沢かずこ
2022-01-24 16:48:09,ずっとリアルタイムで　#ダレハナ　から #THETRAD まで聴けた❣️嬉しい一日だ😆
2022-01-24 16:48:03,黒沢さんめちゃくちゃ楽しかったです📻🥰 #THETRAD
2022-01-24 16:47:59,黒沢の即興ソングの破壊力こんなもんじゃない。また来てね！！✨ #THETRAD
2022-01-24 16:47:55,#黒沢かずこ さんの即興ソングスゴい😂面白かったー！また、いらしてくださいね！#THETRAD#稲垣吾郎#吉田明世
2022-01-24 16:47:55,黒沢さん✨めっちゃ楽しかったぁ😆✨吾郎店長の声も弾んでて嬉しいのがめっちゃ伝わってきたよ🎶黒沢さんまた吾郎店長と共演して下さい🥰楽しみに待ってます⭐️ #THETRAD#稲垣吾郎 #吉田明世
2022-01-24 16:47:45,大人になってよかった！吾郎店長と目を見て話ができた！最後は黒沢さんの即興🤣😂😆さすが黒沢さんだ👏👏👏楽しい時間をありがとう💕#THETRAD #黒沢かずこ#稲垣吾郎
2022-01-24 16:47:43,（笑） #THETRAD
2022-01-24 16:47:39,黒沢さんの吾郎ちゃんの話面白かった！最後時間なくなっちゃったね、中山美穂ちゃんのファンだったんだね #THETRAD
2022-01-24 16:47:30,きつねさん、ななにーにもご出演されてるよね #稲垣吾郎 #吉田明世 #tokyofm #THETRAD
2022-01-24 16:47:21,きつねってだれ？ｗ　＃THETRAD　＃TOKYOFM　＃稲垣吾郎　＃吉田明世
2022-01-24 16:47:18,大人になるっていいことだね！黒沢さんこれから吾郎さんとの友情育んでください。#黒沢かずこ #稲垣吾郎 #吉田明世 #THETRAD
2022-01-24 16:47:18,#THETRAD #TOKYOFM #稲垣吾郎 #吉田明世　＃黒沢かずこ　面白かった～黒沢さんまた是非いらしてください♪
2022-01-24 16:47:10,黒沢さんめっちゃ楽しかったです！#THETRAD #黒沢かずこ
2022-01-24 16:47:10,黒沢さんと店長、楽しかった❣️#THETRAD #稲垣吾郎
2022-01-24 16:47:08,きつねさんってななにーに出てた人だっけ？ #THETRAD#稲垣吾郎
2022-01-24 16:47:07,はやいはやい朝からの吾郎ちゃんはやいはやい#THETRAD もう閉店💦
2022-01-24 16:47:05,黒沢さん、楽しかったですよ～。ありがとうございました😊#THETRAD #稲垣吾郎 #黒沢かずこ #吉田明世
2022-01-24 16:47:02,即興ソングでお別れ😆黒沢さん吾郎さんの素敵面白エピソードありがとうございました♪吾郎さんとの友情これからまたスタートですね♪#THETRAD #稲垣吾郎 #吉田明世 #tokyofm
2022-01-24 16:47:01,黒沢さんの即興ソング楽しかった😂#黒沢かずこ#THETRAD #稲垣吾郎
2022-01-24 16:46:59,即興ソング歌ってくれた🎶黒沢さん、ご来店ありがとうございました⤴️#THETRAD #稲垣吾郎
2022-01-24 16:46:58,あんまり呟けなかったけど、楽しかったーゴロバーからのお付き合いの方々のお話ホント好き☺️黒沢かずこさんありがとうございました🌟｡:*#THETRAD
2022-01-24 16:46:54,3時台音楽を味方につけよう。音楽と脳科学4時台きつさんが登場！ #稲垣吾郎 #吉田明世 #tokyofm #THETRAD
2022-01-24 16:46:54,吾郎店長、今日は朝からラジオ番組の出演お疲れ様でした😊全てリアタイできてラッキーでした✌️とても楽しかったです🎶#恋のすべて　が無事にと毎日お祈りしています💕明日も楽しみにしています！#THETRAD#稲垣吾郎
2022-01-24 16:46:53,黒沢かずこさん面白かった貴重なお話もたくさんありがとうございました#THETRAD #TOKYOFM #稲垣吾郎 #吉田明世
2022-01-24 16:46:51,人間と人間になれたは草 #THETRAD
2022-01-24 16:46:41,黒沢さん面白すぎてすごーく楽しかった💕また吾郎さんと人間と人間の語らいをしにTRADにいらしてくださいね❣️#THETRAD #稲垣吾郎 #吉田明世 #tokyofm  #黒沢かずこ
2022-01-24 16:46:40,🤣🤣即興ソングめちゃくちゃ面白い🤣🤣とっても楽しかった黒沢さん、ありがとうございました🎶#THETRAD  #TOKYOFM#黒沢かずこ さん#稲垣吾郎　#吉田明世
2022-01-24 16:46:38,途中から聴き始めたけど黒沢さんすっごく楽しかった〜#THETRAD
2022-01-24 16:46:36,黒沢さん無事に帰れたかな？またぜひ 新しい別の窓ななにー に 遊びに来てくださいねお話も即興ソングも楽しかったです#THETRAD #稲垣吾郎
2022-01-24 16:46:33,あー、早かった。めちゃくちゃ楽しいお話し、ありがとうございました。#THETRAD
2022-01-24 16:46:31,#THETRADさっきたまたまつけたら中山美穂Ｃ♪改めて聴くと、やっぱあの時代のアイドルソングっぽいキラキラ感出てるな～あれも筒美京平、松本隆だったんだ～お笑いで唯一藤井隆もそのゴールデンコンビ？に作ってもらってるってナンダカンダ1曲しか知らないけど(汗)まさかそんなわけないよね？ｗ
2022-01-24 16:46:24,黒沢さん、無茶振りありがとうございました🙇‍♀️ #THETRAD #稲垣吾郎 #SMAP #吉田明世 #黒沢かずこ
2022-01-24 16:46:23,黒沢さん楽しい～🎶またゲストで来てくださいね。 #THETRAD
2022-01-24 16:46:19,以前から親交のあるゲストさんとのトークは懐かしくて面白くて本当に楽しい❣️#黒沢かずこ さん、楽しいお話ありがとうございました🙇。#THETRAD#TOKYOFM#稲垣吾郎#吉田明世
2022-01-24 16:46:18,ゴロさんは観てる場合じゃない、演って下さい #THETRAD
2022-01-24 16:46:12,黒澤さん、めっちゃ楽しかったよーありがとう、また来てね〜#THETRAD#稲垣吾郎＃森三中
2022-01-24 16:46:11,黒沢さん 即興ソング ありがとう🤣 #THETRAD
2022-01-24 16:46:07,黒沢さんの即興ソングに大笑い🤣🤣#THETRAD ＃稲垣吾郎＃黒沢かずこ
2022-01-24 16:46:07,吾郎さんとこんなに目を合わせて話したのは初めて、大人になって良かったと黒沢さん。黒沢さんの気持ち分かります…。楽しいお話ありがとうございます。#THETRAD #稲垣吾郎 #吉田明世#tokyofm
2022-01-24 16:46:06,黒沢さん、お疲れさまでした🤗👏👏👏火曜日のスカロケでデッカチャンと共演して欲しい！🤣またスカロケにも来てください！❤️💖❤️ #THETRAD
2022-01-24 16:46:04,黒沢さん、シャイだよね～吾郎店長の顔、しっかり見れて、良かったね🤭#THETRAD#稲垣吾郎#吉田明世#黒沢かずこ
2022-01-24 16:46:02,人間と人間になれたwww 黒沢さんありがとうございました！とても楽しかったし、吾郎さんもテンション上がっていた笑 #THETRAD
2022-01-24 16:45:59,ダンスも見たかった黒沢さん😂 #THETRAD
2022-01-24 16:45:58,吾郎店長と目を見ながら話せて嬉しい、って本当に嬉しそうな声でお話してくれてて、聴いてるこちらまでとても嬉しく思える😊#黒沢かずこ #THETRAD #稲垣吾郎
2022-01-24 16:45:57,吾郎さんの目をみ見て話したのは初めての #黒沢かずこ さん😊鼻歌まで歌っていましたもの🎵🎶これから吾郎さんとお友達になれそうですね、羨ましい😍💕ご来店ありがとうございました✨#THETRAD #TOKYOFM #稲垣吾郎 #吉田明世
2022-01-24 16:45:57,黒沢さん、即興ソングありがとうございます😆💕✨#THETRAD #黒沢かずこ #稲垣吾郎 　#吉田明世
2022-01-24 16:45:56,「これが今tokyofmに流れているかと思うと〜」と歌う黒沢さん。楽しかったです、ありがとうございます😊#THETRAD
2022-01-24 16:45:53,超広い会議室に吾郎さんとつよぽん同じ方向を向いて喋らず居心地良さそうに20代から縁側の老夫婦😁#稲垣吾郎 #草彅剛 #THETRAD
2022-01-24 16:45:53,吾郎店長と目を見てお話出来ようになり大人になって良かった〜。黒沢さん。#THETRAD #黒沢かずこ#稲垣吾郎 #吉田明世
2022-01-24 16:45:52,黒沢さんと吾郎店長との友情が始まる💗#THETRAD#稲垣吾郎　#吉田明世
2022-01-24 16:45:52,黒沢さんいつもの即興ソングありがとう〜❣️入館証、忘れずちゃんと返してね🤣🤣🤣#稲垣吾郎 #THETRAD
2022-01-24 16:45:51,黒沢さん、さいこー#THETRAD  #稲垣吾郎
2022-01-24 16:45:48,東方神起の話するのにBGMが「Why?」なの上手いな〜と思う。素人の自分には東方神起といえばこの曲 #THETRAD  Why? (Keep Your Head Down) / 東方神起https://t.co/rYbD2MuTAS
2022-01-24 16:45:45,黒沢さんとゴロウちゃんの友情は始まります。#THETRAD #稲垣吾郎
2022-01-24 16:45:45,黒沢さん楽しかったですありがとうございます...♪*ﾟ #THETRAD
2022-01-24 16:45:44,黒沢さん、可愛い✨#THETRAD
2022-01-24 16:45:44,黒沢さんの即興ソング😆 #THETRAD
2022-01-24 16:45:43,即興ソング🎤( ＾∀＾)👋黒沢さん楽しいトークをありがとうございました💕 #THETRAD
2022-01-24 16:45:43,黒沢さん即興ソング😂👏👏👏#THETRAD
2022-01-24 16:45:42,入館証、タレントさんご自身で返すのね #THETRAD
2022-01-24 16:45:42,黒沢さん♥#THETRAD #稲垣吾郎
2022-01-24 16:45:41,黒沢さん、楽しいお話ありがとうございました。吾郎店長も楽しそうでしたね。#THETRAD　#稲垣吾郎
2022-01-24 16:45:40,黒沢さん🤣🤣🤣後頭部がゾクゾクした🤣🤣🤣#THETRAD
2022-01-24 16:45:35,東方神起は唯一K-Popで好きなグループ。#THETRAD #稲垣吾郎#黒沢かずこ
2022-01-24 16:45:35,黒沢さん、そんなに吾郎さんとは共演なかったっけ。すっごく楽しそうにお話されてて、こちらまで楽しくなっちゃいました！ #稲垣吾郎 #吉田明世 #tokyofm #THETRAD
2022-01-24 16:45:35,黒沢さん即興ソング👏入館証😆#黒沢かずこ #稲垣吾郎 #吉田明世 #THETRAD
2022-01-24 16:45:33,黒沢さん:人間と人間になれた吾郎店長:これからだよボク達の友情は！#THETRAD #TOKYOFM #稲垣吾郎 #吉田明世
2022-01-24 16:45:31,最高！！！また千手観音かずこ観たい𖤐´- #THETRAD
2022-01-24 16:45:31,黒沢さん楽しかったです\(*ˊᗜˋ*)/🎶🎶✨ #THETRAD
2022-01-24 16:45:28,黒沢さんも吾郎店長も楽しそうでおもしろかったｗ #THETRAD
2022-01-24 16:45:24,即興ソング🎶#THETRAD#稲垣吾郎＃森三中
2022-01-24 16:45:23,🌈(^.^)❣️黒沢さんありがとう❣️ #THETRAD #稲垣吾郎#吉田朋世
2022-01-24 16:45:23,黒沢さんの即興ソング😆歌ってくれて嬉しい👏👏#THETRAD
2022-01-24 16:45:23,黒沢さんの即興ソング、最高〜💞 #THETRAD
2022-01-24 16:45:23,森三中の黒沢さん😊吾郎店長が20代の頃のエピソードやとっても楽しいお話しをありがとうございます🤗吾郎店長と目を見てお話しが出来て良かったですね💗#THETRAD#稲垣吾郎
2022-01-24 16:45:22,黒沢さん🤣面白い🤣 #THETRAD
2022-01-24 16:45:22,大人になって図々しくなった黒沢さんwww #THETRAD #稲垣吾郎 #吉田明世 #黒沢かずこ
2022-01-24 16:45:19,黒沢さん楽しかった！またトークしてほしいです#THETRAD
2022-01-24 16:45:14,#黒沢かずこ さん即興ソング来たよ😆そしてありがとうございます😊#THETRAD#稲垣吾郎#吉田明世
2022-01-24 16:45:13,👋👋👋👋👋👋👋👋👋黒沢さん楽しかったです💛このあとの #スカロケ にもちょこっと登場してほしいなぁ🥰 #THETRAD
2022-01-24 16:45:13,黒沢さんの即興ソング🤣入館証の返却に困る黒沢さん笑#THETRAD #稲垣吾郎 #吉田明世 #tokyofm  #黒沢かずこ
2022-01-24 16:45:12,黒沢さんの即興ソングだ🤣 #THETRAD
2022-01-24 16:45:10,#THETRAD 黒沢さんそれはもう歌じゃなくて雄たけびよね。でもいっぱい喋れてよかったね！
2022-01-24 16:45:07,黒沢さん素敵ですたのしかったぁぁぁぁぁ #THETRAD
2022-01-24 16:44:59,黒沢さんwwwwwwwww#THETRAD #稲垣吾郎 #吉田明世 #黒沢かずこ https://t.co/aDAQfAuIGQ
2022-01-24 16:44:57,即興ソング笑笑喜び爆発💥#THETRAD #稲垣吾郎 #吉田明世 #tokyofm
2022-01-24 16:44:57,面白いwww黒沢さんwww #THETRAD
2022-01-24 16:44:56,素晴らしい　＃THETRAD
2022-01-24 16:44:53,黒沢さん良かったねー🤣#THETRAD
2022-01-24 16:44:52,THE TRAD | TOKYO FMB.U.T⭐️東方神起https://t.co/loC06RsIHZ#radiko #THETRAD #稲垣吾郎 #吉田明世
2022-01-24 16:44:49,即興ソング🤣🤣🤣#THETRAD#稲垣吾郎#黒沢かずこ
2022-01-24 16:44:44,黒沢さんw #THETRAD
2022-01-24 16:44:43,黒沢さんカッコいいや！！ #THETRAD
2022-01-24 16:44:43,私もライブ行きたい🔥❤️‍🔥 #THETRAD
2022-01-24 16:44:40,tokyoFMでむちゃぶりすなぁ笑#thetrad
2022-01-24 16:44:38,ゴロウちゃ〜〜んって声出される側だもんね😉いっぱいゴロウちゃ〜〜んってコエ出したい❣️#THETRAD #稲垣吾郎
2022-01-24 16:44:36,ライブ、コンサート会場のファンの顔いいよねぇ😌幸せしかない💕また感じたい#THETRAD
2022-01-24 16:44:34,吾郎さんと黒沢さんは「人間と人間」になれた 笑 #THETRAD
2022-01-24 16:44:33,ゴロてんちょっゴロてんちょっｗ #THETRAD
2022-01-24 16:44:16,久しぶりの吾郎さんとの再会について。黒沢「嬉しいです。こんな目を見ながら喋ったの初めてかも。大人になってよかったです！人間と人間になったなって感じ」#THETRAD #稲垣吾郎 #吉田明世 #tokyofm  #黒沢かずこ
2022-01-24 16:44:12,即興ソングきたｗｗｗ #THETRAD
2022-01-24 16:44:10,「人間と人間になれた」😂#THETRAD
2022-01-24 16:44:04,黒沢さん吾郎さんと話せて本当に楽しそう♪嬉しい😊#THETRAD #稲垣吾郎 #吉田明世 #tokyofm
2022-01-24 16:44:01,黒沢さんが幸せそうでめっちゃ嬉しい😁 #THETRAD
2022-01-24 16:43:52,僕達の友情はこれからだよ黒沢さん👏👏👏#稲垣吾郎#THETRAD
2022-01-24 16:43:46,近所の商業施設にインストアライブで東方神起が来た時館内があふれたと行っていた来たのは知ってたけど恐ろしくていけなかったのは言うまでもない#THETRAD#黒沢かずこ#稲垣吾郎#吉田明世
2022-01-24 16:43:45,笑笑 #THETRAD
2022-01-24 16:43:31,黒沢さんの即興ソング🎶🎤😆#THETRAD #稲垣吾郎  #ハマオカモト #吉田明世 #中川絵美里 #tokyofm
2022-01-24 16:43:28,トレンドにマツケンサンバ！もれなくカツケンも🤣#THETRAD #稲垣吾郎 #SMAP #吉田明世 https://t.co/fBzYmhv2Qp
2022-01-24 16:43:23,吾郎店長とこんなにお話出来て｢大人になってズーズーしくなって良かった｣#THETRAD#TOKYOFM#黒沢かずこ#稲垣吾郎#吉田明世
2022-01-24 16:43:10,黒沢さんおもしろーい👏👏👏👏👏👏即興ソング✨✨✨✨✨ #THETRAD
2022-01-24 16:43:09,B.U.T#THETRAD
2022-01-24 16:42:58,即興ソングすぎるw #THETRAD
2022-01-24 16:42:57,吾郎さんと目を見てお話しできるようになって、大人になれて良かったですね黒沢さん #THETRAD#稲垣吾郎 即興ソング🤣
2022-01-24 16:42:53,東方神起🎵懐かしいね！吾郎店長と黒沢さんが盛り上がって楽しい〜🎶🎶 #THETRAD#稲垣吾郎
2022-01-24 16:42:51,黒沢さんが面白くて最高すぎた🤣 #THETRAD
2022-01-24 16:42:49,私もスマオタさんが素敵だから、よりsmapのことも好きになったなぁ☺️ #THETRAD
2022-01-24 16:42:49,即興ソングww #THETRAD
2022-01-24 16:42:48,即興ソングwww#THETRAD #Tokyofm #稲垣吾郎 #吉田明世#黒沢かずこ
2022-01-24 16:42:46,黒沢さん面白かった- ̗̀( ˶'ᵕ'˶)#THETRAD#黒沢かずこ
2022-01-24 16:42:42,人間と人間の間柄　これから友情が始まる。　ななにーにも来てください ❣️#THETRAD
2022-01-24 16:42:39,千手観音かずこも好きだよー #THETRAD
2022-01-24 16:42:22,吾郎ちゃん、慎吾の明治座で私たちの笑顔いっぱい見たでしょ？#THETRAD#黒沢かずこ#稲垣吾郎 #香取慎吾
2022-01-24 16:42:21,#TOKYOFM＃THETRAD黒沢さんがゲストで＃東方神起　の話が出て＃BUT　が流れた～#君は先へ行く#YUNHOfrom東方神起 #ユンホ
2022-01-24 16:42:21,やっぱりSMAPでしょ～5人揃ってステージに立つ姿は、誰にも敵わないから～😆💙❤💗💛💚#THETRAD#稲垣吾郎 #吉田明世#黒沢かずこ
2022-01-24 16:42:20,黒沢さん図々しくなってよかったよ。楽しそうに話してて嬉しい😆#THETRAD
2022-01-24 16:42:18,嬉しいです！こんな目を見ながら喋ったの初めてです。大人になってよかった！図々しくなって吾郎店長とお話しできるなんて！と黒沢かずこさん。 #稲垣吾郎 #吉田明世 #tokyofm #THETRAD 即興ソングもお披露目！w
2022-01-24 16:42:11,目だけだけど上げて落とした-w-w#THETRAD
2022-01-24 16:42:05,東方神起。お仕事をした時にファンの人たちが嬉しそうにしてたので、ライブに行ってみたら、指先から足先まで一生懸命パフォーマンスしてて、その全力さに感激した黒沢さん。#THETRAD #稲垣吾郎 #吉田明世 #tokyofm  #黒沢かずこ
2022-01-24 16:42:03,東方神起！K-popファンて一緒に歌ったりするよね。 #THETRAD
