created_at,text
2022-01-24 16:34:53,毎度お騒がせします楽しかったな～C-C-Bの、ロマンティックが止まらないが主題歌だったね#THETRAD#稲垣吾郎 #吉田明世#黒沢かずこ
2022-01-24 16:34:51,懐かしー ミポリンのデビュー曲😊全然歌えるわ😁 #THETRAD
2022-01-24 16:34:49,夢で逢えたら面白かったねその枠に夢がMORIMORIが入ったんだよね #THETRAD
2022-01-24 16:34:49,森三中の村上さんがお煎餅をバリバリ吾郎店長の隣で食べてたのを見てた黒沢さん｡村上さんに注意を｡でも吾郎店長は､怒るどころか｢いい音だよねえ｣と言って一緒にお煎餅を食べ出して本当にその気遣いと優しさに驚いたと黒沢さん｡吾郎店長は気遣いの人ですよね｡#THETRAD #稲垣吾郎 #黒沢かずこ
2022-01-24 16:34:48,『夢で逢えたら』めっちゃ好きだったー！！#THETRAD
2022-01-24 16:34:48,吾郎さんと村上さんの #ブス恋めちゃくちゃ大好き大好きでした💕#THETRAD#稲垣吾郎
2022-01-24 16:34:48,これは夏体験物語だったかな？#THETRAD#稲垣吾郎
2022-01-24 16:34:46,わかる、オープニング思い出すわ。#THETRAD
2022-01-24 16:34:45,ゴクミと共演しとったのぅ🤗 #THETRAD
2022-01-24 16:34:43,中山美穂さんに憧れていた黒沢さんに(¬_¬)目元が似てるねこういうところがね。天性ね🤭#THETRAD #TOKYOFM #稲垣吾郎 #吉田明世
2022-01-24 16:34:37,#THETRAD懐かしい中山美穂さん「C」♪#稲垣吾郎
2022-01-24 16:34:35,♬中山美穂「C」めっさ懐かしい！！ミポリンの出てたドラマで制服が印象的だった「セーラー服反逆同盟」が好きだったなぁ😊 #THETRAD
2022-01-24 16:34:33,黒沢さんがミポリンみたいなアイドルになりたくて考えてた芸名　相澤かすみカワイイねキャピキャピお話しされてる黒沢さんが可愛いよ💕#THETRAD  #TOKYOFM#黒沢かずこ さん#稲垣吾郎　#吉田明世
2022-01-24 16:34:33,THE TRAD | TOKYO FM「C」⭐️中山美穂https://t.co/7398fBCeyZ#radiko #THETRAD #稲垣吾郎 #吉田明世
2022-01-24 16:34:30,黒沢かずこさん楽しいな😆 #THETRAD
2022-01-24 16:34:27,夢であえたら　は夢モリの前の番組ですね！懐かしい！#THETRAD
2022-01-24 16:34:24,Cなつかしーシングルもアルバムも沢山持ってたなぁ。実家にあるかしらまだ#THETRAD
2022-01-24 16:34:24,声めっちゃ若い#THETRAD #TOKYOFM #稲垣吾郎 #吉田明世 #黒沢かずこ
2022-01-24 16:34:22,懐かしい☺️ #THETRAD
2022-01-24 16:34:19,「C」小学生の頃家族でカラオケ行くとよく歌ってた❤🎤みぽりん好きだったな。#THETRAD #稲垣吾郎
2022-01-24 16:34:15,夢で逢えたらの後番組が夢モリなのでは？ #THETRAD#稲垣吾郎
2022-01-24 16:34:03,中山美穂C、キターー❣️みぽりんの曲で1番好きだわ💕 #THETRAD #稲垣吾郎
2022-01-24 16:33:59,スターな男じゃん！夢で逢えたら観てたよ。#THETRAD
2022-01-24 16:33:58,懐かしい曲が続く〜🥳ドラマの話も懐かしい🎶#黒沢かずこ #THETRAD #稲垣吾郎
2022-01-24 16:33:56,懐かしい…木村一八元気かな…　 #THETRAD
2022-01-24 16:33:55,松ちゃんの歌声が可愛い💕絶対に流して欲しくないと思うけど！番組にクレームきそう😆 #THETRAD #稲垣吾郎 #松本人志 #黒沢かずこ
2022-01-24 16:33:55,ライブ会場におさむさんと大島さんが結婚の報告に行った時に同行した黒沢さんひろーい楽屋(会議室)に剛くんと並んで同じ方向を向いて座っててびっくりした👀‼️ロハスーーー😍💗💛#THETRAD#稲垣吾郎
2022-01-24 16:33:51,黒沢さんかわいくて楽しい😄 #THETRAD
2022-01-24 16:33:47,黒沢さんが元気になる曲スターな男/ユニコーン　＃THETRAD　＃TOKYOFM　＃稲垣吾郎　＃吉田明世
2022-01-24 16:33:45,懐かしいね～アイドルミポリンオンオンみたい#THETRAD
2022-01-24 16:33:35,みぽりんは人気だったもんね。夫もなぜか昔みぽりんの写真集を隠し持ってたわｗ#THETRAD
2022-01-24 16:33:35,初めて買ってもらったCDはみぽりんだったわ #THETRAD
2022-01-24 16:33:34,みぽりんの『C』て毎度お騒がせしますの主題歌だったっけ…(´・ω・`)?#THETRAD
2022-01-24 16:33:33,#THETRAD私も小学生の頃、ミポリン好きだった✨#稲垣吾郎
2022-01-24 16:33:29,私のアイドルもみぽりん、うれしいわー🥰#THETRAD
2022-01-24 16:33:28,ミポリンになりたかった！目元が似てると吾郎店長😊黒沢さん語るね〜😁 #THETRAD#稲垣吾郎
2022-01-24 16:33:27,森三中のお三方は、妹が個人的にお付き合いがあって、時々話を聞いてたけど、プライベートでもとても良い方々だと言ってたなぁ⤴️#THETRAD #稲垣吾郎
2022-01-24 16:33:26,黒沢かずこさん、ありがとー😉👍🎶❗ミポリン大好き😍#THETRAD
2022-01-24 16:33:25,黒沢さんジワる #黒沢かずこ #稲垣吾郎 #THETRAD
2022-01-24 16:33:23,残念ながらママはアイドルも毎度お騒がせもぜーんぶ見てない😞 #THETRAD#稲垣吾郎
2022-01-24 16:33:20,ミポリンになりたかった黒沢さん😊#THETRAD#稲垣吾郎
2022-01-24 16:33:16,中山美穂さんが憧れだった黒沢さん#THETRAD #TOKYOFM #稲垣吾郎 #吉田明世 #黒沢かずこ
2022-01-24 16:33:14,ミポリンちょっとはすっぱなね～はすっぱって？#THETRAD#稲垣吾郎#黒沢かずこ
2022-01-24 16:33:11,黒沢さんて整ったお顔立ちだよね🥰 #THETRAD
2022-01-24 16:33:11,中山美穂に目元が似てるって☺️黒沢さん嬉しいね！#THETRAD#稲垣吾郎　#吉田明世
2022-01-24 16:33:06,吾郎さんにミポリンに目元似てると言われて黒沢さんオドオドしてるけどカワユス#THETRAD#黒沢かずこ#稲垣吾郎#吉田明世
2022-01-24 16:33:04,かしゃかしゃ感が80年代♪#THETRAD
2022-01-24 16:33:01,あいざわかすみw#THETRAD
2022-01-24 16:33:01,75畳くらいの広い楽屋に吾郎ちゃんとつよポンが何にもしゃべらずに座ってる！黒沢さん！面白い#THETRAD#稲垣吾郎#吉田明世
2022-01-24 16:33:00,#THETRAD 黒沢さんサイコー！
2022-01-24 16:32:54,憧れのみぽりんを熱く語る黒沢さん。#THETRAD #稲垣吾郎 #吉田明世 #tokyofm  #黒沢かずこ
2022-01-24 16:32:53,毎度おさわがせしますんときのみぽりんは最強だったな #THETRAD
2022-01-24 16:32:44,私も、中山美穂さんに憧れてた😆#THETRAD
2022-01-24 16:32:40,ダウンタウン、サブスクあるんだけどー！！#THETRAD https://t.co/VH8dSFtp7J https://t.co/M6oTjlvqiQ
2022-01-24 16:32:39,ホントの優しさを持つ店長💗ゴロウちゃん、稲垣吾郎💗ダイスキ💗💗#THETRAD#稲垣吾郎
2022-01-24 16:32:33,顔の下半身💦#THETRAD
2022-01-24 16:32:31,「ママはアイドル」はビデオテープ擦り切れるほど見たわw@中山美穂#THETRAD #Tokyofm #稲垣吾郎 #吉田明世
2022-01-24 16:32:29,芸名ｗｗｗ考えるよねｗｗｗ #THETRAD
2022-01-24 16:32:29,私もみぽりん好きTHE TRAD │ TOKYO FMhttps://t.co/7UWjwiUeHd#radiko #THETRAD #稲垣吾郎 #吉田明世
2022-01-24 16:32:28,#黒沢かずこ　さん💗吾郎店長との面白いエピソードありがとうございます電車で笑ってしまいました🤣マスクがあって助かった🤣#THETRAD #稲垣吾郎
2022-01-24 16:32:28,みぽりんになりたかった黒沢さん。「あいざわかすみ」という芸名を決めてた。#THETRAD　#稲垣吾郎　#吉田明世　#黒沢かずこ
2022-01-24 16:32:26,ミポリン、ママはアイドル 好きだったな。あと、お暇ならきてよね も双子の役で見てたな。 #THETRAD
2022-01-24 16:32:25,黒沢さん話したいことたまってたのね😊#THETRAD　#TOKYOFM#稲垣吾郎 　#吉田明世#黒沢かずこ
2022-01-24 16:32:22,あいざわかすみ　かわいっ笑#thetrad#黒沢かずこ
2022-01-24 16:32:18,アイドルになりたかった黒沢さん。#THETRAD #稲垣吾郎 #吉田明世 #tokyofm  #黒沢かずこ
2022-01-24 16:32:15,目がミポリンに似てる(°▽°)わたしは鈴木杏樹になりたかったよ。 #THETRAD #稲垣吾郎 #SMAP #吉田明世 #黒沢かずこ
2022-01-24 16:32:11,黒沢さんのアイドルは松本さん。でも今の松本さんは鍛えすぎて知らない松本さん #黒沢かずこ #稲垣吾郎 #THETRAD
2022-01-24 16:32:08,毎度おさわがせしますだな！ #THETRAD
2022-01-24 16:32:05,黒沢さんダウンタウンが曲出してた頃の話wしかも人志ソロ曲推しwうれしいー！#THETRAD
