created_at,text,author_id,username,like_count,retweet_count
2022-01-24 16:54:45,#THETRAD  黒沢さん楽しかったー♪  今日は ハシゴで生出演 お疲れさまでした💗  今日の午前中の吾郎さん 夜聴きまーす また明日〜⋆⸜(´ᵕ｀๑)⸝,97843251,nao_04515,0,0
2022-01-24 16:54:40,この時間は家族の邪魔が入ってすんなり聴けない😂  ミポリンのC、懐かしい〜！ 毎度お騒がせも夢で逢えたらも 絶対に観てた、テレビ大好きな時代〜 #稲垣吾郎 #THETRAD,995145044175736832,miyanon105,6,0
2022-01-24 16:54:40,吾郎店長、午前も午後もラジオ番組の 生出演お疲れ様でした。  楽しかったです♪また明日〜。 #THETRAD #稲垣吾郎 #吉田明世,911256434108645376,Poodle56Toy,4,0
2022-01-24 16:53:59,吾郎さんのスペシャルラジオデー終わった。 楽しかった。それぞれ少しずつ違う吾郎さんを楽しめました。 #ij954 #ダレハナ #THETRAD #稲垣吾郎,106312714,pinot96,159,16
2022-01-24 16:53:31,あー、吾郎さんの ラジオジャックの1日が 終わった〜❣️ まだまだ足りない〜😝 けど… ま、明日もあるか。 C U tomorrow❣️👋  #稲垣吾郎 #THETRAD,154074992,goromichiyo,20,1
2022-01-24 16:53:23,今日は朝、お昼、昼下がり…と吾郎さんの声が聴けて幸せでした♡ 一日お疲れ様でした。 また明日も楽しみにしています！ #THETRAD #稲垣吾郎 #吉田明世 #tokyofm,911984865549049862,ako565655,23,4
2022-01-24 16:53:19,黒沢さん、羨ましい。 東方神起のライブに行けるなんて。 5人でスマスマに来てくれたね。 #THETRAD #東方神起  #BUT,949897064179122178,monsieur0909,1,0
2022-01-24 16:53:19,気を取り直して 🍞こねこねメッセージ 無心になれるって 大事な事ね  脳科学 中野信子さん 楽しみ！ きつね あの方たちよね (私、自信が無い😅)  また明日👋  #THETRAD #稲垣吾郎 #吉田明世,2948100434,risarei56,26,0
2022-01-24 16:52:59,今日も楽しい時間でした♡   #THETRAD  #稲垣吾郎  #吉田明世,929247237258952709,taeponsan8686,3,0
2022-01-24 16:52:51,また明日 さようなら  #THETRAD   #稲垣吾郎   #吉田明世   #tokyofm   #radiko,303651608,myumama7,1,0
2022-01-24 16:52:46,吾郎店長💗吉田店員💕 また明日(∩´∀`∩)ﾊﾞｨﾊﾞｨ🎶  #THETRAD #稲垣吾郎  #吉田明世,945482706644643840,dango1210mama,0,1
2022-01-24 16:52:33,75畳くらいある大きな楽屋にポツンとひとつ空けた横並びの席で同じ方向を向いて座っていた若きごろうとつよしの姿をどうしても吾郎店長に伝えたかった森三中黒沢さんw #THETRAD,256314035,ku243sa,3,0
2022-01-24 16:52:32,午前中の伊集院さん　→ダレハナ　れなちさん　→THE TRAD　のラジオデー、お疲れ様でした。たくさん吾郎さんのお声が聞けて、また、それぞれちょっとずつ雰囲気の違う話し方も新鮮で楽しかったです。 また明日～  #THETRAD　#稲垣吾郎,1299956389,kaobun_go,12,3
2022-01-24 16:52:32,朝から赤坂→半蔵門、生放送のゲスト出演そして週始めの店長お疲れさまでした☺️🥰😆   #THETRAD,953959567561449472,skchy_012,1,0
2022-01-24 16:52:31,吾郎店長、朝からラジオ巡りお疲れさまでした。楽しかったです。吉田店員も毎朝お疲れさまです。また明日ー #稲垣吾郎 #吉田明世 #THETRAD,912713818333003778,choco2L,9,1
