,created_at,tweet,like
0,2022-01-20 13:00:00,9,6
1,2022-01-20 13:01:00,12,10
2,2022-01-20 13:02:00,14,11
3,2022-01-20 13:03:00,17,18
4,2022-01-20 13:04:00,15,11
5,2022-01-20 13:05:00,11,2
6,2022-01-20 13:06:00,19,5
7,2022-01-20 13:07:00,9,5
8,2022-01-20 13:08:00,30,16
9,2022-01-20 13:09:00,17,15
10,2022-01-20 13:10:00,31,20
11,2022-01-20 13:11:00,24,21
12,2022-01-20 13:12:00,32,47
13,2022-01-20 13:13:00,24,136
14,2022-01-20 13:14:00,20,27
15,2022-01-20 13:15:00,22,31
16,2022-01-20 13:16:00,22,11
17,2022-01-20 13:17:00,12,11
18,2022-01-20 13:18:00,11,115
19,2022-01-20 13:19:00,13,14
20,2022-01-20 13:20:00,22,16
21,2022-01-20 13:21:00,20,65
22,2022-01-20 13:22:00,13,9
23,2022-01-20 13:23:00,7,473
24,2022-01-20 13:24:00,9,91
25,2022-01-20 13:25:00,5,3
26,2022-01-20 13:26:00,20,41
27,2022-01-20 13:27:00,19,24
28,2022-01-20 13:28:00,12,13
29,2022-01-20 13:29:00,4,1
30,2022-01-20 13:30:00,5,40
31,2022-01-20 13:31:00,4,42
32,2022-01-20 13:32:00,2,1
33,2022-01-20 13:33:00,3,0
34,2022-01-20 13:34:00,5,4
35,2022-01-20 13:35:00,7,4
36,2022-01-20 13:36:00,14,16
37,2022-01-20 13:37:00,14,27
38,2022-01-20 13:38:00,4,3
39,2022-01-20 13:39:00,10,7
40,2022-01-20 13:40:00,11,8
41,2022-01-20 13:41:00,11,4
42,2022-01-20 13:42:00,14,0
43,2022-01-20 13:43:00,23,6
44,2022-01-20 13:44:00,20,7
45,2022-01-20 13:45:00,20,7
46,2022-01-20 13:46:00,14,5
47,2022-01-20 13:47:00,11,8
48,2022-01-20 13:48:00,11,6
49,2022-01-20 13:49:00,9,2
50,2022-01-20 13:50:00,15,2
51,2022-01-20 13:51:00,15,14
52,2022-01-20 13:52:00,20,20
53,2022-01-20 13:53:00,8,8
54,2022-01-20 13:54:00,10,61
55,2022-01-20 13:55:00,4,1
56,2022-01-20 13:56:00,1,0
57,2022-01-20 13:57:00,4,3
58,2022-01-20 13:58:00,9,1
59,2022-01-20 13:59:00,11,3
60,2022-01-20 14:00:00,14,3
61,2022-01-20 14:01:00,10,8
62,2022-01-20 14:02:00,10,3
63,2022-01-20 14:03:00,14,12
64,2022-01-20 14:04:00,13,10
65,2022-01-20 14:05:00,9,10
66,2022-01-20 14:06:00,15,12
67,2022-01-20 14:07:00,10,9
68,2022-01-20 14:08:00,15,174
69,2022-01-20 14:09:00,7,2
70,2022-01-20 14:10:00,14,8
71,2022-01-20 14:11:00,17,16
72,2022-01-20 14:12:00,23,11
73,2022-01-20 14:13:00,25,21
74,2022-01-20 14:14:00,22,18
75,2022-01-20 14:15:00,15,26
76,2022-01-20 14:16:00,12,25
77,2022-01-20 14:17:00,9,7
78,2022-01-20 14:18:00,22,10
79,2022-01-20 14:19:00,20,233
80,2022-01-20 14:20:00,9,6
81,2022-01-20 14:21:00,4,5
82,2022-01-20 14:22:00,13,8
83,2022-01-20 14:23:00,20,18
84,2022-01-20 14:24:00,14,5
85,2022-01-20 14:25:00,12,12
86,2022-01-20 14:26:00,5,5
87,2022-01-20 14:27:00,5,3
88,2022-01-20 14:28:00,3,3
89,2022-01-20 14:29:00,4,2
90,2022-01-20 14:30:00,3,2
91,2022-01-20 14:31:00,2,18
92,2022-01-20 14:32:00,3,2
93,2022-01-20 14:33:00,2,1
94,2022-01-20 14:34:00,1,0
95,2022-01-20 14:35:00,2,0
96,2022-01-20 14:36:00,3,1
97,2022-01-20 14:37:00,3,2
98,2022-01-20 14:38:00,4,1
99,2022-01-20 14:39:00,1,0
100,2022-01-20 14:40:00,2,1
101,2022-01-20 14:41:00,2,0
102,2022-01-20 14:42:00,3,0
103,2022-01-20 14:43:00,7,3
104,2022-01-20 14:44:00,8,5
105,2022-01-20 14:45:00,4,1
106,2022-01-20 14:46:00,6,4
107,2022-01-20 14:47:00,10,3
108,2022-01-20 14:48:00,6,2
109,2022-01-20 14:49:00,3,2
110,2022-01-20 14:50:00,6,0
111,2022-01-20 14:51:00,2,1
112,2022-01-20 14:52:00,1,0
113,2022-01-20 14:53:00,1,0
114,2022-01-20 14:54:00,6,4
115,2022-01-20 14:55:00,4,0
116,2022-01-20 14:56:00,9,3
117,2022-01-20 14:57:00,4,1
118,2022-01-20 14:58:00,12,42
119,2022-01-20 14:59:00,7,4
120,2022-01-20 15:00:00,5,1
121,2022-01-20 15:01:00,10,4
122,2022-01-20 15:02:00,9,1
123,2022-01-20 15:03:00,8,3
124,2022-01-20 15:04:00,14,2
125,2022-01-20 15:05:00,13,15
126,2022-01-20 15:06:00,8,1
127,2022-01-20 15:07:00,6,0
128,2022-01-20 15:08:00,11,126
129,2022-01-20 15:09:00,12,6
130,2022-01-20 15:10:00,13,4
131,2022-01-20 15:11:00,16,16
132,2022-01-20 15:12:00,15,88
133,2022-01-20 15:13:00,11,10
134,2022-01-20 15:14:00,10,7
135,2022-01-20 15:15:00,15,14
136,2022-01-20 15:16:00,8,6
137,2022-01-20 15:17:00,14,7
138,2022-01-20 15:18:00,15,4
139,2022-01-20 15:19:00,24,7
140,2022-01-20 15:20:00,24,13
141,2022-01-20 15:21:00,19,6
142,2022-01-20 15:22:00,16,5
143,2022-01-20 15:23:00,32,12
144,2022-01-20 15:24:00,44,21
145,2022-01-20 15:25:00,35,29
146,2022-01-20 15:26:00,16,11
147,2022-01-20 15:27:00,10,13
148,2022-01-20 15:28:00,11,6
149,2022-01-20 15:29:00,9,6
150,2022-01-20 15:30:00,6,0
151,2022-01-20 15:31:00,4,1
152,2022-01-20 15:32:00,1,1
