,created_at,tweet,like
0,2022-01-31 15:00:00,5,21
1,2022-01-31 15:01:00,9,13
2,2022-01-31 15:02:00,13,54
3,2022-01-31 15:03:00,17,57
4,2022-01-31 15:04:00,20,22
5,2022-01-31 15:05:00,18,441
6,2022-01-31 15:06:00,13,86
7,2022-01-31 15:07:00,8,26
8,2022-01-31 15:08:00,13,240
9,2022-01-31 15:09:00,13,19
10,2022-01-31 15:10:00,20,121
11,2022-01-31 15:11:00,7,65
12,2022-01-31 15:12:00,7,78
13,2022-01-31 15:13:00,8,71
14,2022-01-31 15:14:00,5,30
15,2022-01-31 15:15:00,7,294
16,2022-01-31 15:16:00,1,2
17,2022-01-31 15:17:00,5,11
18,2022-01-31 15:18:00,5,6
19,2022-01-31 15:19:00,3,3
20,2022-01-31 15:20:00,6,6
21,2022-01-31 15:21:00,7,14
22,2022-01-31 15:22:00,4,23
23,2022-01-31 15:23:00,6,31
24,2022-01-31 15:24:00,6,9
25,2022-01-31 15:25:00,9,9
26,2022-01-31 15:26:00,4,6
27,2022-01-31 15:27:00,4,4
28,2022-01-31 15:28:00,9,32
29,2022-01-31 15:29:00,11,317
30,2022-01-31 15:30:00,4,9
31,2022-01-31 15:31:00,12,36
32,2022-01-31 15:32:00,8,18
33,2022-01-31 15:33:00,4,8
34,2022-01-31 15:34:00,6,9
35,2022-01-31 15:35:00,5,307
36,2022-01-31 15:36:00,9,35
37,2022-01-31 15:37:00,12,31
38,2022-01-31 15:38:00,24,126
39,2022-01-31 15:39:00,25,107
40,2022-01-31 15:40:00,21,113
41,2022-01-31 15:41:00,15,71
42,2022-01-31 15:42:00,15,86
43,2022-01-31 15:43:00,24,248
44,2022-01-31 15:44:00,13,107
45,2022-01-31 15:45:00,2,3
46,2022-01-31 15:46:00,6,65
47,2022-01-31 15:47:00,8,28
48,2022-01-31 15:48:00,8,19
49,2022-01-31 15:49:00,6,6
50,2022-01-31 15:50:00,4,13
51,2022-01-31 15:51:00,3,8
52,2022-01-31 15:52:00,4,29
53,2022-01-31 15:53:00,0,0
54,2022-01-31 15:54:00,2,21
55,2022-01-31 15:55:00,0,0
56,2022-01-31 15:56:00,2,5
57,2022-01-31 15:57:00,2,11
58,2022-01-31 15:58:00,3,4
59,2022-01-31 15:59:00,0,0
60,2022-01-31 16:00:00,3,11
61,2022-01-31 16:01:00,7,12
62,2022-01-31 16:02:00,9,14
63,2022-01-31 16:03:00,16,116
64,2022-01-31 16:04:00,7,12
65,2022-01-31 16:05:00,6,16
66,2022-01-31 16:06:00,9,15
67,2022-01-31 16:07:00,5,15
68,2022-01-31 16:08:00,4,180
69,2022-01-31 16:09:00,5,6
70,2022-01-31 16:10:00,1,1
71,2022-01-31 16:11:00,1,2
72,2022-01-31 16:12:00,1,1
73,2022-01-31 16:13:00,5,20
74,2022-01-31 16:14:00,2,38
75,2022-01-31 16:15:00,0,0
76,2022-01-31 16:16:00,4,10
77,2022-01-31 16:17:00,2,3
78,2022-01-31 16:18:00,6,17
79,2022-01-31 16:19:00,11,38
80,2022-01-31 16:20:00,14,21
81,2022-01-31 16:21:00,8,15
82,2022-01-31 16:22:00,10,30
83,2022-01-31 16:23:00,11,12
84,2022-01-31 16:24:00,3,5
85,2022-01-31 16:25:00,7,11
86,2022-01-31 16:26:00,5,426
87,2022-01-31 16:27:00,9,9
88,2022-01-31 16:28:00,3,2
89,2022-01-31 16:29:00,6,12
90,2022-01-31 16:30:00,6,6
91,2022-01-31 16:31:00,5,8
92,2022-01-31 16:32:00,12,11
93,2022-01-31 16:33:00,10,17
94,2022-01-31 16:34:00,12,33
95,2022-01-31 16:35:00,19,51
96,2022-01-31 16:36:00,7,338
97,2022-01-31 16:37:00,13,99
98,2022-01-31 16:38:00,8,30
99,2022-01-31 16:39:00,8,61
100,2022-01-31 16:40:00,6,16
101,2022-01-31 16:41:00,7,7
102,2022-01-31 16:42:00,8,8
103,2022-01-31 16:43:00,12,47
104,2022-01-31 16:44:00,15,78
105,2022-01-31 16:45:00,16,71
106,2022-01-31 16:46:00,9,47
107,2022-01-31 16:47:00,8,32
108,2022-01-31 16:48:00,9,26
109,2022-01-31 16:49:00,12,23
110,2022-01-31 16:50:00,13,47
111,2022-01-31 16:51:00,15,50
112,2022-01-31 16:52:00,7,26
113,2022-01-31 16:53:00,6,48
114,2022-01-31 16:54:00,5,17
