,created_at,tweet,like
0,2022-02-06 01:00:00,1395,33753
1,2022-02-06 01:01:00,932,4602
2,2022-02-06 01:02:00,627,4413
3,2022-02-06 01:03:00,369,1084
4,2022-02-06 01:04:00,225,978
5,2022-02-06 01:05:00,174,459
6,2022-02-06 01:06:00,170,729
7,2022-02-06 01:07:00,219,431
8,2022-02-06 01:08:00,211,438
9,2022-02-06 01:09:00,175,394
10,2022-02-06 01:10:00,177,399
11,2022-02-06 01:11:00,352,908
12,2022-02-06 01:12:00,548,1193
13,2022-02-06 01:13:00,475,493
14,2022-02-06 01:14:00,381,527
15,2022-02-06 01:15:00,238,289
16,2022-02-06 01:16:00,292,1476
17,2022-02-06 01:17:00,303,897
18,2022-02-06 01:18:00,247,706
19,2022-02-06 01:19:00,179,184
20,2022-02-06 01:20:00,161,193
21,2022-02-06 01:21:00,178,260
22,2022-02-06 01:22:00,215,247
23,2022-02-06 01:23:00,345,1212
24,2022-02-06 01:24:00,347,1885
25,2022-02-06 01:25:00,185,231
26,2022-02-06 01:26:00,200,317
27,2022-02-06 01:27:00,231,1288
28,2022-02-06 01:28:00,208,246
29,2022-02-06 01:29:00,175,215
30,2022-02-06 01:30:00,193,260
31,2022-02-06 01:31:00,194,277
32,2022-02-06 01:32:00,203,250
33,2022-02-06 01:33:00,125,187
34,2022-02-06 01:34:00,113,115
35,2022-02-06 01:35:00,153,2308
36,2022-02-06 01:36:00,251,401
37,2022-02-06 01:37:00,267,425
38,2022-02-06 01:38:00,266,319
39,2022-02-06 01:39:00,238,2513
40,2022-02-06 01:40:00,208,4842
41,2022-02-06 01:41:00,184,281
42,2022-02-06 01:42:00,136,128
43,2022-02-06 01:43:00,135,195
44,2022-02-06 01:44:00,173,400
45,2022-02-06 01:45:00,169,298
46,2022-02-06 01:46:00,117,428
47,2022-02-06 01:47:00,50,2243
48,2022-02-06 01:48:00,55,79
49,2022-02-06 01:49:00,87,211
50,2022-02-06 01:50:00,46,104
51,2022-02-06 01:51:00,96,233
52,2022-02-06 01:52:00,638,2769
53,2022-02-06 01:53:00,1382,1789
54,2022-02-06 01:54:00,1278,5589
55,2022-02-06 01:55:00,900,3234
56,2022-02-06 01:56:00,713,9920
57,2022-02-06 01:57:00,803,1526
58,2022-02-06 01:58:00,822,1371
59,2022-02-06 01:59:00,577,3502
60,2022-02-06 02:00:00,314,1295
61,2022-02-06 02:01:00,213,388
62,2022-02-06 02:02:00,181,283
63,2022-02-06 02:03:00,284,556
64,2022-02-06 02:04:00,469,1025
65,2022-02-06 02:05:00,374,503
66,2022-02-06 02:06:00,212,960
67,2022-02-06 02:07:00,273,646
68,2022-02-06 02:08:00,283,335
69,2022-02-06 02:09:00,247,507
70,2022-02-06 02:10:00,175,953
71,2022-02-06 02:11:00,200,415
72,2022-02-06 02:12:00,235,556
73,2022-02-06 02:13:00,244,440
74,2022-02-06 02:14:00,239,802
75,2022-02-06 02:15:00,260,1104
76,2022-02-06 02:16:00,165,10323
77,2022-02-06 02:17:00,148,225
78,2022-02-06 02:18:00,137,397
79,2022-02-06 02:19:00,128,218
80,2022-02-06 02:20:00,127,199
81,2022-02-06 02:21:00,128,178
82,2022-02-06 02:22:00,306,627
83,2022-02-06 02:23:00,281,286
84,2022-02-06 02:24:00,245,713
85,2022-02-06 02:25:00,211,319
86,2022-02-06 02:26:00,111,112
87,2022-02-06 02:27:00,89,143
88,2022-02-06 02:28:00,162,251
89,2022-02-06 02:29:00,249,859
90,2022-02-06 02:30:00,190,315
91,2022-02-06 02:31:00,100,123
92,2022-02-06 02:32:00,118,121
93,2022-02-06 02:33:00,118,300
94,2022-02-06 02:34:00,152,203
95,2022-02-06 02:35:00,179,283
96,2022-02-06 02:36:00,147,196
97,2022-02-06 02:37:00,88,148
98,2022-02-06 02:38:00,74,151
99,2022-02-06 02:39:00,87,97
100,2022-02-06 02:40:00,99,203
101,2022-02-06 02:41:00,86,101
102,2022-02-06 02:42:00,64,856
103,2022-02-06 02:43:00,36,78
104,2022-02-06 02:44:00,99,2236
105,2022-02-06 02:45:00,115,277
106,2022-02-06 02:46:00,47,111
107,2022-02-06 02:47:00,129,613
108,2022-02-06 02:48:00,122,341
109,2022-02-06 02:49:00,281,736
110,2022-02-06 02:50:00,221,623
111,2022-02-06 02:51:00,95,217
112,2022-02-06 02:52:00,37,71
113,2022-02-06 02:53:00,26,78
114,2022-02-06 02:54:00,120,368
115,2022-02-06 02:55:00,155,240
116,2022-02-06 02:56:00,102,95
117,2022-02-06 02:57:00,151,339
118,2022-02-06 02:58:00,423,4595
119,2022-02-06 02:59:00,454,20690
120,2022-02-06 03:00:00,249,1764
121,2022-02-06 03:01:00,130,759
122,2022-02-06 03:02:00,72,179
123,2022-02-06 03:03:00,51,97
124,2022-02-06 03:04:00,40,100
