created_at,texts_by_minute,similarity
2022-12-13 01:00:00,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'creepy nutsのオールナイトニッポン ニッポン放送  0 0 0 月0 0 0 0    ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'rさん、松永さんこんばんは', '', '  ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '始まりました   ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '  ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ' 第0回スタート  番組名 ニッポン放送 creepy nutsのオールナイトニッポン  放送日時 毎週月曜日深夜0 0 0 公式hp     ', '', '', '', '', '', 'しゃあ 今週はバッチリラジオくれぇぇぇぇ  ', '', '', '', '', '', '', '', '', '', '', '', '今年の一文字戦', '', '', '0週間はーやっ。', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '犬  ', '', '', '', '', '', '', '']","[0.5286118388175964, 0.9999997615814209, 0.9999997615814209, 0.9999997615814209, 0.9999997615814209, 0.9792131476244025]"
2022-12-13 01:01:00,"['', '今年の漢字は 戰 ', '', '', '', '今年の漢字 戦 ', '', '', '', '', '', '', '戦', '', '', '', '', '', '', '', '', '', '', '', '', '今年の漢字は 戦 ', '', '', '韻', '韻', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'creepy nutsのオールナイトニッポンなう 0 0 0 0 0 0 聴いてる   ', '', '', '', '', '', '', '', 'creepy nutsのオールナイトニッポン ニッポン放送     nuts ', '', '今年の漢字の話題を振られてもここ0 0年くらい韻で凌いできたrさん', '', '', '', '', '韻でしのぐrさんwww ', 'creepy nutsのr 指定さんとdj松永さんで生放送。今夜は0人 今夜も0人。今年の漢字の話から。', '', '', '今年の漢字は戦', '', '', 'creepy nutsのオールナイトニッポン ニッポン放送     nuts ', 'おっ、オープニングは ことしの漢字  ', '今日は起きてる  ', '', '今日ミヤネ屋で観ました', 'rさんここ0、0年は 韻 でしのぐ', '', '戦', ' 韻 でしのぐw ', '', '', '無敵の漢字 韻', '', '', '', 'ラッパーの韻は無敵すぎる 笑', '今年の漢字', '超久々にリアタイ', '', 'チェケラッチョ', '', '', '', '今年の漢字は で韻でしのいでるr皿、擦 る では最悪だと思っている松永', '', '', '', ' 今年の漢字 といえば菅田将暉annを思い出すなあ', '', '', '', '', '', 'ラッパーの 韻 は当たり前なんだわw ', '', '']","[0.5314908027648926, 0.7041782736778259, 0.9999997615814209, 0.9999997615814209, 1.000000238418579, 0.8613578528384149]"
2022-12-13 01:02:00,"['', '', '', '', '', '韻は無敵すぎw ', '今年の漢字 戦 ', '今年の漢字… 韻 でしのぐ笑', '', '韻で凌ぐw ', '', '繋', '今年の漢字 戦 ', 'ここ0、0年は 韻 で凌ぐr 指定', '韻でしのぐw ', 'ずっと 韻 。', 'ここ最近は韻', '韻', 'creepy nutsのオールナイトニッポン ニッポン放送     nuts ', '今年の漢字、sixtonesも話してたけど芸能人はみんな聞かれるんですね', '', '', '韻でしのいでるwwww ', '', '', '韻で凌ぐw ', 'ラッパーにとって今年の漢字は 韻 w ', ' 今年の漢字 ', '韻', ' 韻 で凌いでる笑', 'ここ0 0年韻で凌ぐ野上恭平wwwww ', ' 韻 で凌ぐ笑', ' 擦 ', '', 'djを表す漢字 皿  擦 ', '韻', '今年の漢字 韻 rさん最強 皿 松さん…', 'ここ三、四年は一年の漢字 韻 w一生使えるw ', '', ' 皿 ', 'ラッパーは韻', '戦なんだー', '', '', '', ' 韻 と 皿 ', '今年の漢字 韻 でしのぐ', ' 皿  擦 ', 'creepynutsのann  ', '', ' 韻  皿 ', 'ここ0年は韻で凌いできたww ', '今年の漢字 戦 ', ' 皿  擦る  チェケラッチョ  ', 'rさんは 韻 でしのぐ 笑  ', '', '韻', 'リアタイするために仮眠とって準備満タン', '', ' 韻 はズルいw ', '']","[0.4594917297363281, 0.6734775304794312, 0.7126115560531616, 0.7617427706718445, 1.0000001192092896, 0.7386323810275135]"
2022-12-13 01:03:00,"['今年の漢字やっぱりきた  ', '今年の漢字、0人はずっと皿と韻', '繋はオフィシャル過ぎる', ' 韻  擦 ', 'rさんの今年の漢字は今後一生 韻 ', '', '生きる 韻', '', '今年の漢字 韻 が毎年wいいなーかっけー  ', '皿と擦る繋ぐ、今日は平和なのね', '今日は出来る限りリアタイするか', '皿と擦る以外でdjを表す漢字とは', '松永さんは松でいいじゃん', '松永さんは 皿  擦 ', '', ' 皿  擦 ', '  韻 で凌いでる ', 'rさん 韻 松永さん 皿、擦 w ', '最初は清水寺の漢字からですねrさんは 韻 いつでも使える 笑 松永さんは 皿  擦  笑 お  繋 も  ', ' 繋ぐ だとピース過ぎる', '', '', 'rさんの今年の漢字はずっと 韻 0年いける  ', 'hip hopというかmcバトル的には戦極の戦だと思うんですがどうでしょう  ', '', '', '今年の漢字韻でしのぐラッパーさてdjは  ', '', '', '皿、擦', 'rさん、今年の漢字はここ0、0年は 韻 でしのいでる。笑', '今年の漢字は韻で乗り切るrさん', '皿・擦 dj ', '出遅れた', 'コーヒー飲んでしまい眠くない リアタイ  ', '', 'クリーピーナッツの今年の漢字は  r 俺はここ数年ずっと 韻 で凌いできた 松 それいいなあ向こう0年くらい使えんじゃん  ', '', ' 繋 ピースすぎる', '今年の漢字指定さん→韻松永さん→皿あとはー  ', '', '繋ぐだとpeaceすぎる', '今夜は寝落ちしそう今年の漢字 戦 からrさん韻生きると同義松永さん擦、皿繋はpeaceすぎるオフィシャル感の不満ww ', '今年の漢字 皿 ', '強気な白紙w ']","[0.5139971375465393, 0.6781930327415466, 0.7257234454154968, 0.7875877320766449, 0.9999997615814209, 0.7419767784349847]"
2022-12-13 01:04:00,"['真摯に向き合った白紙', '韻、皿、擦、繋。', '今年の漢字rさん 韻 松永さん 皿  擦  繋 ', '一文字が浮かばない', '', '白紙の哲学', '松永さんを表す漢字、 音 だと思ってる', '', '松永 今年の漢字、   ', '去年めざましインタビューで ことしの漢字 を聞かれてたふたり。松永は思い浮かばず白紙回答', '白紙回答 哲学  ', '白紙回答は哲学', 'まあまあな時間使って考えるも結局何も思い浮かばず白紙解答だった松永rが書いてくれて何とか', '白紙回答', 'さすがマツさん白紙回答w ', '哲学 ww ', 'タブラ・ラサじゃん', '白紙回答は哲学ww ', '', ' 韻 でしのげるrさんと昨年  になってしまった松永さん', '松永さんは 尿 でいいじゃんおしっこネタでたまアリまで行ったんだから', '', '食べながら聴いてます   ', '今年の漢字、白紙回答は哲学', '', '白紙回答哲学w ', '去年のめざましテレビの 今年の漢字 に白紙回答してしまったお松さん', '白紙回答wwwさすが  ']","[0.5779921412467957, 0.6848501265048981, 0.7186643183231354, 0.7674636691808701, 0.9999997615814209, 0.7341825996757184]"
2022-12-13 01:05:00,"['イメージ商売', ' 白紙回答は哲学 ', '白紙回答', '  繋 だとオフィシャル過ぎる   ', '保険で持ってた方がいい。あなたの一文字。', 'その場の人たち全員困惑 白紙回答  ', '今年の漢字大喜利はムズい', '白紙回答は哲学。笑', '白紙は哲学', '', ' 答えは沈黙 的な  ', '空白を想像させた松永さん 笑 めざまし覚えてナイ・・・。', '', '', '0日を0字で表すって無茶苦茶かも。', '漢', 'お松さんイグナッツでも白紙回答 怖い話しない してたw ', '漢', '', 'まあ、何かしら書かんとダメよね', 'イメージ商売。笑', '漢字の漢', '', '真摯に向かいすぎ', '', 'ヒドイwww ', '真面目なんですね松永さん', '奏とか']","[0.5390249490737915, 0.6597616672515869, 0.7072328329086304, 0.757322758436203, 1.0, 0.7201109288861511]"
2022-12-13 01:06:00,"['漢真の男', '真摯に向き合った結果なにも思い浮かばない松永さん。。。笑', '松永さん、めざましテレビの取材で白紙回答だったの', '今年の漢字白紙回答は哲学イメージ商売なので', 'ちゃんと向き合うからこそ出ないのかぁ。一瞬だと出たね', '', ' 漢 ', '松永さん真面目だから考え過ぎちゃうんだね', '白紙回答', '', '白紙解答はどうあれ、正直人間が好き', '叺 かます  ', '今浮かぶ漢字は 松永 漢字の 漢  ', 'めざましtvで今年の漢字をインタビューで白紙回答になりかけで事故る寸前ww ', '菅田将暉 今年の漢字なんでもいけるcreepynuts 今年の漢字ぜんぜんいけない', '漢字の 漢  笑', 'ツアーした。埼か玉', '漢 おとこ  ', '漢カッケェ', '漢www ', '取材はちゃんと向き合ってちゃんと思いつかないちゃんと向き合って', '漢字の漢', 'パッと出てくるの漢字の 漢 w ', 'creepy nutsのオールナイトニッポン│ニッポン放送     nuts ', '松永 漢字の 漢  wwwwwwwwwwwwwwwwwwww ', 'さいたまスーパーアリーナお疲れ様でした  ´ω   creepy nutsの今年の漢字は 埼 か 玉 ']","[0.5606672167778015, 0.6821479201316833, 0.7216506004333496, 0.7646015286445618, 0.9999997615814209, 0.7243589216012221]"
2022-12-13 01:07:00,"['今の漢字漢字の漢 おとこ   ', '漢字の 漢 と書いて、 おとこ w ', ' 漢字の 漢  ', 'djをあらわす漢字が皿、擦、以外にあるのか問題について。松 繋……つなぐ  松 ちょっとpeaceすぎるな めざましの取材で聞かれたときはなんと白紙回答してしまったwww ', ' 漢 ww ', '', 'さいたまの埼か、たま 笑', '漢字一文字で思いつく漢字 漢 ', '思いついた事から意味付けるのはrさんの真骨頂よね', '真面目だなぁ。松永さん    ', '漢おとこ', '埼玉のたまw。', '松永 俺らって、今年何した    r しましたよ  ツアーとか  ', '埼', '答えることに真摯に向き合い過ぎなんだろうなぁ', '埼玉の、埼… wwwww ', '今年の漢字、 埼  玉 ', 'パッと思いついた漢字、漢字の 漢 ww ', ' 漢 笑笑笑笑', '今年はツアーした', '今年の漢字 漢 おとこ  ', '埼玉の 埼 or 玉 笑', '今年の漢字 漢 おとこ  www ', 'うわぁ  懐かしいそれ   ', '俺たち今年何した ツアーしたさいたまスーパーアリーナで…埼玉の埼 玉でもいい', '埼か玉w ', '俺ら今年何してたっけ w ', '玉は大正解なのよ', 'リスナーが漢字送って、松永さんとrさんが理由をこじつけるコーナーやりたい。', '全部に理由付けれる', '今年の漢字 …か、漢字の“漢  ', '埼玉の埼玉でもいい', ' 埼  玉 ', '俺らって今年何した ツアーした', 'でもいいってなんだよw ', '俺らって今年なにした  ', '', '懐かしすぎてエモエモ']","[0.5502842664718628, 0.6913469135761261, 0.7354796528816223, 0.7791012227535248, 0.9999997615814209, 0.7366691226640433]"
2022-12-13 01:08:00,"['菅田将暉凄いな。流石だな   ω   ', '菅田さん、この時期にしてたなぁなつかしい', 'rさんは、埼玉の埼 ありがとうございます', '自分には 戦 じゃなくて伐採の 伐 にしか見えなかった。  ', '懐かしっ', '埼玉の 埼  玉 さすがrさん上手く言葉でフォロー  ', '菅田さん無敵だなー', '出た 菅田将暉の特技 今年の漢字 ', '菅田将暉の特技は、どの漢字を言われても全部に理由が言えるby福田さん', ' 埼  玉 でもいいw ', '出た菅田さんの謎の特技', '漢いわゆるr指定', '多分どの漢字にしてもrさんが理由を後付けしてくれると思います笑', '埼玉の埼か玉。笑', '懐かしい、あったなあーそのノリ笑', '逆菅田', 'この今年の漢字大喜利菅田将暉がいっちゃん上手いんだよな', 'rさんの模範解答 埼 の答えがラジオスタッフからオッケーが出る', ' 埼玉の 埼 …… 玉 でもいいよ ', '今年の漢字 漢 、または 埼 か 玉 ', 'また菅田さんの話題大好きなのね', ' ', '引き継ぐの  ', '確かそんなのあったな', '確かに、たまアリは今年の集大成感あったよな、、、', '菅田さんのラジオでやってたね懐かしいなぁ', '菅田さんの特技なにそれ笑', 'なんだその菅田の能力wwwww ', 'なつかしいww ', 'いやいや、菅田さんのそんな大したもんじゃないよ笑笑', '今年の英単語笑', 'だぴちすごいなぁアンミカさんみたいだなぁ', ' 今福田さんから教えてもらった、菅田将暉は今年の漢字なに言われても理由つけれんねんて ', 'そういえば菅田くん、そんな能力あったな懐かしい', '菅田さんのやつ懐かしいな', 'rさんの閃きスルスル出てすごい', '武道館とたまアリを同年しかも0ヶ月連続って相当だと思うんだけど', ' 玉 でいいじゃんそうだね不気味な金玉だしな…']","[0.5912971496582031, 0.7164976596832275, 0.7744969129562378, 0.817281186580658, 0.9368534684181213, 0.7669557691637856]"
2022-12-13 01:09:00,"['菅田さんの今年の漢字芸懐かしいwwwwwwww  ', '菅田さんの今年の漢字の流れ懐かしい笑', '菅田さんは全てに理由を言える特技', '今年の英単語', '菅田さんがやってたなー特技、今年の漢字  ', 'まって やってたなー 菅田さん  なつかしいー  って声出たあああ恋しい ', '', '菅田くん、凄いな', '', '確かに凄かったけど', '菅田さんの特技懐かしいwww ', '今年の英単語w ', '菅田くんの特殊能力www ', '菅田将暉はなんでもこじつけれる', 'めっちゃ思ったwww菅田将暉annトーク思い出した', '', 'それ結構フリースタイルに必要な能力よね菅田いけるんか', '何を言われてもその理由を言える特技を持つ菅田将暉', 'こじつけ能力草', '松俺らって今年何してた 漢字のために振り返るさいたまスーパーアリーナやった 埼 rさんはどんどん言葉が出てくる菅田将暉も同じ才能あり、英語でもイケル', ' ぜんぶに理由をこじつけれる ', 'しゅだぴの特殊能力懐かしい  ', 'そんなしっかりやってないよ', '松 バカだ ', '菅田さんの特技あったなぁ、何でも理由つけられるやつ ', '菅田さんの特技懐かしいなww ', '菅田さんの特技だったのか  バカだ 松おーい    笑  ', 'バカだww ', 'できるじゃんr ', '菅田さんのこの流れ懐かしいなぁw ', '菅田さんのやつ懐かしい', ' 埼 or 玉 ←ずっとじゃね  ', '菅田将暉、すごい', '菅田将暉の特技 今年の漢字 福田メモ 漢字は出てこない  r 漢字は 聞かれても漢字は出てこないんや 松 バカだ、ああ、バカなんだ ', '菅田さんの懐かしww ', '0人とも色んな意味でバカでかいニュースあったし、アルバムの新鮮さは過去0 ', '菅田将暉来てくれねぇかなぁ  ', 'summerの理由 ﾟ∀ﾟlll oo〇 スゲェ…  ', '今年の英単語', '', '菅田将暉の今年の漢字懐かしい………', 'しゅだぴち漢字説明くん懐かし', '今年の英語今年の英単語でもいける菅田将暉', 'あったなーその能力ww ', '今年の英単語w ']","[0.5502698421478271, 0.6999201476573944, 0.7501934170722961, 0.8015631437301636, 1.000000238418579, 0.7533100431615656]"
