,created_at,tweet,like
0,2023-01-15 10:00:00,60,100
1,2023-01-15 10:01:00,94,147
2,2023-01-15 10:02:00,111,80
3,2023-01-15 10:03:00,105,107
4,2023-01-15 10:04:00,98,61
5,2023-01-15 10:05:00,80,81
6,2023-01-15 10:06:00,68,84
7,2023-01-15 10:07:00,59,57
8,2023-01-15 10:08:00,75,135
9,2023-01-15 10:09:00,72,180
10,2023-01-15 10:10:00,53,101
11,2023-01-15 10:11:00,55,150
12,2023-01-15 10:12:00,74,121
13,2023-01-15 10:13:00,73,85
14,2023-01-15 10:14:00,96,306
15,2023-01-15 10:15:00,82,64
16,2023-01-15 10:16:00,58,202
17,2023-01-15 10:17:00,47,135
18,2023-01-15 10:18:00,27,108
19,2023-01-15 10:19:00,25,93
20,2023-01-15 10:20:00,38,41
21,2023-01-15 10:21:00,29,42
22,2023-01-15 10:22:00,40,187
23,2023-01-15 10:23:00,30,21
24,2023-01-15 10:24:00,28,99
25,2023-01-15 10:25:00,7,13
26,2023-01-15 10:26:00,18,21
27,2023-01-15 10:27:00,24,42
28,2023-01-15 10:28:00,23,24
29,2023-01-15 10:29:00,21,38
30,2023-01-15 10:30:00,17,30
31,2023-01-15 10:31:00,33,510
32,2023-01-15 10:32:00,29,29
33,2023-01-15 10:33:00,19,17
34,2023-01-15 10:34:00,23,43
35,2023-01-15 10:35:00,17,757
36,2023-01-15 10:36:00,18,3
37,2023-01-15 10:37:00,24,25
38,2023-01-15 10:38:00,23,31
39,2023-01-15 10:39:00,15,26
40,2023-01-15 10:40:00,12,20
41,2023-01-15 10:41:00,40,51
42,2023-01-15 10:42:00,60,145
43,2023-01-15 10:43:00,67,74
44,2023-01-15 10:44:00,42,100
45,2023-01-15 10:45:00,19,169
46,2023-01-15 10:46:00,22,38
47,2023-01-15 10:47:00,40,29
48,2023-01-15 10:48:00,56,62
49,2023-01-15 10:49:00,57,72
50,2023-01-15 10:50:00,33,108
51,2023-01-15 10:51:00,38,59
52,2023-01-15 10:52:00,28,17
53,2023-01-15 10:53:00,18,14
54,2023-01-15 10:54:00,31,36
55,2023-01-15 10:55:00,43,51
56,2023-01-15 10:56:00,48,56
57,2023-01-15 10:57:00,32,44
58,2023-01-15 10:58:00,20,28
59,2023-01-15 10:59:00,11,13
60,2023-01-15 11:00:00,16,37
61,2023-01-15 11:01:00,9,422
62,2023-01-15 11:02:00,21,20
63,2023-01-15 11:03:00,29,23
64,2023-01-15 11:04:00,27,96
65,2023-01-15 11:05:00,17,49
66,2023-01-15 11:06:00,16,35
67,2023-01-15 11:07:00,18,15
68,2023-01-15 11:08:00,16,23
69,2023-01-15 11:09:00,13,13
70,2023-01-15 11:10:00,24,21
71,2023-01-15 11:11:00,11,11
72,2023-01-15 11:12:00,17,311
73,2023-01-15 11:13:00,20,23
74,2023-01-15 11:14:00,14,12
75,2023-01-15 11:15:00,13,14
76,2023-01-15 11:16:00,18,23
77,2023-01-15 11:17:00,24,61
78,2023-01-15 11:18:00,27,34
79,2023-01-15 11:19:00,20,30
80,2023-01-15 11:20:00,16,33
81,2023-01-15 11:21:00,18,15
82,2023-01-15 11:22:00,14,31
83,2023-01-15 11:23:00,17,27
84,2023-01-15 11:24:00,15,21
85,2023-01-15 11:25:00,19,39
86,2023-01-15 11:26:00,6,54
87,2023-01-15 11:27:00,25,45
88,2023-01-15 11:28:00,22,34
89,2023-01-15 11:29:00,33,48
90,2023-01-15 11:30:00,26,84
91,2023-01-15 11:31:00,27,40
92,2023-01-15 11:32:00,19,49
93,2023-01-15 11:33:00,25,22
94,2023-01-15 11:34:00,33,15
95,2023-01-15 11:35:00,35,298
96,2023-01-15 11:36:00,31,59
97,2023-01-15 11:37:00,28,80
98,2023-01-15 11:38:00,12,18
99,2023-01-15 11:39:00,12,28
100,2023-01-15 11:40:00,16,30
101,2023-01-15 11:41:00,16,32
102,2023-01-15 11:42:00,19,20
103,2023-01-15 11:43:00,30,57
104,2023-01-15 11:44:00,28,45
105,2023-01-15 11:45:00,31,45
106,2023-01-15 11:46:00,39,65
107,2023-01-15 11:47:00,35,74
108,2023-01-15 11:48:00,21,39
109,2023-01-15 11:49:00,20,50
110,2023-01-15 11:50:00,22,25
111,2023-01-15 11:51:00,28,37
112,2023-01-15 11:52:00,26,46
113,2023-01-15 11:53:00,22,38
114,2023-01-15 11:54:00,19,32
115,2023-01-15 11:55:00,56,85
116,2023-01-15 11:56:00,55,72
117,2023-01-15 11:57:00,25,53
118,2023-01-15 11:58:00,16,59
119,2023-01-15 11:59:00,7,17
