created_at,text
2023-01-15 10:00:00,
2023-01-15 10:00:01,安住さん 中澤さん スタッフのみなさん おはようございます そして 安住さんおかえりなさい    
2023-01-15 10:00:01,
2023-01-15 10:00:01,   nichiten安住 の0年始まりですね 今年も一年小毒吐きと苦笑いの日曜の朝楽しませていただきますww
2023-01-15 10:00:01, 局長待遇大復活祭 おはようございます 
2023-01-15 10:00:01,おはようございます 
2023-01-15 10:00:02,おはようございます   定期 amp 強制  
2023-01-15 10:00:02,one jからの安住紳一郎の日曜天国なう  
2023-01-15 10:00:03,ズンパッパズンパッズンパッパズンパッズンパッパズンパッ 
2023-01-15 10:00:04,おはようござざます
2023-01-15 10:00:05,おはようございます
2023-01-15 10:00:06,おはようございます
2023-01-15 10:00:06,安住アナ 中澤さん 日天スタッフの皆さんおはようございます
2023-01-15 10:00:06,
2023-01-15 10:00:09,おはようございます
2023-01-15 10:00:10,おはようございます 
2023-01-15 10:00:11,
2023-01-15 10:00:11,よつ葉乳業様 おはようございます 
2023-01-15 10:00:14,自粛期間の時と同じようにリアタイ復活します
2023-01-15 10:00:18,
2023-01-15 10:00:20,おはようございます  
2023-01-15 10:00:20,テンテレンテテテンテレンテテテンテレン  テンテレン   
2023-01-15 10:00:21,安住紳一郎の日曜天国│tbsラジオ    
2023-01-15 10:00:22,
2023-01-15 10:00:23,おはようございます 局長 明けましておめでとうございます   
2023-01-15 10:00:25,おはようございます
2023-01-15 10:00:25,おはようございます
2023-01-15 10:00:25,おはようございます安住氏おかえりなさい  
2023-01-15 10:00:25,コロナ明けの局長待遇 おかえりなさい 
2023-01-15 10:00:26,おはようございますおかえりなさいあけましておめでとうございます
2023-01-15 10:00:27,おはようございます
2023-01-15 10:00:29,おはようございます 
2023-01-15 10:00:31,おはよございます 安住さん中澤さん 無事復帰されてよかったです 
2023-01-15 10:00:32,安住紳一郎の日曜天国  tbsラジオ    
2023-01-15 10:00:32,みなさん おはようございます
2023-01-15 10:00:35,おはようございます
2023-01-15 10:00:36,
2023-01-15 10:00:36,おかえり局長待遇  
2023-01-15 10:00:37,おはようございます  
2023-01-15 10:00:40,安住さん 中澤さんおはようございます 
2023-01-15 10:00:41,おはようございますお帰りなさい 私たちの王様
2023-01-15 10:00:42,
2023-01-15 10:00:43,鼻声
2023-01-15 10:00:44,おはようございます
2023-01-15 10:00:44,祝 安住氏復帰
2023-01-15 10:00:44,he   o  地獄からの使者  
2023-01-15 10:00:46,安住さん中澤さんおはようございます
2023-01-15 10:00:47,おはようございます  
2023-01-15 10:00:47,
2023-01-15 10:00:48,   m
2023-01-15 10:00:48,おかえりなさい 安住アナ
2023-01-15 10:00:51,今年初アズミン 今年もよろしくお願いします ￣ ￣  
2023-01-15 10:00:51,最初0分程 cbc小堀勝啓さんのラジオ番組を聞いてから 安住紳一郎の日曜天国に移動します 
2023-01-15 10:00:53,おはようございます体調はどうですか  
2023-01-15 10:00:55,やっぱりまだ声ガラガラだし鼻声だね
2023-01-15 10:00:55,局長待遇 喉が大変ね
2023-01-15 10:00:56,安住さんずごい鼻声
2023-01-15 10:00:57,安住アナ 中澤アナおはようございます  そして おかえりなさいませませ  
2023-01-15 10:00:58,おはようございます
2023-01-15 10:00:59,ニチテン開始局長待遇おかえりー
2023-01-15 10:01:00,安住紳一郎の日曜天国はじまた  
2023-01-15 10:01:02,おはようございます 
2023-01-15 10:01:04,おはようございます 昨日のnキャスでもまだお声の調子が戻ってないようですが ひとまずおかえりなさい
2023-01-15 10:01:05,おはようございます       
2023-01-15 10:01:05,安住紳一郎の日曜天国  tbsラジオ    
2023-01-15 10:01:07,あずみさーん おかえりなさい  
2023-01-15 10:01:07,お帰りなさい安住さん
2023-01-15 10:01:07,声が 
2023-01-15 10:01:07,おはようございます安住さん おかえりなさい くれぐれも無理なさらず 今年もよろしくお願いします 
2023-01-15 10:01:07,あら 局長まだ風邪声   
2023-01-15 10:01:08,おはようございます
2023-01-15 10:01:09,よつ葉乳業が0時をお知らせします
2023-01-15 10:01:09,おはようございます 安住さん お帰りなさいませ  
2023-01-15 10:01:10,
2023-01-15 10:01:11,おはようございます 局次長 戻ってこられて本当に嬉しい  良かったよぉ めっちゃ心配してた
2023-01-15 10:01:11,おはようございます 安住さん おかえりなさい やっぱり今回の新型コロナウイルスはノドに影響が残るんですね 
2023-01-15 10:01:12,コロナから復帰してよかったよ安住さんでもまだ後遺症とかあるから油断しないでね
2023-01-15 10:01:13,病み上がりの局長待遇ユミタソおはようございます 
2023-01-15 10:01:15,   おやすみ 鼻声 
2023-01-15 10:01:15,ラジオだと余計に声の調子がいまいちなのが分かるな 
2023-01-15 10:01:16,復活の安住紳一郎
2023-01-15 10:01:16,
2023-01-15 10:01:17,おはようございます安住さん 鼻声       
2023-01-15 10:01:18,わぁ 病み上がり声   まだまだお大事になさってください安住さん
2023-01-15 10:01:19,コロナから復帰も若干鼻声局長待遇
2023-01-15 10:01:19,
2023-01-15 10:01:19,安住紳一郎の日曜天国│tbsラジオ    
2023-01-15 10:01:20,遅めの年始のご挨拶 
2023-01-15 10:01:21,おはようございます 
2023-01-15 10:01:22,おはようございます局長 今年もよろしくお願いします 
2023-01-15 10:01:23,やっぱ声おかしいね局長待遇
2023-01-15 10:01:23,お出まし
2023-01-15 10:01:23,おはようございます
2023-01-15 10:01:25,今年もよろしくお願いします鼻声 早く治るといいですね 
2023-01-15 10:01:25,おはようございます 安住さん まだ鼻声ですね 引き続きご自愛下さい 
2023-01-15 10:01:26,祝 副部長復帰
2023-01-15 10:01:26,
2023-01-15 10:01:28,安住さん 中澤さん スタッフのみなさん おはようございます
2023-01-15 10:01:29,おはようございます
2023-01-15 10:01:29,モうおはようございますみなさんはどんな日曜日の朝をお迎えでしょうか
2023-01-15 10:01:30,おはようございます  
2023-01-15 10:01:30,安住紳一郎の日曜天国  tbsラジオ    
2023-01-15 10:01:32,おはようございます    
2023-01-15 10:01:32,おはようございます 安住さん おかえりなさい  
2023-01-15 10:01:32,安住さん声が 
2023-01-15 10:01:33,鼻声ですね
2023-01-15 10:01:33,鼻声なのね
2023-01-15 10:01:34,白い巨塔 最初のやつ  
2023-01-15 10:01:34,おはようございます 鼻声  
2023-01-15 10:01:35,まだ鼻声ちっく
2023-01-15 10:01:36,安住さんだ まだ声がおかしいねぇお大事に
2023-01-15 10:01:36,声  
2023-01-15 10:01:37,あら 安住さんの声が変わった
2023-01-15 10:01:37,あー でも声はまだ調子悪そうだなあ
2023-01-15 10:01:39,始まったー  
2023-01-15 10:01:39,局長まだ声本調子じゃないお大事に
2023-01-15 10:01:39,おはようございます 
2023-01-15 10:01:40,安住氏おかえりなさい今年も宜しくお願いしますでも ちょっと声がかれてる   鼻声か 例えがちょっとわからない   
2023-01-15 10:01:41,鼻声だな
2023-01-15 10:01:41,ユミタソおはようございます そして安住総合編成本部アナウンスセンター局長待遇エキスパート職アナウンサーおかえりなさい    
2023-01-15 10:01:42,聴けてないからとりあえずtl見る
2023-01-15 10:01:43,おはようございますやはりお声が本調子ではなさそうですねどうかご無理なさらず東野英治郎さんw 
2023-01-15 10:01:44,安住さん ユミタソ おはようございますー ￣∇￣  
2023-01-15 10:01:44,イメージしにくい ￣ ￣  アズミンの声
2023-01-15 10:01:45,安住紳一郎の日曜天国  tbsラジオ    
2023-01-15 10:01:45,おはようございます
2023-01-15 10:01:47,まだ鼻声引きずってる 
2023-01-15 10:01:48,おはようございます 安住さんおかえりなさい  
2023-01-15 10:01:48,父ちゃん情けなくてのお父さんですね
2023-01-15 10:01:48,おはようございます安住さんおかえりなさいまだ鼻声ですねお大事になさってください
2023-01-15 10:01:48,安住さん 鼻声だねー 
2023-01-15 10:01:49,やっぱ声がおかしい局長待遇
2023-01-15 10:01:49,おはようございます 
2023-01-15 10:01:50,おはようございます  
2023-01-15 10:01:50,おはようございます 
2023-01-15 10:01:51,おはようございます 私もコロナでやっとこさ昨日の夜発熱のピークを過ぎたようです
2023-01-15 10:01:51,声の調子が戻ってないのをネタにする人www 
2023-01-15 10:01:51,おはようございます おかえりなさい私たちの王様 
2023-01-15 10:01:51,安住紳一郎tbsテレビ総合編成本部アナウンスセンター局長待遇エキスパート職アナ おかえりなさい  中澤さん おはようございます   
2023-01-15 10:01:52,大映の 白い巨塔 に出ている東野英治郎さんのような 笑  
2023-01-15 10:01:52,今朝もアレクサ調子悪いわ  
2023-01-15 10:01:53,おはようございます安住氏 おかえりなさい  
2023-01-15 10:01:53,おはようございます まだ鼻声ですな 
2023-01-15 10:01:53,おはようございます 復帰おめでとうございますw 
2023-01-15 10:01:53,お帰りなさい   ー   お声まだお辛そう    
2023-01-15 10:01:55,あれ 声が変だね大丈夫かしら
2023-01-15 10:01:55,やっぱまだ声が本調子じゃないのわかるな 
2023-01-15 10:01:56,水戸黄門だっけ  
2023-01-15 10:01:57,  
2023-01-15 10:01:58,安住氏0週間ぶりですね今年もよろしくお願いします 
2023-01-15 10:01:58,いまどうしてる 風呂入って部屋掃除して 朝ごはんは焼きそば 安住紳一郎の日曜天国  tbsラジオ    
2023-01-15 10:01:58,おはようございます 安住氏 若干の鼻声  
2023-01-15 10:01:59,おはようございます 局長待遇おかえりなさい
2023-01-15 10:01:59,東野親子も既に鬼籍に 
2023-01-15 10:02:00,安住さん まだ声が心配してだね 
2023-01-15 10:02:00,おはよう御座います安住さんお帰りなさい 
2023-01-15 10:02:00,オハヨウゴザイマス 
2023-01-15 10:02:01,初代黄門様でお馴染みの  
2023-01-15 10:02:02,水戸黄門時代しかわからない
2023-01-15 10:02:02,今週もお願い申し訳ありません この人 daturathevenomは 日天に犯罪まがいの嫌がらを公言している酷い人です 通報ブロックのご協力宜しくお願いします     
2023-01-15 10:02:03,おはようございます せっかく物真似をしていただいたのですが若いので分かりませんでした 
2023-01-15 10:02:03,東野英治郎さんは黄門さまのイメージだよなぁ 
2023-01-15 10:02:03,東野英治郎みたいな声w 
2023-01-15 10:02:03,局長お帰りーおはようございます
2023-01-15 10:02:04,超絶鼻声の局長待遇と 中澤さんおはようございます
2023-01-15 10:02:04,すこし鼻声みたいね
2023-01-15 10:02:05,声辛そうだね 
2023-01-15 10:02:05,おはようございます
2023-01-15 10:02:06,やはり少し鼻声というか鼻が詰まってます 風 いきなり週0でしんどくないのかな  
2023-01-15 10:02:06,おはようございます 安住さんお帰りなさい 今年もよろしくお願いします
2023-01-15 10:02:08,まだ本調子じゃなさそうなお声安住さんお大事にしてください   
2023-01-15 10:02:08,安住さん めっちゃ鼻声   
2023-01-15 10:02:10,今日は一日東野英治郎でやろうw 
2023-01-15 10:02:11,おはようございます まだやや鼻声 どうぞお大事にー
2023-01-15 10:02:11,東野英治郎 東野英二郎  
2023-01-15 10:02:11,おはようございます 安住さん 復帰おめでとう
2023-01-15 10:02:12,おはようございます やっぱり局長待遇ちょっと鼻声ですね 
2023-01-15 10:02:12,安住氏おかえりなさいませー まだガッツリ鼻声です 
2023-01-15 10:02:13,安住紳一郎アナがニュースキャスターに復帰 三谷幸喜さんが安住さんのモノマネを  
2023-01-15 10:02:14,うん声がなかなか  やっぱり怖いわぁカタカナ0文字っ  たらば 
2023-01-15 10:02:14,安住aiロボw 
2023-01-15 10:02:14,安住さんおかえり
2023-01-15 10:02:17,安住さんお声が鼻声 
2023-01-15 10:02:17,東野英治郎 しかも白い巨塔  
2023-01-15 10:02:18,おはようございます 安住氏 少し鼻声ですね 
2023-01-15 10:02:18,おかえりなさい  
2023-01-15 10:02:18,安住さんおかえりなさいー
2023-01-15 10:02:20,大丈夫かいな  
2023-01-15 10:02:20,安住さん ハナ声だよね 
2023-01-15 10:02:20,安住サンおかえりなさーい
2023-01-15 10:02:20,  
2023-01-15 10:02:22,安住さん 中澤さん 皆さんおはようございます安住さんおかえりなさい
