created_at,text
2023-01-15 10:00:00,#nichiten  おはようございます📻
2023-01-15 10:00:01,安住さん、中澤さん、スタッフのみなさん、おはようございます。 そして、安住さんおかえりなさい。 #nichiten #tbsradio #radiko #botツイートです
2023-01-15 10:00:01,#nichiten
2023-01-15 10:00:01,#nichiten #安住紳一郎   さぁ！ ”nichiten安住”の2023年 始まりですね！  今年も一年 小毒吐きと苦笑いの日曜の朝  楽しませていただきますｗｗ
2023-01-15 10:00:01,【局長待遇大復活祭】おはようございます。 #nichiten
2023-01-15 10:00:01,おはようございます。  #nichiten
2023-01-15 10:00:02,おはようございます!!(定期&amp;強制) #nichiten
2023-01-15 10:00:02,ONE-Jからの安住紳一郎の日曜天国なう📻   #nichiten #tbsradio #ONEJ
2023-01-15 10:00:03,ｽﾞﾝﾊﾟｯﾊﾟ ｽﾞﾝﾊﾟｯ ｽﾞﾝﾊﾟｯﾊﾟ ｽﾞﾝﾊﾟｯ ｽﾞﾝﾊﾟｯﾊﾟ ｽﾞﾝﾊﾟｯ♪ #nichiten
2023-01-15 10:00:04,おはようござざます　#nichiten
2023-01-15 10:00:05,おはようございます #nichiten
2023-01-15 10:00:06,おはようございます😊  #nichiten
2023-01-15 10:00:06,安住アナ、中澤さん、日天スタッフの皆さんおはようございます  #nichiten
2023-01-15 10:00:06,#nichiten
2023-01-15 10:00:09,おはようございます  #nichiten
2023-01-15 10:00:10,おはようございます。#nichiten
2023-01-15 10:00:11,#nichiten
2023-01-15 10:00:11,よつ葉乳業様、おはようございます。 #nichiten
2023-01-15 10:00:14,自粛期間の時と同じようにリアタイ復活します #nichiten
2023-01-15 10:00:18,#nichiten
2023-01-15 10:00:20,おはようございます！ #nichiten
2023-01-15 10:00:20,ﾃﾝﾃﾚﾝ ﾃﾃ ﾃﾝﾃﾚﾝ ﾃﾃ ﾃﾝﾃﾚﾝ〜♪ (ﾃﾝﾃﾚﾝ〜♪) #nichiten
2023-01-15 10:00:21,安住紳一郎の日曜天国 │ TBSラジオ  https://t.co/lfxoO8bdwj #radiko #安住紳一郎 #中澤有美子 #nichiten #日曜天国
2023-01-15 10:00:22,#nichiten おはようございます にち10です。
2023-01-15 10:00:23,おはようございます！ 局長、明けましておめでとうございます！！  #nichiten
2023-01-15 10:00:25,おはようございます #nichiten
2023-01-15 10:00:25,おはようございます #nichiten
2023-01-15 10:00:25,おはようございます 安住氏おかえりなさい！ #nichiten
2023-01-15 10:00:25,コロナ明けの局長待遇、おかえりなさい。 #nichiten
2023-01-15 10:00:26,おはようございます おかえりなさい あけましておめでとうございます #nichiten
2023-01-15 10:00:27,おはようございます #nichiten
2023-01-15 10:00:29,おはようございます。 #nichiten
2023-01-15 10:00:31,おはよございます、安住さん中澤さん、無事復帰されてよかったです。  #nichiten
2023-01-15 10:00:32,安住紳一郎の日曜天国 | TBSラジオ  https://t.co/FIW3BR2lqu #radiko #安住紳一郎 #中澤有美子 #nichiten #日曜天国
2023-01-15 10:00:32,みなさん、おはようございます #nichiten
2023-01-15 10:00:35,おはようございます〜☺️ #nichiten
2023-01-15 10:00:36,#nichiten
2023-01-15 10:00:36,おかえり局長待遇！ #nichiten
2023-01-15 10:00:37,おはようございます！ #nichiten
2023-01-15 10:00:40,安住さん、中澤さんおはようございます。  #nichiten
2023-01-15 10:00:41,おはようございます お帰りなさい、私たちの王様🙆  #nichiten
2023-01-15 10:00:42,#nichiten
2023-01-15 10:00:43,鼻声 #nichiten
2023-01-15 10:00:44,おはようございます #nichiten
2023-01-15 10:00:44,祝・安住氏復帰　#nichiten
2023-01-15 10:00:44,Hell-O!! 地獄からの使者！ #nichiten
2023-01-15 10:00:46,安住さん中澤さんおはようございます  #nichiten
2023-01-15 10:00:47,おはようございます！ #nichiten
2023-01-15 10:00:47,#nichiten
2023-01-15 10:00:48,#nichiten 王の帰還！。(明けましておめでとうございます)m(_ _)m
2023-01-15 10:00:48,おかえりなさい、安住アナ #nichiten
2023-01-15 10:00:51,今年初アズミン、今年もよろしくお願いします(￣▽￣) #nichiten
2023-01-15 10:00:51,最初5分程、CBC小堀勝啓さんのラジオ番組を聞いてから、安住紳一郎の日曜天国に移動します😁  #nichiten #ONEJ
2023-01-15 10:00:53,おはようございます😃体調はどうですか？   #nichiten
2023-01-15 10:00:55,やっぱりまだ声ガラガラだし鼻声だね #nichiten
2023-01-15 10:00:55,局長待遇、喉が大変ね #nichiten
2023-01-15 10:00:56,安住さんずごい鼻声 #nichiten
2023-01-15 10:00:57,安住アナ、中澤アナ おはようございます♪♪ そして、  おかえりなさいませませ〜♪♪#nichiten
2023-01-15 10:00:58,おはようございます  #nichiten
2023-01-15 10:00:59,ニチテン開始　局長待遇おかえりー　#nichiten
2023-01-15 10:01:00,安住紳一郎の日曜天国 はじまた #nichiten #tbsradio #radiko
2023-01-15 10:01:02,おはようございます。 #nichiten
2023-01-15 10:01:04,おはようございます〜。 昨日のNキャスでもまだお声の調子が戻ってないようですが、ひとまずおかえりなさい☺️ #nichiten
2023-01-15 10:01:05,おはようございます(*'▽') #nichiten
2023-01-15 10:01:05,安住紳一郎の日曜天国 | TBSラジオ  https://t.co/mwUMSxhqcg #radiko #安住紳一郎 #中澤有美子 #nichiten #日曜天国
2023-01-15 10:01:07,あずみさーん！おかえりなさい！ #nichiten
2023-01-15 10:01:07,お帰りなさい安住さん #nichiten
2023-01-15 10:01:07,声が… #nichiten
2023-01-15 10:01:07,おはようございます🌥 安住さん、おかえりなさい！ くれぐれも無理なさらず。 今年もよろしくお願いします。 #nichiten
2023-01-15 10:01:07,あら、局長まだ風邪声……。 #nichiten
2023-01-15 10:01:08,おはようございます #nichiten
2023-01-15 10:01:09,よつ葉乳業が10時をお知らせします　#nichiten
2023-01-15 10:01:09,おはようございます。 安住さん、お帰りなさいませ！ #nichiten
2023-01-15 10:01:10,#nichiten
2023-01-15 10:01:11,おはようございます。 局次長、戻ってこられて本当に嬉しい。 (良かったよぉ… めっちゃ心配してた😫 #nichiten
2023-01-15 10:01:11,おはようございます！ 安住さん、おかえりなさい。 やっぱり今回の新型コロナウイルスはノドに影響が残るんですね。 #nichiten
2023-01-15 10:01:12,コロナから復帰してよかったよ安住さん でもまだ後遺症とかあるから油断しないでね #nichiten
2023-01-15 10:01:13,病み上がりの局長待遇 ユミタソ おはようございます♪ #nichiten
2023-01-15 10:01:15,^_^👍👍👍  おやすみ、鼻声  #nichiten #2023年 #tbsラジオ📻
2023-01-15 10:01:15,ラジオだと余計に声の調子がいまいちなのが分かるな… #nichiten
2023-01-15 10:01:16,復活の安住紳一郎 #nichiten
2023-01-15 10:01:16,#nichiten ﾊｼﾞﾏﾀ 安住さんまだ若干声の調子悪い？😥
2023-01-15 10:01:17,おはようございます🙂 安住さん、鼻声(´・ω・`)#nichiten
2023-01-15 10:01:18,わぁ！病み上がり声！！！ まだまだお大事になさってください安住さん #nichiten
2023-01-15 10:01:19,コロナから復帰も若干鼻声局長待遇 #nichiten
2023-01-15 10:01:19,#nichiten
2023-01-15 10:01:19,安住紳一郎の日曜天国 │ TBSラジオ  https://t.co/ZU1jPg5RYC #radiko #安住紳一郎 #中澤有美子 #nichiten #日曜天国
2023-01-15 10:01:20,遅めの年始のご挨拶。 #nichiten
2023-01-15 10:01:21,おはようございます。  #nichiten
2023-01-15 10:01:22,おはようございます😃 局長、今年もよろしくお願いします。  #nichiten
2023-01-15 10:01:23,やっぱ声おかしいね局長待遇 #nichiten
2023-01-15 10:01:23,お出まし #お帰りなさい私達の王様  #nichiten
2023-01-15 10:01:23,おはようございます #nichiten
2023-01-15 10:01:25,今年もよろしくお願いします🤲鼻声、早く治るといいですね。　#nichiten
2023-01-15 10:01:25,おはようございます。安住さん、まだ鼻声ですね。引き続きご自愛下さい。 #nichiten
2023-01-15 10:01:26,祝・副部長復帰 #nichiten
2023-01-15 10:01:26,#nichiten
2023-01-15 10:01:28,安住さん、中澤さん、スタッフのみなさん、おはようございます #nichiten
2023-01-15 10:01:29,おはようございます #nichiten
2023-01-15 10:01:29,モ〜う  おはようございます みなさんはどんな日曜日の朝をお迎えでしょうか #nichiten
2023-01-15 10:01:30,おはようございます #nichiten #tbsradio #radiko
2023-01-15 10:01:30,安住紳一郎の日曜天国 | TBSラジオ  https://t.co/xklnWWXKt6 #radiko #安住紳一郎 #中澤有美子 #nichiten #日曜天国
2023-01-15 10:01:32,おはようございます！ #nichiten #tbsradio #radiko
2023-01-15 10:01:32,おはようございます。 安住さん、おかえりなさい！  #nichiten
2023-01-15 10:01:32,安住さん声が…  #nichiten
2023-01-15 10:01:33,鼻声ですね〜 #nichiten
2023-01-15 10:01:33,鼻声なのね　#nichiten
2023-01-15 10:01:34,白い巨塔（最初のやつ） #nichiten
2023-01-15 10:01:34,おはようございます（鼻声） #nichiten
2023-01-15 10:01:35,まだ鼻声ちっく　#nichiten
2023-01-15 10:01:36,安住さんだ！ まだ声がおかしいねぇ お大事に #nichiten
2023-01-15 10:01:36,声！ #nichiten
2023-01-15 10:01:37,あら、安住さんの声が変わった #nichiten
2023-01-15 10:01:37,あー、でも声はまだ調子悪そうだなあ #nichiten
2023-01-15 10:01:39,始まったー！ #nichiten
2023-01-15 10:01:39,局長まだ声本調子じゃない お大事に #nichiten
2023-01-15 10:01:39,おはようございます。 #nichiten
2023-01-15 10:01:40,安住氏おかえりなさい🎶 今年も宜しくお願いします😃 でも、ちょっと声がかれてる？？？鼻声か！ 例えがちょっとわからない。。。😅😅😅 #nichiten
2023-01-15 10:01:41,鼻声だな　#nichiten
2023-01-15 10:01:41,ユミタソおはようございます！そして安住総合編成本部アナウンスセンター局長待遇エキスパート職アナウンサーおかえりなさい！！！ #nichiten
2023-01-15 10:01:42,聴けてないからとりあえずTL見る  #nichiten
2023-01-15 10:01:43,おはようございます  やはりお声が本調子ではなさそうですね どうかご無理なさらず  東野英治郎さんw  #nichiten
2023-01-15 10:01:44,安住さん、ユミタソ、おはようございますー(￣∇￣) #nichiten
2023-01-15 10:01:44,イメージしにくい(￣▽￣)＞アズミンの声 #nichiten
2023-01-15 10:01:45,安住紳一郎の日曜天国 | TBSラジオ  https://t.co/csTLkKx1eM #radiko #安住紳一郎 #中澤有美子 #nichiten #日曜天国   おはよございます
2023-01-15 10:01:45,おはようございます😊 #nichiten
2023-01-15 10:01:47,まだ鼻声引きずってる。 #nichiten
2023-01-15 10:01:48,おはようございます！安住さんおかえりなさい！  #nichiten
2023-01-15 10:01:48,父ちゃん情けなくてのお父さんですね #nichiten
2023-01-15 10:01:48,おはようございます 安住さんおかえりなさい まだ鼻声ですね お大事になさってください #nichiten
2023-01-15 10:01:48,安住さん、鼻声だねー。 #nichiten
2023-01-15 10:01:49,やっぱ声がおかしい局長待遇 #nichiten
2023-01-15 10:01:49,おはようございます♪#nichiten
2023-01-15 10:01:50,おはようございます！ #おかえりなさい私たちの王様 #nichiten
2023-01-15 10:01:50,おはようございます。　#nichiten
2023-01-15 10:01:51,おはようございます！ 私もコロナでやっとこさ昨日の夜発熱のピークを過ぎたようです #nichiten
2023-01-15 10:01:51,声の調子が戻ってないのをネタにする人ｗｗｗ #nichiten
2023-01-15 10:01:51,おはようございます。おかえりなさい私たちの王様。  #nichiten
2023-01-15 10:01:51,安住紳一郎TBSテレビ総合編成本部アナウンスセンター局長待遇エキスパート職アナ、おかえりなさい！！中澤さん、おはようございます！！ #nichiten
2023-01-15 10:01:52,大映の『白い巨塔』に出ている東野英治郎さんのような(笑)  #nichiten
2023-01-15 10:01:52,今朝もアレクサ調子悪いわ。。#nichiten
2023-01-15 10:01:53,おはようございます☁ 安住氏、おかえりなさい！ #nichiten
2023-01-15 10:01:53,おはようございます！まだ鼻声ですな。 #nichiten
2023-01-15 10:01:53,おはようございます！復帰おめでとうございますｗ #nichiten
2023-01-15 10:01:53,お帰りなさい(*´ー｀*)お声まだお辛そう... #nichiten
2023-01-15 10:01:55,あれ、声が変だね 大丈夫かしら  #nichiten
2023-01-15 10:01:55,やっぱまだ声が本調子じゃないのわかるな…  #nichiten
2023-01-15 10:01:56,水戸黄門だっけ？ #nichiten
2023-01-15 10:01:57,#nichiten おはようございます😃。Wあずみん？ https://t.co/Hnr1jUfl8l
2023-01-15 10:01:58,安住氏3週間ぶりですね📻 今年もよろしくお願いします。  #nichiten
2023-01-15 10:01:58,いまどうしてる？  風呂入って部屋掃除して、朝ごはんは焼きそば。  安住紳一郎の日曜天国 | TBSラジオ  https://t.co/ofo5Tm1nFb #radiko #安住紳一郎 #中澤有美子 #nichiten #日曜天国
2023-01-15 10:01:58,おはようございます！ 安住氏、若干の鼻声？ #nichiten
2023-01-15 10:01:59,おはようございます。局長待遇おかえりなさい☺️ #nichiten
2023-01-15 10:01:59,東野親子も既に鬼籍に… #nichiten
2023-01-15 10:02:00,安住さん、まだ声が心配してだね。 #nichiten
2023-01-15 10:02:00,おはよう御座います☺️安住さんお帰りなさい。 #nichiten
2023-01-15 10:02:00,オハヨウゴザイマス！#nichiten
2023-01-15 10:02:01,初代黄門様でお馴染みの？ #nichiten
2023-01-15 10:02:02,水戸黄門時代しかわからない #nichiten
2023-01-15 10:02:02,今週もお願い申し訳ありません。 この人 @daturathevenom は、日天に犯罪まがいの嫌がらを公言している酷い人です。 通報ブロックのご協力宜しくお願いします。 #だちゅらを許すな #nichiten  https://t.co/1sFcR2x3WB https://t.co/YBoNWXxZ9s
2023-01-15 10:02:03,おはようございます。 せっかく物真似をしていただいたのですが若いので分かりませんでした。#nichiten
2023-01-15 10:02:03,東野英治郎さんは黄門さまのイメージだよなぁ。 #nichiten
2023-01-15 10:02:03,東野英治郎みたいな声ｗ　#nichiten
2023-01-15 10:02:03,局長お帰りー🐥  おはようございます　 #nichiten
2023-01-15 10:02:04,超絶鼻声の局長待遇と、中澤さんおはようございます #nichiten
2023-01-15 10:02:04,すこし鼻声みたいね #nichiten
2023-01-15 10:02:05,声辛そうだね… #nichiten
2023-01-15 10:02:05,おはようございます　  #nichiten
2023-01-15 10:02:06,やはり少し鼻声というか鼻が詰まってます、風。いきなり週6でしんどくないのかな?  #nichiten
2023-01-15 10:02:06,おはようございます、安住さんお帰りなさい、今年もよろしくお願いします😌 #nichiten
2023-01-15 10:02:08,まだ本調子じゃなさそうなお声😭安住さんお大事にしてください！！ #nichiten
2023-01-15 10:02:08,安住さん、めっちゃ鼻声･･･  #nichiten
2023-01-15 10:02:10,今日は一日東野英治郎でやろうw #nichiten
2023-01-15 10:02:11,おはようございます、まだやや鼻声？ どうぞお大事にー #nichiten
2023-01-15 10:02:11,東野英治郎？ 東野英二郎？ #nichiten
2023-01-15 10:02:11,おはようございます！安住さん、復帰おめでとう🎊 #nichiten  てつやさん、おはようございます。  neoさん、おはようございます。  子龍君、鼻声取れないね。
2023-01-15 10:02:12,おはようございます！やっぱり局長待遇ちょっと鼻声ですね…#nichiten
2023-01-15 10:02:12,安住氏おかえりなさいませー。 まだガッツリ鼻声です。  #nichiten
2023-01-15 10:02:13,安住紳一郎アナがニュースキャスターに復帰。三谷幸喜さんが安住さんのモノマネを…  #nichiten #Nキャス https://t.co/z9VXTddgu1
2023-01-15 10:02:14,う〜ん声がなかなか、、 やっぱり怖いわぁ〜カタカナ３文字っ！！たらば。#nichiten
2023-01-15 10:02:14,安住AIロボw #nichiten
2023-01-15 10:02:14,安住さんおかえり〜 #nichiten
2023-01-15 10:02:17,安住さん お声が鼻声…  #nichiten
2023-01-15 10:02:17,東野英治郎（しかも白い巨塔） #nichiten
2023-01-15 10:02:18,おはようございます。 安住氏、少し鼻声ですね。#nichiten
2023-01-15 10:02:18,おかえりなさい！ #nichiten
2023-01-15 10:02:18,安住さんおかえりなさいー #nichiten
2023-01-15 10:02:20,大丈夫かいな。。  #nichiten
2023-01-15 10:02:20,安住さん、ハナ声だよね。 #nichiten
2023-01-15 10:02:20,安住サンおかえりなさーーーい😆‼️ #nichiten
2023-01-15 10:02:20,#nichiten https://t.co/mmzXrVgSSp
2023-01-15 10:02:22,安住さん、中澤さん、皆さんおはようございます😄 安住さんおかえりなさい😭 #nichiten
2023-01-15 10:02:22,#nichiten
2023-01-15 10:02:23,#nichiten
2023-01-15 10:02:23,【あずみんお帰り】おはようございます＼(^o^)／【今年もよろしく】 #nichiten
2023-01-15 10:02:23,安住さん、まだ声が掠れてると思ったら鼻声か #nichiten
2023-01-15 10:02:23,おはよう鼻声でございます  #nichiten
2023-01-15 10:02:23,安住さんお帰りなさい✨ #nichiten
2023-01-15 10:02:23,今、東野英治郎って笑 #nichiten
2023-01-15 10:02:24,安住氏鼻声 例えが古すぎて…(笑) #nichiten
2023-01-15 10:02:24,安住さん復帰良かった(^_^)  #nichiten
2023-01-15 10:02:24,若い人置いてけぼりラジオw #nichiten
2023-01-15 10:02:25,おはよございます #nichiten
2023-01-15 10:02:25,radikoだからOP流れるのは1分遅れ。 やっぱり鼻声だね🥲 #nichiten
2023-01-15 10:02:26,おはようございます。安住アナやはり鼻声ですね #nichiten
2023-01-15 10:02:26,#nichiten
2023-01-15 10:02:26,@xxx  安住氏ー！  #nichiten
2023-01-15 10:02:27,局長待遇おかえりなさい！ #nichiten
2023-01-15 10:02:27,安住アナ、新年おめでとうございます。 鼻声ですね、心配です…。  #日曜天国 #nichiten
2023-01-15 10:02:28,安住さん 今年もよろしくお願いします🙇‍♂️   #nichiten
2023-01-15 10:02:28,#nichiten
2023-01-15 10:02:28,おはようございます。局長待遇、日曜天国に復帰！ #nichiten
2023-01-15 10:02:30,おはようございます😃 #nichiten
2023-01-15 10:02:30,あら。。。 声が…  #nichiten
2023-01-15 10:02:30,咳をしても一人！　おどけても痛々しい！#nichiten
